Repository,ecore,xtext,mwe2
xtext-plsql,YES,YES,YES
emc-xtext,NO,NO,NO
kukulkan-grammar,YES,YES,YES
ulm-xtext-test,YES,YES,YES
N7.compilateur,YES,YES,YES
xtext-gradle-test,NO,NO,NO
M-langeuse-Xtext,YES,YES,YES
xtext_encoding_dsl,YES,YES,YES
nix-eclipse-xtext,NO,YES,YES
Xtext_Gradle_Test,NO,YES,YES
nusmv-xtext-lsp,YES,YES,YES
vscode-xtext-links,NO,NO,NO
xText-Editor-,NO,NO,NO
DSL-with-Xtext,YES,YES,YES
xtext-domainmodel-ls,YES,YES,YES
ex.xtext.ml,NO,YES,YES
xtext-web-example,YES,YES,YES
xtext-build-tools,NO,NO,NO
xtext-dsl-sample,YES,YES,YES
team-hacktive-xtext,NO,NO,NO
xtext-monaco-example,NO,YES,YES
xtext-folding-issue,NO,YES,YES
xtext-xml-grammar,NO,YES,YES
my-theia-xtext,YES,YES,YES
xtext-gait-model,YES,YES,YES
Xtext_directory-file,YES,YES,YES
xText-DSL,NO,NO,NO
assignment-2-xtext,NO,NO,NO
xtext-jvmtypeprovider-standalone,NO,NO,NO
eclipse-workspace,YES,YES,YES
xtext-entities-tutorial,NO,YES,NO
xtext-pde-target,?,?,?
xtext-fipa-acl,NO,YES,YES
qingo_xtext_documentation,NO,NO,NO
xtext-problem-matcher,NO,NO,NO
xtext.sales.transactions,YES,NO,NO
xtext-gen-extension,YES,YES,YES
Domainmodel,YES,YES,YES
expressions-dsl,YES,YES,YES
xtext-xdoc-releases,NO,NO,NO
xTextForum,YES,YES,YES
xtext-plugin-gradle,YES,YES,YES
xtext-example-dsl,YES,YES,YES
xtext-fragment-experiments,NO,YES,YES
xtext_bug_1974,YES,YES,YES
xtext-railmap-demo,YES,YES,YES
xtext-intro-bfh,YES,YES,YES
xtext-example-entities,YES,YES,YES
MyFirstXText,YES,YES,YES
xtext-ci-libs,NO,NO,NO
BaSiriusXtext,YES,YES,YES
sql-pgq-xtext,NO,YES,YES
xtext-jpms-test,NO,NO,NO
xtext-monorepo-lfs,?,?,?
xtext-build-utils,NO,YES,YES
xtext-two-dsls,YES,YES,YES
xtext_bug508518,YES,YES,YES
xtext-valueconverter-example,YES,YES,YES
xText-Editor,NO,NO,NO
HouseBuilder-Xtext,NO,YES,YES
xtext-orbit-replacement,NO,NO,NO
xtext-xcore-sample,NO,YES,YES
mo631xtext,NO,YES,YES
xtext-mapbasedscope-example,NO,YES,YES
xTextHandler,NO,NO,NO
ProjetoXtextPFC,YES,YES,YES
HexXTextSMP,NO,NO,NO
xtext-dsl-book,NO,YES,YES
xtextxtend-book-examples,YES,YES,YES
xtext-gradle-example,YES,YES,YES
xtext-ppt-demo,YES,YES,YES
xtext-completion-nullpointer,NO,YES,YES
sbt-xtext-plugin,NO,NO,NO
online_elm_xtext,YES,YES,YES
ExternalDSL-xtext,NO,YES,YES
xtext-railmap-theia,YES,YES,YES
xtext-showdown-grammar,NO,YES,YES
xtext-language-server,NO,NO,NO
xtext-npe-reproducable,YES,YES,YES
eJSL-ANTLR4,NO,NO,NO
statemachine,YES,YES,YES
MDSE-assignment3,YES,YES,YES
org.example.mydsl.parent,YES,YES,YES
caph-java-parser,NO,YES,YES
XTEXT_FACPL3_PreserveVarious,NO,NO,NO
xtext-languageserver-example-duplicator,NO,YES,YES
xtext-maven-plugin-example,NO,YES,YES
xtext-eclipse-issue-1009,NO,NO,NO
UoY-MODE-XTEXT,YES,YES,YES
sprat-ecosystem-dsl-xtext,YES,YES,YES
theia-xtext-vscode-example,NO,NO,NO
j9-tycho-xtext,NO,YES,YES
xtext-lsp-ecore-support,YES,YES,YES
LaTeXTextOverlay,NO,NO,NO
VuC,?,?,?
DSLs,YES,YES,YES
com.essaid.model.xtext,NO,NO,NO
EclipseRepoTese,YES,YES,YES
jmhmathexample,YES,YES,YES
WhitespaceIDE,YES,YES,YES
MISO4202-proyecto-xtext,NO,YES,YES
xtext-15-minutes-tutorial,NO,YES,YES
theia-xtext-extension-test,YES,YES,YES
JsonBasedXtextGrammar,YES,NO,NO
xtext-sirius-integration.io,NO,NO,NO
xtext-core-issue-1835,NO,NO,NO
xtext_getting_started_skilledup,YES,YES,YES
Xtext-Minecraft-JSON-Languages,YES,YES,YES
xtext-emacs-lsp-demo,NO,YES,YES
apds_prototype,NO,YES,YES
test-editor-xtext-gradle,NO,YES,YES
perspectiveDSL-Sirus-Xtext,NO,NO,NO
SzakD_xtext_xtend,NO,YES,YES
xtext-headless-rcp-example,NO,YES,YES
bpmnFromXtextDSL,YES,YES,YES
xtext-p2-orbit,NO,NO,NO
xtext-tutorial-turku-interim,YES,YES,YES
xtext-lsp-validation-anyway,NO,YES,YES
xtext-bug-minimal-example,NO,YES,YES
org.xtext.example.mydsl,NO,YES,YES
JFlex_CUP_XText_SQL,YES,YES,YES
xtext-languageserver-example-simple,NO,YES,YES
Xtext-Standalone-fat-jar,NO,YES,YES
cfeditor,YES,YES,YES
xtext-type-errors-examples,NO,YES,YES
