Repository,ecore,xtext,mwe2
casualintellect_new_wizard,YES,YES,YES
org.xtext.amodel,YES,YES,YES
SiteWeb_XText,YES,YES,YES
hackcamp-xtext-automotivebus,YES,YES,YES
xtext.scoping.adventures,YES,YES,YES
bonaparte-apidsl,NO,YES,YES
yacc-ide,NO,YES,YES
xtext-bug-436688,YES,YES,YES
xtext-builddsl-tycho,NO,YES,YES
lwc13-xtext,NO,YES,YES
xtext-utils.uml,NO,NO,NO
xtext-forms-integration,YES,YES,YES
xtext-restriction-framework,YES,YES,YES
xtext-utils.devenv,NO,NO,NO
xtext-utils.xtend,NO,NO,NO
xtext-jaxcon-example,YES,YES,YES
xtext-demo-laquila,YES,YES,YES
xtext-iris-datalog,NO,YES,YES
rezept-dsl.xtext,YES,YES,YES
xtext-utils.unittesting,YES,YES,YES
xtext-utils.distribution,NO,NO,NO
htwg-cform-xtext,NO,YES,YES
xtext-example-conplan,NO,YES,YES
Xtext-Buckminster-Example,YES,YES,YES
xtextcon-typesystem-example,NO,YES,YES
org.xtext.example.tycho,YES,YES,YES
eclipse-orbit_xtext-web,YES,YES,YES
xtext_language_bla,YES,YES,YES
xtext-req-editor,YES,YES,YES
atom-xtext-autocomplete,NO,NO,NO
xtext-formatter-problem,NO,YES,YES
xtext-utils.distribution,NO,NO,NO
XText_TeSSLa,YES,YES,YES
booster2-xtext,NO,YES,YES
xtext-splitted-repo,YES,YES,YES
xtext-utils.uml,NO,NO,NO
xtext-utils.xtend,NO,NO,NO
xtext-forms-integration,YES,YES,YES
fxdiagram-xtext-examples,YES,YES,YES
openair,YES,YES,YES
xtext-typing-example,YES,YES,YES
xtext-utils.xtend,NO,NO,NO
xtext-ocl-extensions,YES,YES,YES
xtext-utils.distribution,NO,NO,NO
mcrl2.xtext,YES,YES,YES
rsbac.xtext.dsl,NO,NO,NO
jug-zgora-xtext,YES,YES,YES
xtext-utils.devenv,NO,NO,NO
devoxx2012-xtext,YES,YES,YES
xText_Practice,YES,YES,YES
xTextEdit,NO,NO,NO
xtext-utils.unittesting,YES,YES,YES
xtext-forms-integration,YES,YES,YES
xtext-forms-integration,YES,YES,YES
xtext-monaco-example,NO,YES,YES
xtext-ci-test,NO,YES,YES
plantuml-xtext-light,NO,YES,NO
xtext-utils.unittesting,YES,YES,YES
xtext-index-experiments,YES,YES,YES
xtext-utils.devenv,NO,NO,NO
xtext-gradle-demo,NO,YES,YES
xtext-multi-dsl,YES,YES,YES
dmss.pouex.xtext,NO,YES,YES
lunifera-xtext-runtimebuilder,YES,YES,YES
xtext-forms-integration,YES,YES,YES
xtext-forms-integration,YES,YES,YES
xtext-utils.uml,NO,NO,NO
dbFactoryXtext,NO,YES,YES
lwc13-xtext,NO,YES,YES
if4150-xtext,NO,YES,YES
acse-xtext-validation,YES,YES,YES
xTextLanguage,NO,NO,NO
Kinect-ECE-XText,YES,YES,YES
acse-xtext-gui,YES,YES,YES
xtext-gradle-problem,YES,YES,YES
xtext-forms-integration,YES,YES,YES
CodeXcessXtext,NO,YES,YES
xtext-ecore-xcore,YES,YES,YES
xtext_DSL_example,NO,YES,YES
xtext-demo-oxygen,NO,YES,YES
deprecated-xtext-index-backend,NO,YES,NO
Aqua,YES,YES,YES
org.eclipse.xtext.example.fowlerdsl,NO,YES,YES
xtext-workshop-code1,YES,YES,YES
Eclipse-Xtext-Mydsl-Plugin,YES,YES,YES
jetson,NO,YES,YES
summer,YES,YES,YES
Coffeescript-Eclipse,NO,YES,YES
compiler,YES,YES,YES
XPlane,NO,NO,NO
Xtext-Xtend-Buckminster-Example,YES,YES,YES
eclipse-typescript-xtext-repository,NO,NO,NO
EclipsePluginForXtext,YES,YES,YES
plantuml-eclipse-xtext_update,NO,NO,NO
xtext-multi-edit-example,YES,YES,YES
xtext.eclipse.15minExtended,YES,YES,YES
com.sandy.xtext.jovenotes.ui,NO,NO,NO
xtext-utils.xtend1,NO,NO,NO
xtext-arithmetics-web-example,YES,YES,YES
acse-xtext-knuth-binaries,YES,YES,YES
xtext-serializer-issue-example,NO,YES,YES
Xtext_MiniJava_IDE,YES,YES,YES
xtext-dsl-obj3,YES,YES,YES
gradle-xtext-xtend-problem,NO,NO,NO
firewall-dsls-externos-xtext,YES,YES,YES
Xtext-LWC-contribution--Instances-,YES,YES,YES
eclipse-webidl,NO,YES,YES
if4150-xtext-html,NO,NO,NO
htwg-cform-xtext-demo,NO,NO,NO
Xtext-GrammarMixin-Example,NO,YES,YES
xtext-utils.subproject-template,NO,NO,NO
xtext-utils.subproject-template,NO,NO,NO
ituXtextLandinConfigurator,YES,YES,YES
xtext-utils.xtend1,NO,NO,NO
old-tests-on-xtext,NO,YES,YES
xtext-ocl-xtend-poc,YES,YES,YES
xtext-serializer-parallel-problem,NO,YES,YES
lunifera-xtext-runtimebuilder-example,NO,YES,NO
xtext-utils.subproject-template,NO,NO,NO
xtext-android-gradle-example,NO,NO,NO
Xtext-Maven-BuildExample,NO,YES,YES
xtext-eclipse-gh-238,YES,YES,YES
XText-Maven-CleanStart,NO,YES,YES
org.xtext.example.pascalito,NO,YES,YES
JoveNotesProcessor,NO,NO,NO
xtext-utils.xtend1,NO,NO,NO
AutoCompleteXTextView,NO,NO,NO
uml-xtext-grammar-generator,NO,NO,NO
DialogScriptDSL,YES,YES,YES
org.xtext.dsl.restaurante,YES,YES,YES
xtext-extras-issue216,NO,YES,YES
net.akehurst.example.xtext.vertx,NO,YES,YES
de.htwg.xtext.setGame,YES,YES,YES
Xarchive,NO,YES,YES
com.br.refactoring.xtext.dsl,NO,YES,YES
xtext.15minTutorial.project,NO,NO,NO
eclipse-orbit_xtext-web-dsls,YES,YES,YES
org.eclipse.xtext.example.domainmodel,YES,YES,YES
xtext-existing-metamodel-gradle-example,YES,YES,YES
tycho.xtext.mwe2.test,NO,YES,YES
EclipseTaskJuggler,YES,YES,YES
xtext_code_gen_version_2,YES,YES,YES
xtext-j2ee-dsl,NO,YES,YES
xtext-gradle-plugin-issue-60,NO,YES,YES
ituXtextLandin2Configurator,YES,YES,YES
basicfamily,YES,NO,NO
2011-02-18_xtext_apache_wicket,NO,NO,NO
El,NO,YES,YES
de.htwg.mdsd.xtext.portals,NO,YES,YES
org.shashwat.xtext.smallJava,YES,YES,YES
gpp-for-xtext-master-thesis,?,?,?
Integrating-Xtext-and-JavaRAG,NO,YES,YES
org.xtext.example.pascalitoOld,NO,YES,YES
IGESImport,YES,YES,YES
xsample,YES,YES,YES
beantypes,YES,NO,NO
xtext-gradle-plugin-issue-61,NO,YES,YES
com.br.refactoring.xtext.dsl.ui,NO,NO,NO
org.eclipse.xtext.example.domainmodel.tests,NO,NO,NO
com.br.refactoring.xtext.dsl.tests,NO,NO,NO
org.shashwat.xtext.smallJava.ui,NO,NO,NO
xtext.eclipse.15minExtended.project,NO,NO,NO
MetroUiDescriper,YES,NO,NO
sygus-ide,NO,YES,YES
xtext-multilanguage-multiple-target-impl-reuse,YES,YES,YES
mybash,YES,YES,YES
XbaseSiriusIntegration,YES,YES,YES
android-code-generation,YES,YES,YES
zest-sm,NO,NO,NO
declaratividad-orm-java,YES,YES,YES
org.shashwat.xtext.smallJava.tests,NO,NO,NO
net.akehurst.example.xtext.vertx.lsp,NO,NO,NO
ClauTextWithEclipse,NO,YES,NO
2011-04-29_xtext_service_repository,NO,NO,NO
DSLEngBook-Xtext-P3Demo,NO,YES,YES
PrettyPrinter,NO,NO,NO
MVCLang,NO,NO,NO
tefler,YES,YES,YES
xvhdl,YES,YES,YES
XTuring,YES,YES,YES
org.eclipse.xtext.example.domainmodel.ui,NO,NO,NO
OperationsResearch,YES,YES,YES
julepp,NO,NO,NO
SmokingText,YES,YES,YES
temalabor,NO,YES,YES
communote-restws,NO,YES,YES
FormGeneratorPOC,NO,NO,NO
pocesl,NO,YES,YES
POMText,?,?,?
https---github.com-meysholdt-xtext_stateful_lexer,?,?,?
xrst,YES,YES,YES
performance_probes,NO,NO,NO
PowerLoomDSL,YES,YES,YES
jdl-ide,NO,YES,YES
SDF3-editor,YES,YES,YES
emf-sandbox,YES,NO,NO
FlexoModelingLanguage,YES,YES,YES
experimental-rmodp-dsl,YES,YES,YES
reqlang,YES,YES,YES
model-based-times,YES,YES,YES
high-dim,NO,NO,NO
deprecated-test-editor-index-backend,NO,NO,NO
EasyUnit,?,?,?
lsotnk.xbase.launching,NO,NO,NO
ReqLNG,YES,YES,YES
PAOC,YES,YES,YES
sysml.dml,YES,YES,YES
tlsf-ide,NO,YES,YES
asdl-ide,NO,YES,YES
EclipseExamples,YES,YES,YES
cityplanning,NO,YES,YES
soa-dsl-scaffolding,NO,YES,YES
yaxpath,YES,YES,YES
ASP,NO,NO,NO
boby,YES,YES,YES
kemble,NO,NO,NO
bsc-thesis-documentation,NO,NO,NO
mongoBeans,YES,YES,YES
external_jar_download,NO,NO,NO
xplatform,YES,YES,YES
entitygenerator,NO,YES,NO
polopoly-dsl,YES,YES,YES
dsl-feature-modelling,NO,YES,YES
statemachine-generator,YES,YES,YES
gov.nasa.jpl.imce.oml.core,NO,YES,YES
system-map-maker,NO,NO,NO
DomainmodelWithCrossReference,YES,YES,YES
protobuf4e,NO,YES,NO
testdsl,NO,YES,YES
Cool,YES,YES,YES
CompiladorJava,YES,YES,YES
kobold,YES,YES,YES
RankPL-EclipsePlugin,YES,YES,YES
ebnfworkbench,YES,YES,YES
RaspduinoDSL,YES,YES,YES
CmooSimpleJ,YES,YES,YES
majordomo,YES,YES,YES
CheckerDSL,YES,YES,YES
webml,YES,YES,YES
ParserGeneratorExample,YES,YES,YES
Model-Driven-Engineering--Eclipse-RCP-plugin--Software-product-line,YES,YES,YES
MameVHDL,YES,YES,YES
mydsl-emf-gen,YES,YES,YES
clinicaltrialcreator,?,?,?
aomxsgrammar,YES,YES,YES
melange-studio,NO,NO,NO
Event-Oriented-Language,YES,YES,YES
Bicycle-Shop,YES,YES,YES
SwarmRobotics,YES,YES,YES
gh,NO,NO,NO
