Owner,Repo,Scenario
Nika24,Xtext,grammar-driven
BenediktNiehues,de.nie.fin,metamodel-driven
AlexElvers,XText,not applicable
lakzso,xtext,not applicable
seba111,Xtext,metamodel-driven
MacJariel,xtext,not applicable
tmtron,xtext.15minTutorial,not applicable
blewis13,Boxes,metamodel-driven
DECENTSoftwareAssessment,famix.m3x,not applicable
dslmeinte,SimScript,not applicable
webdaford,aqleditor,not applicable
goldschmiede,2012-02-03_dsls_mit_xtext,metamodel-driven
kthoms,org.eclipse.xtext.example.domainmodel,not applicable
Reitzner,xtextmaven,grammar-driven
hectorsun,xtextonboost,not applicable
duck2,xtextbg,not applicable
HolyCityAudio,SpinCAD-Builder,grammar-driven
ceefour,glproto,metamodel-driven
DECENTSoftwareAssessment,dag.m1x.tests,not applicable
gvd,xtext-sm,metamodel-driven
davidmpaz,php.ware.web.ui,not applicable
DanielWeber,xtextext,not applicable
fzalila,xtextfsm,grammar-driven
DECENTSoftwareAssessment,dag.m1x.sdk,not applicable
jgoppert,xmodelica,grammar-driven
Vinayakatk,xtextgeneratetest,not applicable
deb-sandeep,com.sandy.xtext.jovenotes,grammar-driven
DECENTSoftwareAssessment,dag.m1x.ui,not applicable
viatra,viatra-evm-xtext,grammar-driven
protossoftware,ReqText,grammar-driven
meysholdt,e4dsl,metamodel-driven
benzait27,Xtext.Promo,grammar-driven
malakeel,myDsl,grammar-driven
npalix,org.eclipse.xtext.example.arithmetics,not applicable
sormgabriel,textual_verduler,not applicable
ekowahyudi,examplextext,not applicable
DECENTSoftwareAssessment,famix.m3x.ui,not applicable
nakul02,sialx-xtext-ide,not applicable
kduske-n4,DomainModel,grammar-driven
Infoly,SmallJava,not applicable
inakuhn,de.htwg.mdse.setgame.entities.parent,grammar-driven
mlanoe,x-vhdl,metamodel-driven
DECENTSoftwareAssessment,famix.m3x.tests,not applicable
nkonev,CalcXtext,not applicable
meysholdt,xtext_examples,not applicable
manuelleduc,xtext-lib,not applicable
xarvey,atom-xtext-package,not applicable
LolloCorte,bpel-xtext,metamodel-driven
sciolizer,xtext-sandbox,grammar-driven
denschu,xtext-whitespace,not applicable
pablitar,claseXtext,metamodel-driven
DECENTSoftwareAssessment,famix.m3x.sdk,not applicable
tdegueul,xtext-composition,grammar-driven
danieldietrich,xtext-javatools,not applicable
akademia,ontouml-xtext,not applicable
efuentesp,codebuilder-xtext,not applicable
zrrk,xtext-utils,not applicable
juli1,xtext-debug,grammar-driven
nbhusare,Xtext-sandbox,grammar-driven
jachinte,xtext-grammars,not applicable
susieagerholm,XTEXT_EXAMPLE,grammar-driven
itemis,monaco-xtext,not applicable
xiaoyvr,xtext-demo,not applicable
hmc-cs111-fall2015,picobot-XText,not applicable
yanntm,Xtext-Light,not applicable
quendimax,libXtextcursorchanger,not applicable
Ikraminfo,GrammaireXtext,not applicable
nickeeyyoo,xtext_project,grammar-driven
marinamygithub,xtext_project,grammar-driven
lukashaertel,xtext-xgen,TBD
fmca,xtext-typesystem,metamodel-driven
almazhou,xtext-demo,not applicable
Huluvu424242,xtext.example,grammar-driven
kiddochan,xtext-typesystem,metamodel-driven
mmalohlava,ppXtext,not applicable
ponta027,xtext_practice,grammar-driven
bhdrkn,Xtext-Examples,metamodel-driven
fatalerrortan,Xtext-examples,not applicable
gcr-nist,runtime-Xtext,not applicable
fBrx,language-xtext,not applicable
ilya-klyuchnikov,sll-xtext,grammar-driven
vonbolt,Xtext_test,grammar-driven
rytina,xtext-typesystem,metamodel-driven
philiber92,xtext-utils,not applicable
thomasfischl,xtext-workshop,grammar-driven
jbadeau,ng-xtext,not applicable
OliverScherf,MGPL-Xtext,not applicable
szarnyasg,gradle-xtext,not applicable
malbac,Xtend_Xtext,grammar-driven
gitpan,Convert-XText,not applicable
rmemory,xtext_eclipse,not applicable
lukashaertel,xtext-technocat,grammar-driven
lukashaertel,xtext-xtestgen,grammar-driven
zhangyuanqiao,selenium-xtext,grammar-driven
cooked,modelica-xtext,grammar-driven
pablitar,firewall-xtext,not applicable
hamza-abed,JSEditorXtext,grammar-driven
Virtlink,paplj-xtext,grammar-driven
kwanggy,xtext-sublime,not applicable
thicket-lang,thicket-xtext,grammar-driven
agentlab,xtext-web,grammar-driven
test-editor,xtext-dropwizard,not applicable
kecskesk,xtext-menetrend,grammar-driven
ftrifin,xtext-utils,not applicable
scottopell,xtext_utils,not applicable
lukashaertel,xtext-fsml,grammar-driven
sahrmann,xtext-json,not applicable
Modaptix,xtext-utils,not applicable
itemis,xtext-issues,not applicable
holzem,xtext-lexertrace,grammar-driven
victorlacorte,Tcc,not applicable
limelanguage,lime-xtext,not applicable
edgarmueller,xtext-recordmapper,metamodel-driven
santoshdeshpande,wwf-xtext,not applicable
MatzeGIT,XText-maven,not applicable
tkurita,XText.scptd,not applicable
t-buss,mgpl_xtext,not applicable
dvdkruk,xtext-workshop,not applicable
npalix,org.xtext.example.mde,not applicable
logicfish,XActiv,metamodel-driven
kittaakos,webcalc,not applicable
evandor,skysail-prototypr-dsl,grammar-driven
iensen,certware-l-editor,grammar-driven
vladimirkozhaev,casualintellect_new_wizard,grammar-driven
TinyScream,org.xtext.amodel,grammar-driven
M2TIIL2016-2017,SiteWeb_XText,metamodel-driven
schakko,hackcamp-xtext-automotivebus,grammar-driven
sfinnie,xtext.scoping.adventures,grammar-driven
jpaw,bonaparte-apidsl,not applicable
rainerschuster,yacc-ide,not applicable
schakko,xtext-bug-436688,grammar-driven
dhuebner,xtext-builddsl-tycho,not applicable
matejsp,lwc13-xtext,not applicable
ftrifin,xtext-utils.uml,not applicable
mbarbero,xtext-forms-integration,metamodel-driven
FForw4rd,xtext-restriction-framework,metamodel-driven
zrrk,xtext-utils.devenv,not applicable
ftrifin,xtext-utils.xtend,not applicable
svenefftinge,xtext-jaxcon-example,grammar-driven
LorenzoBettini,xtext-demo-laquila,grammar-driven
jakecobb,xtext-iris-datalog,not applicable
Huluvu424242,rezept-dsl.xtext,grammar-driven
philiber92,xtext-utils.unittesting,not applicable
philiber92,xtext-utils.distribution,not applicable
phaldan,htwg-cform-xtext,not applicable
itemis,xtext-example-conplan,not applicable
LorenzoBettini,Xtext-Buckminster-Example,metamodel-driven
LorenzoBettini,xtextcon-typesystem-example,not applicable
dhuebner,org.xtext.example.tycho,metamodel-driven
agentlab,eclipse-orbit_xtext-web,grammar-driven
Tutti91,xtext_language_bla,not applicable
LeonoraG,xtext-req-editor,grammar-driven
xarvey,atom-xtext-autocomplete,not applicable
franzbecker,xtext-formatter-problem,not applicable
ftrifin,xtext-utils.distribution,not applicable
Fritzi,XText_TeSSLa,grammar-driven
madasar,booster2-xtext,not applicable
TypeFox,xtext-splitted-repo,not applicable
zrrk,xtext-utils.uml,not applicable
zrrk,xtext-utils.xtend,not applicable
ftrifin,xtext-forms-integration,metamodel-driven
JanKoehnlein,fxdiagram-xtext-examples,grammar-driven
ubx,openair,metamodel-driven
rju,xtext-typing-example,metamodel-driven
philiber92,xtext-utils.xtend,not applicable
Advanced-Model-Engineering-SS16,xtext-ocl-extensions,metamodel-driven
zrrk,xtext-utils.distribution,not applicable
Johanvdberg,mcrl2.xtext,grammar-driven
kryptonite22,rsbac.xtext.dsl,not applicable
tkleszczynski,jug-zgora-xtext,grammar-driven
philiber92,xtext-utils.devenv,not applicable
jeffmaury,devoxx2012-xtext,metamodel-driven
YonedaMasashi,xText_Practice,grammar-driven
jackqq,xTextEdit,not applicable
ftrifin,xtext-utils.unittesting,not applicable
lgcardeas,xtext-forms-integration,metamodel-driven
vrichard12,xtext-forms-integration,metamodel-driven
itemis,xtext-monaco-example,not applicable
pabu90,xtext-ci-test,not applicable
EricssonPlant,plantuml-xtext-light,not applicable
zrrk,xtext-utils.unittesting,not applicable
LorenzoBettini,xtext-index-experiments,metamodel-driven
ftrifin,xtext-utils.devenv,not applicable
inteldict,xtext-gradle-demo,not applicable
cdietrich,xtext-multi-dsl,metamodel-driven
hachreak,dmss.pouex.xtext,not applicable
lunifera,lunifera-xtext-runtimebuilder,grammar-driven
sikessle,xtext-forms-integration,metamodel-driven
priya0311,xtext-forms-integration,metamodel-driven
philiber92,xtext-utils.uml,not applicable
talalong,dbFactoryXtext,not applicable
stackoverflowmailer,lwc13-xtext,not applicable
willy2706,if4150-xtext,not applicable
wwu-pi,acse-xtext-validation,grammar-driven
ProgrammableDrones,xTextLanguage,not applicable
stefano-bragaglia,Kinect-ECE-XText,grammar-driven
wwu-pi,acse-xtext-gui,grammar-driven
peterssas,xtext-gradle-problem,grammar-driven
zhoumin03,xtext-forms-integration,metamodel-driven
gcubar,CodeXcessXtext,not applicable
cdietrich,xtext-ecore-xcore,metamodel-driven
ayoubziat,xtext_DSL_example,not applicable
xiaoyvr,xtext-demo-oxygen,not applicable
test-editor,deprecated-xtext-index-backend,not applicable
kuniss,Aqua,grammar-driven
npalix,org.eclipse.xtext.example.fowlerdsl,not applicable
dslmeinte,xtext-workshop-code1,metamodel-driven
chauhansaurabhb,Eclipse-Xtext-Mydsl-Plugin,grammar-driven
oyse,jetson,not applicable
zwgirl,summer,TBD
rymarenkosuccess,Coffeescript-Eclipse,not applicable
felipedf,compiler,grammar-driven
logicfish,XPlane,not applicable
LorenzoBettini,Xtext-Xtend-Buckminster-Example,grammar-driven
vorburger,eclipse-typescript-xtext-repository,not applicable
pankeshpatel,EclipsePluginForXtext,grammar-driven
Hellmy,plantuml-eclipse-xtext_update,not applicable
xpomul,xtext-multi-edit-example,grammar-driven
tmtron,xtext.eclipse.15minExtended,grammar-driven
deb-sandeep,com.sandy.xtext.jovenotes.ui,not applicable
ftrifin,xtext-utils.xtend1,not applicable
szarnekow,xtext-arithmetics-web-example,grammar-driven
wwu-pi,acse-xtext-knuth-binaries,grammar-driven
jwachter,xtext-serializer-issue-example,not applicable
DemidovAlexander,Xtext_MiniJava_IDE,grammar-driven
camilagarcia113,xtext-dsl-obj3,grammar-driven
cdietrich,gradle-xtext-xtend-problem,not applicable
uqbar-paco,firewall-dsls-externos-xtext,metamodel-driven
svenefftinge,Xtext-LWC-contribution--Instances-,metamodel-driven
rainerschuster,eclipse-webidl,not applicable
willy2706,if4150-xtext-html,not applicable
phaldan,htwg-cform-xtext-demo,not applicable
hypery2k,Xtext-GrammarMixin-Example,not applicable
philiber92,xtext-utils.subproject-template,not applicable
zrrk,xtext-utils.subproject-template,not applicable
thowin,ituXtextLandinConfigurator,grammar-driven
philiber92,xtext-utils.xtend1,not applicable
claudenirmf,old-tests-on-xtext,not applicable
zouhairireda,xtext-ocl-xtend-poc,metamodel-driven
franzbecker,xtext-serializer-parallel-problem,not applicable
lunifera,lunifera-xtext-runtimebuilder-example,not applicable
ftrifin,xtext-utils.subproject-template,not applicable
fluxtah,xtext-android-gradle-example,not applicable
hypery2k,Xtext-Maven-BuildExample,not applicable
kittaakos,xtext-eclipse-gh-238,grammar-driven
MatzeGIT,XText-Maven-CleanStart,not applicable
Rodolfocostapr,org.xtext.example.pascalito,not applicable
deb-sandeep,JoveNotesProcessor,not applicable
zrrk,xtext-utils.xtend1,not applicable
tanthingdeveloper3unshine,AutoCompleteXTextView,not applicable
loradd,uml-xtext-grammar-generator,not applicable
RobertWalter83,DialogScriptDSL,metamodel-driven
vicegd,org.xtext.dsl.restaurante,grammar-driven
paulluap,xtext-extras-issue216,not applicable
dhakehurst,net.akehurst.example.xtext.vertx,not applicable
alvilgau,de.htwg.xtext.setGame,grammar-driven
nittka,Xarchive,not applicable
rdurelli,com.br.refactoring.xtext.dsl,not applicable
tmtron,xtext.15minTutorial.project,not applicable
agentlab,eclipse-orbit_xtext-web-dsls,grammar-driven
threadedblue,org.eclipse.xtext.example.domainmodel,grammar-driven
cdietrich,xtext-existing-metamodel-gradle-example,metamodel-driven
wrungel,tycho.xtext.mwe2.test,not applicable
Scholvac,EclipseTaskJuggler,grammar-driven
ftmdida,xtext_code_gen_version_2,grammar-driven
alexwatts,xtext-j2ee-dsl,not applicable
cdietrich,xtext-gradle-plugin-issue-60,not applicable
thowin,ituXtextLandin2Configurator,grammar-driven
jkouwer,basicfamily,metamodel-driven
goldschmiede,2011-02-18_xtext_apache_wicket,not applicable
nileshrege,El,not applicable
deparlak,de.htwg.mdsd.xtext.portals,not applicable
shashwatanand,org.shashwat.xtext.smallJava,grammar-driven
mmalohlava,gpp-for-xtext-master-thesis,not applicable
dexz92,Integrating-Xtext-and-JavaRAG,not applicable
Rodolfocostapr,org.xtext.example.pascalitoOld,not applicable
KasperGam,IGESImport,grammar-driven
fuinorg,xsample,grammar-driven
florianpirchner,beantypes,metamodel-driven
cdietrich,xtext-gradle-plugin-issue-61,not applicable
rdurelli,com.br.refactoring.xtext.dsl.ui,not applicable
threadedblue,org.eclipse.xtext.example.domainmodel.tests,not applicable
rdurelli,com.br.refactoring.xtext.dsl.tests,not applicable
shashwatanand,org.shashwat.xtext.smallJava.ui,not applicable
tmtron,xtext.eclipse.15minExtended.project,not applicable
chqu1012,MetroUiDescriper,metamodel-driven
rainerschuster,sygus-ide,not applicable
jacruzca,xtext-multilanguage-multiple-target-impl-reuse,grammar-driven
qscdfg,mybash,grammar-driven
eirikg,XbaseSiriusIntegration,grammar-driven
nohum,android-code-generation,grammar-driven
gvd,zest-sm,not applicable
uqbar-paco,declaratividad-orm-java,metamodel-driven
shashwatanand,org.shashwat.xtext.smallJava.tests,not applicable
dhakehurst,net.akehurst.example.xtext.vertx.lsp,not applicable
vztpv,ClauTextWithEclipse,not applicable
goldschmiede,2011-04-29_xtext_service_repository,not applicable
markusvoelter,DSLEngBook-Xtext-P3Demo,not applicable
ESIR2Compilation,PrettyPrinter,not applicable
bmael,MVCLang,not applicable
zhou-jg,tefler,grammar-driven
bogdanvuk,xvhdl,grammar-driven
marcotinacci,XTuring,metamodel-driven
threadedblue,org.eclipse.xtext.example.domainmodel.ui,not applicable
joergreichert,OperationsResearch,grammar-driven
tommyettinger,julepp,not applicable
masters-info-nantes,SmokingText,TBD
daniel-laszlo,temalabor,not applicable
Communote,communote-restws,not applicable
vorburger,FormGeneratorPOC,not applicable
nittka,pocesl,not applicable
logicfish,POMText,not applicable
cdietrich,https---github.com-meysholdt-xtext_stateful_lexer,not applicable
bogdanvuk,xrst,grammar-driven
meysholdt,performance_probes,not applicable
agentlab,PowerLoomDSL,grammar-driven
rainerschuster,jdl-ide,not applicable
JoostvanPinxten,SDF3-editor,grammar-driven
ceefour,emf-sandbox,metamodel-driven
Mehdi23,FlexoModelingLanguage,metamodel-driven
atanaka,experimental-rmodp-dsl,metamodel-driven
leolimasa,reqlang,grammar-driven
smba,model-based-times,TBD
DavidFosterLuhmann,high-dim,not applicable
test-editor,deprecated-test-editor-index-backend,not applicable
sidz8690,EasyUnit,not applicable
lsotnk,lsotnk.xbase.launching,not applicable
Tim-S,ReqLNG,grammar-driven
helunwencser,PAOC,grammar-driven
nakul02,sysml.dml,grammar-driven
rainerschuster,tlsf-ide,not applicable
rainerschuster,asdl-ide,not applicable
N0P0x90,EclipseExamples,TBD
martinmuellenberg,cityplanning,not applicable
newdigate,soa-dsl-scaffolding,not applicable
evansnicholas,yaxpath,not applicable
nittka,ASP,not applicable
josros,boby,grammar-driven
danhaywood,kemble,not applicable
schakko,bsc-thesis-documentation,not applicable
szarnekow,mongoBeans,metamodel-driven
timeraider4u,external_jar_download,not applicable
Buggaboo,xplatform,TBD
jonathankoehn,entitygenerator,not applicable
marcusphi,polopoly-dsl,metamodel-driven
alexisfacques,dsl-feature-modelling,not applicable
sbrocard,statemachine-generator,metamodel-driven
JPL-IMCE,gov.nasa.jpl.imce.oml.core,not applicable
PuneetPatwari,system-map-maker,not applicable
atanaka,DomainmodelWithCrossReference,grammar-driven
cedricvidal,protobuf4e,not applicable
rowlo,testdsl,not applicable
joergreichert,Cool,grammar-driven
WesleyMarques,CompiladorJava,grammar-driven
tommyettinger,kobold,grammar-driven
stolorz,RankPL-EclipsePlugin,grammar-driven
UnibgInfo3A,ebnfworkbench,grammar-driven
sergiowebo,RaspduinoDSL,grammar-driven
Remypoc,CmooSimpleJ,grammar-driven
majordomo,majordomo,metamodel-driven
ryanignatius,CheckerDSL,grammar-driven
raynair,webml,metamodel-driven
arbennett,ParserGeneratorExample,grammar-driven
OElabed,Model-Driven-Engineering--Eclipse-RCP-plugin--Software-product-line,grammar-driven
renaudhelias,MameVHDL,metamodel-driven
cwiscount,mydsl-emf-gen,metamodel-driven
rmuecke,clinicaltrialcreator,not applicable
mythicfreak,aomxsgrammar,grammar-driven
diverse-project,melange-studio,not applicable
marcotinacci,Event-Oriented-Language,metamodel-driven
ksza,Bicycle-Shop,metamodel-driven
marcotinacci,SwarmRobotics,metamodel-driven
Padmar1995,gh,not applicable
