Owner,Repository,Mwe2 Existence,Extensions
kecksk0enig,vuc-xtext,YES,mgpl
EvdokimovMaks,xtext-expressions,YES,expressions
Sorokatov,xtext-demo,YES,dmodel
uppaal-emf,uppaal-xtext,YES,xml
matheuslenke,Xtext-UML,YES,umltext
r4mtor,xtext-talks,YES,dataflow
nbhusare,xtext-playground,YES,"ui,model"
kokostino,xtext_kokomodel,YES,koko
GiordanoT,ocl-xtext,YES,ocl
dr-jam,ABL-XText,YES,abl
lahirugayanga,xtext-projection,YES,projection
daniel614,xtext-webapp,YES,wappm
Spiderixius,DSLIndividualXtext,YES,mgl
mdsd-team-1,photos-xtext,YES,mydsl
efuentesp,xtext-cobol,NO,
torosky,Libreria-Xtext,NO,
MaxiEckert,Xtext-example,YES,mydsl2
as500,xtext-rpgle,NO,
JavierOramas,AudiXText,NO,
xtext,xtext-monorepo,YES,"entities,fileExtensions,mydsl,dmodel,testlang,testlangext,typesAssistTest,statemachine,rules,codetemplates,simplexml,calc,ecore2xtexttest,buildertestlanguage,xbase,file.extensions"
vjordan,Xtext_browser,YES,mydsl
Yop-La,xtext_project,YES,mml
JesterOrNot,Gitpod-XText,YES,hello
eclipse,xtext-archive,NO,
Lethalaric,xtext-learning,YES,dmodel
DSIE2,tr.xtext,YES,teleor
ShivaniBali,Theia-Xtext,YES,mydsl
kthoms,xtext-webinar,NO,
christopherosthues,mgpl-xtext,YES,mgpl
zhanglin2018,learnXtext,YES,"entities,mydsl"
seebgar,Xtext-Projects,YES,ceffective
Vallenstein,xtext_web,YES,lpdsl
AbQadirr,dialogXtextflow,NO,
blue995,xtext-orm,YES,pmodel
arockiaraj1994,xtext-mvn,YES,mydsl
moein9,passXtext,NO,
saivarunr,xtext-editor,NO,
JesterOrNot,xtext-cli,NO,
Somiacao,xtext-web,YES,mydsl
katmatt,graphql-xtext,YES,graphql
LIONant-depot,xtexture_compiler,NO,
tchebs,xtext-example,YES,mydsl2
ballcoach12,xtext_samples,NO,
AssaX0,MDSE-xtext,YES,dmodel
samples-projects,sample-xtext,YES,dmodel
karthik137,xtext-demo,YES,dmodel
MDE-Course-23-24,SIRIUS-XTEXT,YES,statemachinet
softlang,megal-xtext,YES,
laurocesar,xtext-domainmodel,YES,dmodel
Yahaya12,Xtext-project,NO,
malhxr,SpeechXtext,NO,
stanimirovv,xtext-extractor,NO,
3m3k3,xtext-congen,YES,mp
pen-zhang,xtext_elm_editor,NO,
NSaitoNmiri,toppers_cfg_xtext,YES,cfg
tmtron,ex.xtext.twog,YES,"dsla,dslb"
vinicius0197,metacrysl,YES,crysl
Dexels,navascript-editor,YES,ns
adrianrutle,PCS953-EMF-Exercise,NO,
ravornyo,xspice,YES,cir
yamen-njm,IotXtext,YES,iotmodel
kainzpat14,xtext-plsql,YES,kainzplsql
epsilonlabs,emc-xtext,NO,
robertovillarejo,kukulkan-grammar,YES,3k
lvanzeun,ulm-xtext-test,YES,metaulm
purerstamp,N7.compilateur,YES,rat
jaedabee,xtext-gradle-test,NO,
MassiBelaid,M-langeuse-Xtext,YES,dmodel
qxe35v,xtext_encoding_dsl,YES,enco
random-eclipse,nix-eclipse-xtext,YES,nix
meta-doodle,Xtext_Gradle_Test,YES,mdl
LiamWalsh98,nusmv-xtext-lsp,YES,smv
MaximilianKoestler,vscode-xtext-links,NO,
AhmedEssam2212,xText-Editor-,NO,
adrinerDP,DSL-with-Xtext,YES,entities
cdietrich,xtext-domainmodel-ls,YES,dmodel
tmtron,ex.xtext.ml,YES,"dsla,dslc,dslb"
andrewsandu,xtext-web-example,YES,mydsl
pngowda,xtext-build-tools,NO,
SharkJ,xtext-dsl-sample,YES,mydsl
hammedb197,team-hacktive-xtext,NO,
SimonCockx,xtext-monaco-example,YES,mydsl
mister-walter,xtext-folding-issue,YES,lisp
alexvolh,xtext-xml-grammar,YES,xml
SharkJ,my-theia-xtext,YES,dsl
urbanoanderson,xtext-gait-model,YES,
vjordan,Xtext_directory-file,YES,dirfile
JosBouwhuis,xText-DSL,NO,
CS130-W20,assignment-2-xtext,NO,
lunifera,xtext-jvmtypeprovider-standalone,NO,
bobbyfisher1,eclipse-workspace,YES,entities
dsl-course,xtext-entities-tutorial,NO,
Highbrainer,xtext-pde-target,NO,
mattsse,xtext-fipa-acl,YES,acl
XIECHO,qingo_xtext_documentation,NO,
FariSoftware,xtext-problem-matcher,NO,
ShrawanBK,xtext.sales.transactions,NO,
Lzgpom,xtext-gen-extension,YES,"bm,bamol,sm,dmodel,rules,calc"
drkstr101,Domainmodel,YES,dmodel
vinicius0197,expressions-dsl,YES,expressions
LorenzoBettini,xtext-xdoc-releases,NO,
KarstenWilken,xTextForum,YES,mydsl
S-wald,xtext-plugin-gradle,YES,"mydsl,dmodel"
lahirugayanga,xtext-example-dsl,YES,mydsl
cdietrich,xtext-fragment-experiments,YES,mydsl
cdietrich,xtext_bug_1974,YES,mydsl
bergmanngabor,xtext-railmap-demo,YES,rail
mchlrch,xtext-intro-bfh,YES,har
EvdokimovMaks,xtext-example-entities,YES,entities
cipek,MyFirstXText,YES,helloweb
pngowda,xtext-ci-libs,NO,
paulvberlin,BaSiriusXtext,YES,activity
szarnyasg,sql-pgq-xtext,YES,pgq
frademacher,xtext-jpms-test,NO,
xtext,xtext-monorepo-lfs,NO,
LorenzoBettini,xtext-build-utils,YES,"tychotestlanguage,maventestlanguage,tychopomlesstestlanguage,tychoxbasetestlanguage"
cdietrich,xtext-two-dsls,YES,"mydsla,mydslb"
balazsgrill,xtext_bug508518,YES,mydsl
Tim-S,xtext-valueconverter-example,YES,mydsl
ayakurtam,xText-Editor,NO,
HouseBuilder-MDE,HouseBuilder-Xtext,YES,hb2
xtext,xtext-orbit-replacement,NO,
fedorov-vk,xtext-xcore-sample,YES,library
gustavotemple,mo631xtext,YES,rabbit
Tim-S,xtext-mapbasedscope-example,YES,mydsl
shakenetwork,xTextHandler,NO,
GabrielBozza,ProjetoXtextPFC,YES,rules
HexXText,HexXTextSMP,NO,
snarkipus,xtext-dsl-book,YES,entities
fedorov-vk,xtextxtend-book-examples,YES,"entities,greetings,smalljava,library,xentities,school,xexpressions,expressions"
ArneDeutsch,xtext-gradle-example,YES,"mydsl1,mydsl,mydsl2"
oliver-reinhard,xtext-ppt-demo,YES,abppt
tpluscode,xtext-completion-nullpointer,YES,mydsl
idiomaticsoft,sbt-xtext-plugin,NO,
pen-zhang,online_elm_xtext,YES,oe
raglu,ExternalDSL-xtext,YES,mydsl
kulcsii,xtext-railmap-theia,YES,rail
NiccoMlt,xtext-showdown-grammar,YES,sdt
NinjaArmy,xtext-language-server,NO,
jnt0r,xtext-npe-reproducable,YES,mydsl
HermanPeeren,eJSL-ANTLR4,NO,
cs130-w21,statemachine,YES,sm
csbc92,MDSE-assignment3,YES,mathexp
ghillairet,org.example.mydsl.parent,YES,mydsl
antoine-morvan,caph-java-parser,YES,cph
abatti,XTEXT_FACPL3_PreserveVarious,NO,
tfLabs,xtext-languageserver-example-duplicator,YES,mydsl
LorenzoBettini,xtext-maven-plugin-example,YES,mydsl
cdietrich,xtext-eclipse-issue-1009,NO,
patrickneubauer,UoY-MODE-XTEXT,YES,entity
cau-se,sprat-ecosystem-dsl-xtext,YES,
cdietrich,theia-xtext-vscode-example,NO,
cdietrich,j9-tycho-xtext,YES,mydsl5
loradd,xtext-lsp-ecore-support,YES,dsl
nnn911,LaTeXTextOverlay,NO,
IbanezGio,VuC,NO,
Samirez,DSLs,YES,"math,if,ui"
ShahimEssaid,com.essaid.model.xtext,NO,
gon10,EclipseRepoTese,YES,"entities,mydsl,rsl"
max-leuthaeuser,jmhmathexample,YES,math
tshoang,WhitespaceIDE,YES,ws
seebgar,MISO4202-proyecto-xtext,YES,mydsl
NiccoMlt,xtext-15-minutes-tutorial,YES,dmodel
SharkJ,theia-xtext-extension-test,YES,dsl
jku-win-se,JsonBasedXtextGrammar,NO,
altran-mde,xtext-sirius-integration.io,NO,
cdietrich,xtext-core-issue-1835,NO,
Zaki-Fadlan,xtext_getting_started_skilledup,YES,dmodel
raptor494,Xtext-Minecraft-JSON-Languages,YES,"mcloot,mcblockstate,mcmodel,mcentity"
rudi,xtext-emacs-lsp-demo,YES,entities
fedorov-vk,apds_prototype,YES,"prot,subj"
test-editor,test-editor-xtext-gradle,YES,"tcl,tml,config,tfr,aml,tsl"
Ixgauth,perspectiveDSL-Sirus-Xtext,NO,
keve98,SzakD_xtext_xtend,YES,entx
silvergl,xtext-headless-rcp-example,YES,mydsl
reinaqu,bpmnFromXtextDSL,YES,bpsec
xtext,xtext-p2-orbit,NO,
dsl-course,xtext-tutorial-turku-interim,YES,entities
tfLabs,xtext-lsp-validation-anyway,YES,mydsl
BalzGuenat,xtext-bug-minimal-example,YES,mydsl
dmfullstack,org.xtext.example.mydsl,YES,mydsl
SuelanyBrito,JFlex_CUP_XText_SQL,YES,mydsl
cdietrich,xtext-languageserver-example-simple,YES,mydsl
msntts,Xtext-Standalone-fat-jar,YES,mydsl
oldulov,cfeditor,YES,file.extensions
LorenzoBettini,xtext-type-errors-examples,YES,"expressions,fj"
claudenirmf,OntoUML-2.0-Xtext,YES,ontouml
Mehmetcanss,example_xtext_language_server_vscode,YES,person
lidochca,xtext.skip.build.before.rename,NO,
cdietrich,xtext-maven-plugin-coverage-example,YES,mydslcov
Kevin-Philip,TP_etudiant_Compilax,YES,wh
elite-se,elite-se.xtext.languages.plantuml,YES,puml
tshoang,BareBonesIDE,YES,bb2
tareklel,PDFtoText,NO,
TVTower,TVTBlitzmaxEditor,YES,bmx
cdietrich,xtext-multi-dsl-manual-metamodel,YES,mydsl3test
hallvard,xost,NO,
davidmpaz,log-book,YES,logtime
oliver-reinhard,xtext-scoping-default-imports-demo,YES,scope2
tshoang,Simple-Barebone-XText-based-IDE,YES,bb
MISO4202,uniandes.mdd.example.create-xtext,NO,
NaoMod,XText-Language-Server-in-VSCode,YES,fml
MISO4202,xtext-egl-sql2java,YES,sql
cdietrich,simple-xtext-parallel-load-example,YES,mydsl
bobbyfisher1,expressions,YES,"smalljava,expressions"
lowcomote,DBML-to-ER,YES,dbml
tfLabs,xtext-n4js-lsp,YES,mydsl
yishakabreham,mde.sales.transactions.xtext.4,YES,salestransaction
Rajesh2015,DSL-using-Xtext-and-Xtend,YES,mydsl
cdietrich,xtext-lsp-tests-with-tycho,YES,mydsl
CarlosAsrc,Reconhecedor-scheme,YES,scm
oliver-reinhard,xtext-scoping-default-namespaces-demo,YES,scope
TVTower,TVTDatabaseEditor,YES,xml
casino-mdd,DSL,YES,spdl
cokeSchlumpf,bashdsl,YES,
sumeetchhetri,faugjs-eclipse-plugin,YES,json
sderrien,Uclid-editor,YES,"ucl,uclid,ucl"
GlancingMind,xtext-lsp-missing-deleteFile-impl,YES,mydsl
zmy3036190149,theia-xtext-pf-v1-backup,YES,pf
MDSDLab,mdsd-2023-lab2-xtext-xtend,YES,wt
abieren,MDSD-Xtext-Project-for-JavaFX,YES,guimodel
SimonCockx,xtext-assertAllWhitespaceIsFormatted,YES,mydsl
tombk556,SF_Factories_Beleg2324_Xtext_DSL,YES,S87622S87673
DonatasC,CodeGeneration,NO,
trichterwolke,init,YES,init
zs6jce,x400-xrpgle,NO,
cyrilnavessamuel,TripManagment,YES,tripxt
paullewallencom,xtext-xtend-978-1-7864-6496-5,YES,"entities,greetings,smalljava,hellomaven,helloweb,helloidea,library,xentities,school,xexpressions,expressions"
coalae,telemed,YES,telemed
vorburger,xtend-StackOverflowError-issue461,NO,
JoaoMAlmeida,projetoCompiladores18-2,YES,pas
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,NO,
vks2106,domain.model,YES,dmodel
metafacture,metafacture-flux,YES,flux
mrtnstn,example-script-language,YES,xs
Michel-Nassalang,eclipse_workspace,YES,"fb,ap,fg,tp,calcul"
varadbal,FunPL,YES,funprogram
oliverablagojevic,QuestionnaireDSL,YES,mydsl
EightPillars,NmtranEditor,YES,ctl
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,YES,obsr
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,YES,lobster
hvbargen,meth,YES,meth
mischnic,bachelors-thesis,NO,
cs130-w22,statemachine,YES,sm
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,YES,"iotproyect,iotproyect2"
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,NO,
mdsd-team-1,domain-specific-language,YES,dmodel
PalladioSimulator,Palladio-Editors-VSCode,NO,
nils-christian,xtend-active-annotation-issue,NO,
modicio,feature-dsl-tools,YES,featurelang
HBuender,Aim42Visualizer,YES,iacdsl
scanyboss,ide-yourdsl,NO,
spirvdev,dumpsymb,NO,
thlaegler,edilang,YES,edi
agonzalezgaliana,mydsl-language-server,NO,
codezork,DSL-Blog,YES,geo
LorenzoBettini,issue-2000-example,YES,tychotestlanguage
trifonnt,net.adempiere.dsl.properties.spring.parent,YES,propsModel
scanyboss,hello-world-language,NO,
joerg-holtmann,Pretty-Printer_Language-Analysis,YES,"sml,mydot,xcore,sql,mybibtex,myatl,myqvto,spectra,eatxt,ATLno,myxenia"
coffeeframework,HLVL,YES,hlvl
HermanPeeren,eJSL-MPS,NO,
kukulkan-project,kukulkan-language-server,YES,"3k,kukulkan"
mdsd-team-1,dsl-layered-style,NO,
larissafiorini,t2-lingProg,YES,mydsl
ragben,NetzDsl,NO,
Cosimo5lli,assertx-swing,YES,assertxs
gyaltso,Eclipse-Training-Schedules,NO,
wzurborg,xtend-example,YES,mydsl
kyberszittya,simple-ros-code-generator,YES,hybridbehavior
LinguaPhylo,linguaPhyloDSL,YES,lphy
dsanmartins,Entidades,YES,entidades
opcoach,datasample,YES,
bujosa,smart-dsl,YES,contract
robinguill,DSL_UML_INSA,YES,uml
DedalArmy,SpringDSLJava,NO,
LiamWalsh98,tumlrt-language-server,YES,mydsl
jonev,HTTP-REST-test-DSL,YES,testsuite
ElBilbao,DSL-Wizard-Creator,YES,wiz
ooaa30,Wail,YES,wail
Wilson008,GrammarGenerator,NO,
ScytherTool,dsl,YES,spdl
NaoMod,MiniTL,YES,minitl
ryangarvey,mde-spec,YES,spec
bfMarcelino,SchemeLP,YES,mydsl
henriklange,ifcBrickConvert,NO,
osarenogae,fault_trees_textual_editor,YES,faulttree
claudenirmf,TPTP-Editor,YES,p
augustin-rialan,IDM,YES,qcm
henriklange,ifcBrickConvertDsl,YES,ifc
PikaQin,XModel-Code-Converter,YES,xmodel
helloyaqin,XModel-Code-Converter,YES,xmodel
Garlo13,CEPStaticAnalysis,YES,esper
Frederic-Boulanger-UPS,MiniARM-feature,YES,arm
Jaddison011,C4EventB,YES,c
MDEGroup,metatemplating,YES,mt
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,NO,
grammeaway,math-interpreter-dsl,YES,mydsl
ahmedsaleh1998,concept_project,NO,
Chaimaa-Louahabi,Model-Driven-Engineering,NO,
fayssalElAnsari,Kotlin-Meta-Model,YES,kt
MisbahAwan,SeamlessRuntimeTransformations,YES,myzdsl
ProjetoDSL,CanopusDesign,NO,
Ryuzaki101,Workbench,YES,mic
eclipse,xtext,YES,ddd
eclipse,xtext-core,YES,"file.extensions,fileExtensions,mydsl,testlang,testlangext"
eclipse,xtext-xtend,YES,file.extensions
