Owner Login,Repo Name,XText File Path
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/completion/keys/excessiveInnerKeywords.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/completion/keys/noKeywordsAfterGrammarKeyword.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/completion/keys/noKeywordsAfterGrammarKeywordMiddle.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/Terminals.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/Xbase.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/Xtype.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/actionsGrammar.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/arithmetics.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/checkErrorsCorrect.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/choicesExample.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/computingRules1.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/entityExampleReferencesImplementation.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/entityLan.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/entityLan2.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/expressions.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/findXtextFile.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/generation1.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/generation2.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/generationImportedGrammar.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/generationImportedGrammar2.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/negatedTerminalRules.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/newGrammar.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/parserRules.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/parserRules2.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/returnsAndFragment.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/simple.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/smallJava.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/statemachine.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/terminalRules.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/xtext.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/resources/testData/generation/generateBnf/xtextCopy.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/afterMultilineCommentEnd.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/afterMultilineCommentMiddle.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/afterRuleDeclarationEnd.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/afterRuleIdEnd.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/afterRuleIdMiddle.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/afterRuleKeyword.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/afterRuledeclarationMiddle.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/afterSinglelineCommentEnd.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/afterWhitespacesEnd1.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/afterWhitespacesEnd2.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/afterWhitespacesMiddle1.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/afterWhitespacesMiddle2.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/allAfterGrammarIdEnd.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/allAfterGrammarIdMiddle.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorInAbstractRuleAlternatives.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorInAbstractRuleColonMiss.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorInAbstractRuleId.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorInEnumRuleId.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorInGrammarId.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorInGrammarId2.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorInGrammarKeyword.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorInGrammarWithPart.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorInTerminalRuleId.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorRecoveryAfterTwoErrorRules.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorRecoveryInAbstractRuleAlternatives.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorRecoveryInAbstractRuleColonMiss.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorRecoveryInAbstractRuleId.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorRecoveryInEnumRuleId.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/errorRecoveryInTerminalRuleId.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/excessiveInnerKeywords.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/noKeywordsAfterGrammarKeyword.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/completion/keys/noKeywordsAfterGrammarKeywordMiddle.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/Terminals.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/Xbase.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/Xtype.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/actionsGrammar.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/arithmetics.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/checkErrorsCorrect.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/choicesExample.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/computingRules1.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/entityExampleReferencesImplementation.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/entityLan.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/entityLan2.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/expressions.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/findXtextFile.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/generation1.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/generation2.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/generationImportedGrammar.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/generationImportedGrammar2.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/negatedTerminalRules.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/newGrammar.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/parserRules.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/parserRules2.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/returnsAndFragment.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/simple.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/smallJava.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/statemachine.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/terminalRules.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/xtext.xtext
pakhopav,XtextPlugin,pakhopav-XtextPlugin-cf97709/src/test/resources/testData/generation/generateBnf/xtextCopy.xtext
IamRaziel,XtextTutorial,IamRaziel-XtextTutorial-1e29c37/org.example.domainmodel/src/org/example/domainmodel/Domainmodel.xtext
MisbahAwan,XtextCollaborativeEnvironment,MisbahAwan-XtextCollaborativeEnvironment-eacacb9/webdsl.epackage.pkgdsl.parent/webdsl.epackage.pkgdsl/src/webdsl/epackage/pkgdsl/PkgDsl.xtext
MisbahAwan,XtextCollaborativeEnvironment,MisbahAwan-XtextCollaborativeEnvironment-eacacb9/webdsl.epackage.pkgdsl.parent/webdsl.epackage.pkgdsl/target/classes/webdsl/epackage/pkgdsl/PkgDsl.xtext
MisbahAwan,XtextCollaborativeEnvironment,MisbahAwan-XtextCollaborativeEnvironment-eacacb9/webdsl.epackage.pkgdsl/src/webdsl/epackage/pkgdsl/PkgDsl.xtext
MisbahAwan,XtextCollaborativeEnvironment,MisbahAwan-XtextCollaborativeEnvironment-eacacb9/webdsl.epackage.pkgdsl/target/classes/webdsl/epackage/pkgdsl/PkgDsl.xtext
RomainLefeuvre,xtextHW,RomainLefeuvre-xtextHW-7284e6a/org.xtext.example.mydsl.parent/org.xtext.example.mydsl/src/main/java/org/xtext/example/mydsl/MyDsl.xtext
RomainLefeuvre,xtextHW,RomainLefeuvre-xtextHW-7284e6a/org.xtext.example.mydsl1.parent/org.xtext.example.mydsl1/src/main/java/org/xtext/example/mydsl1/MyDsl.xtext
RomainLefeuvre,xtextHW,RomainLefeuvre-xtextHW-7284e6a/org.xtext.example.mydsl1.parent/org.xtext.example.mydsl1/target/classes/org/xtext/example/mydsl1/MyDsl.xtext
alvarofpp,tutorial-xtext,alvarofpp-tutorial-xtext-b52b36f/tutorial_simple/org.example.domainmodel/src/org/example/domainmodel/Domainmodel.xtext
adamhorvath88,Xtext,magick93-xtext-0528aa7/org.domaindriven.dsl.parent/org.domaindriven.dsl/src/main/java/org/domaindriven/dsl/Ddd.xtext
adamhorvath88,Xtext,magick93-xtext-0528aa7/org.domaindriven.dsl.parent/org.domaindriven.dsl/target/classes/org/domaindriven/dsl/Ddd.xtext
adamhorvath88,Xtext,magick93-xtext-0528aa7/org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/src/main/java/org/domaindriven/model/dsl/Ddd.xtext
adamhorvath88,Xtext,magick93-xtext-0528aa7/org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/target/classes/org/domaindriven/model/dsl/Ddd.xtext
Caroline66666,xtext,magick93-xtext-0528aa7/org.domaindriven.dsl.parent/org.domaindriven.dsl/src/main/java/org/domaindriven/dsl/Ddd.xtext
Caroline66666,xtext,magick93-xtext-0528aa7/org.domaindriven.dsl.parent/org.domaindriven.dsl/target/classes/org/domaindriven/dsl/Ddd.xtext
Caroline66666,xtext,magick93-xtext-0528aa7/org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/src/main/java/org/domaindriven/model/dsl/Ddd.xtext
Caroline66666,xtext,magick93-xtext-0528aa7/org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/target/classes/org/domaindriven/model/dsl/Ddd.xtext
