Owner,Repository,Mwe2 Existence
thicket-lang,thicket-xtext,YES
agentlab,xtext-web,YES
test-editor,xtext-dropwizard,YES
kecskesk,xtext-menetrend,YES
ftrifin,xtext-utils,NO
scottopell,xtext_utils,NO
lukashaertel,xtext-fsml,YES
sahrmann,xtext-json,YES
Modaptix,xtext-utils,NO
itemis,xtext-issues,NO
holzem,xtext-lexertrace,YES
victorlacorte,Tcc,NO
limelanguage,lime-xtext,NO
edgarmueller,xtext-recordmapper,YES
santoshdeshpande,wwf-xtext,YES
MatzeGIT,XText-maven,YES
tkurita,XText.scptd,NO
t-buss,mgpl_xtext,YES
dvdkruk,xtext-workshop,YES
npalix,org.xtext.example.mde,YES
logicfish,XActiv,YES
kittaakos,webcalc,YES
evandor,skysail-prototypr-dsl,YES
iensen,certware-l-editor,YES
vladimirkozhaev,casualintellect_new_wizard,YES
TinyScream,org.xtext.amodel,YES
M2TIIL2016-2017,SiteWeb_XText,YES
schakko,hackcamp-xtext-automotivebus,YES
sfinnie,xtext.scoping.adventures,YES
jpaw,bonaparte-apidsl,YES
rainerschuster,yacc-ide,YES
schakko,xtext-bug-436688,YES
dhuebner,xtext-builddsl-tycho,YES
matejsp,lwc13-xtext,YES
ftrifin,xtext-utils.uml,NO
mbarbero,xtext-forms-integration,YES
FForw4rd,xtext-restriction-framework,YES
zrrk,xtext-utils.devenv,NO
ftrifin,xtext-utils.xtend,NO
svenefftinge,xtext-jaxcon-example,YES
LorenzoBettini,xtext-demo-laquila,YES
jakecobb,xtext-iris-datalog,YES
Huluvu424242,rezept-dsl.xtext,YES
philiber92,xtext-utils.unittesting,YES
philiber92,xtext-utils.distribution,NO
phaldan,htwg-cform-xtext,YES
itemis,xtext-example-conplan,YES
LorenzoBettini,Xtext-Buckminster-Example,YES
LorenzoBettini,xtextcon-typesystem-example,YES
dhuebner,org.xtext.example.tycho,YES
agentlab,eclipse-orbit_xtext-web,YES
Tutti91,xtext_language_bla,YES
LeonoraG,xtext-req-editor,YES
xarvey,atom-xtext-autocomplete,NO
franzbecker,xtext-formatter-problem,YES
ftrifin,xtext-utils.distribution,NO
Fritzi,XText_TeSSLa,YES
madasar,booster2-xtext,YES
TypeFox,xtext-splitted-repo,YES
zrrk,xtext-utils.uml,NO
zrrk,xtext-utils.xtend,NO
ftrifin,xtext-forms-integration,YES
JanKoehnlein,fxdiagram-xtext-examples,YES
ubx,openair,YES
rju,xtext-typing-example,YES
philiber92,xtext-utils.xtend,NO
Advanced-Model-Engineering-SS16,xtext-ocl-extensions,YES
zrrk,xtext-utils.distribution,NO
Johanvdberg,mcrl2.xtext,YES
kryptonite22,rsbac.xtext.dsl,NO
tkleszczynski,jug-zgora-xtext,YES
philiber92,xtext-utils.devenv,NO
jeffmaury,devoxx2012-xtext,YES
YonedaMasashi,xText_Practice,YES
jackqq,xTextEdit,NO
ftrifin,xtext-utils.unittesting,YES
lgcardeas,xtext-forms-integration,YES
vrichard12,xtext-forms-integration,YES
itemis,xtext-monaco-example,YES
pabu90,xtext-ci-test,YES
EricssonPlant,plantuml-xtext-light,NO
zrrk,xtext-utils.unittesting,YES
LorenzoBettini,xtext-index-experiments,YES
ftrifin,xtext-utils.devenv,NO
inteldict,xtext-gradle-demo,YES
cdietrich,xtext-multi-dsl,YES
hachreak,dmss.pouex.xtext,YES
lunifera,lunifera-xtext-runtimebuilder,YES
sikessle,xtext-forms-integration,YES
priya0311,xtext-forms-integration,YES
philiber92,xtext-utils.uml,NO
talalong,dbFactoryXtext,YES
stackoverflowmailer,lwc13-xtext,YES
willy2706,if4150-xtext,YES
wwu-pi,acse-xtext-validation,YES
ProgrammableDrones,xTextLanguage,NO
stefano-bragaglia,Kinect-ECE-XText,YES
wwu-pi,acse-xtext-gui,YES
peterssas,xtext-gradle-problem,YES
zhoumin03,xtext-forms-integration,YES
gcubar,CodeXcessXtext,YES
cdietrich,xtext-ecore-xcore,YES
ayoubziat,xtext_DSL_example,YES
xiaoyvr,xtext-demo-oxygen,YES
test-editor,deprecated-xtext-index-backend,NO
kuniss,Aqua,YES
npalix,org.eclipse.xtext.example.fowlerdsl,YES
dslmeinte,xtext-workshop-code1,YES
chauhansaurabhb,Eclipse-Xtext-Mydsl-Plugin,YES
oyse,jetson,YES
zwgirl,summer,YES
rymarenkosuccess,Coffeescript-Eclipse,YES
felipedf,compiler,YES
logicfish,XPlane,NO
LorenzoBettini,Xtext-Xtend-Buckminster-Example,YES
vorburger,eclipse-typescript-xtext-repository,NO
pankeshpatel,EclipsePluginForXtext,YES
Hellmy,plantuml-eclipse-xtext_update,NO
xpomul,xtext-multi-edit-example,YES
tmtron,xtext.eclipse.15minExtended,YES
deb-sandeep,com.sandy.xtext.jovenotes.ui,NO
ftrifin,xtext-utils.xtend1,NO
szarnekow,xtext-arithmetics-web-example,YES
wwu-pi,acse-xtext-knuth-binaries,YES
jwachter,xtext-serializer-issue-example,YES
DemidovAlexander,Xtext_MiniJava_IDE,YES
camilagarcia113,xtext-dsl-obj3,YES
cdietrich,gradle-xtext-xtend-problem,NO
uqbar-paco,firewall-dsls-externos-xtext,YES
svenefftinge,Xtext-LWC-contribution--Instances-,YES
rainerschuster,eclipse-webidl,YES
willy2706,if4150-xtext-html,NO
phaldan,htwg-cform-xtext-demo,NO
hypery2k,Xtext-GrammarMixin-Example,YES
philiber92,xtext-utils.subproject-template,NO
zrrk,xtext-utils.subproject-template,NO
thowin,ituXtextLandinConfigurator,YES
philiber92,xtext-utils.xtend1,NO
claudenirmf,old-tests-on-xtext,YES
zouhairireda,xtext-ocl-xtend-poc,YES
franzbecker,xtext-serializer-parallel-problem,YES
lunifera,lunifera-xtext-runtimebuilder-example,NO
ftrifin,xtext-utils.subproject-template,NO
fluxtah,xtext-android-gradle-example,NO
hypery2k,Xtext-Maven-BuildExample,YES
kittaakos,xtext-eclipse-gh-238,YES
MatzeGIT,XText-Maven-CleanStart,YES
Rodolfocostapr,org.xtext.example.pascalito,YES
deb-sandeep,JoveNotesProcessor,NO
zrrk,xtext-utils.xtend1,NO
tanthingdeveloper3unshine,AutoCompleteXTextView,NO
loradd,uml-xtext-grammar-generator,NO
RobertWalter83,DialogScriptDSL,YES
vicegd,org.xtext.dsl.restaurante,YES
paulluap,xtext-extras-issue216,YES
dhakehurst,net.akehurst.example.xtext.vertx,YES
alvilgau,de.htwg.xtext.setGame,YES
nittka,Xarchive,YES
rdurelli,com.br.refactoring.xtext.dsl,YES
tmtron,xtext.15minTutorial.project,NO
agentlab,eclipse-orbit_xtext-web-dsls,YES
threadedblue,org.eclipse.xtext.example.domainmodel,YES
cdietrich,xtext-existing-metamodel-gradle-example,YES
wrungel,tycho.xtext.mwe2.test,YES
Scholvac,EclipseTaskJuggler,YES
ftmdida,xtext_code_gen_version_2,YES
alexwatts,xtext-j2ee-dsl,YES
cdietrich,xtext-gradle-plugin-issue-60,YES
thowin,ituXtextLandin2Configurator,YES
jkouwer,basicfamily,NO
goldschmiede,2011-02-18_xtext_apache_wicket,NO
nileshrege,El,YES
deparlak,de.htwg.mdsd.xtext.portals,YES
shashwatanand,org.shashwat.xtext.smallJava,YES
mmalohlava,gpp-for-xtext-master-thesis,NO
dexz92,Integrating-Xtext-and-JavaRAG,YES
Rodolfocostapr,org.xtext.example.pascalitoOld,YES
KasperGam,IGESImport,YES
fuinorg,xsample,YES
florianpirchner,beantypes,NO
cdietrich,xtext-gradle-plugin-issue-61,YES
rdurelli,com.br.refactoring.xtext.dsl.ui,NO
threadedblue,org.eclipse.xtext.example.domainmodel.tests,NO
rdurelli,com.br.refactoring.xtext.dsl.tests,NO
shashwatanand,org.shashwat.xtext.smallJava.ui,NO
tmtron,xtext.eclipse.15minExtended.project,NO
chqu1012,MetroUiDescriper,NO
rainerschuster,sygus-ide,YES
jacruzca,xtext-multilanguage-multiple-target-impl-reuse,YES
qscdfg,mybash,YES
eirikg,XbaseSiriusIntegration,YES
nohum,android-code-generation,YES
gvd,zest-sm,NO
uqbar-paco,declaratividad-orm-java,YES
shashwatanand,org.shashwat.xtext.smallJava.tests,NO
dhakehurst,net.akehurst.example.xtext.vertx.lsp,NO
vztpv,ClauTextWithEclipse,NO
goldschmiede,2011-04-29_xtext_service_repository,NO
markusvoelter,DSLEngBook-Xtext-P3Demo,YES
ESIR2Compilation,PrettyPrinter,NO
bmael,MVCLang,NO
zhou-jg,tefler,YES
bogdanvuk,xvhdl,YES
marcotinacci,XTuring,YES
threadedblue,org.eclipse.xtext.example.domainmodel.ui,NO
joergreichert,OperationsResearch,YES
tommyettinger,julepp,NO
masters-info-nantes,SmokingText,YES
daniel-laszlo,temalabor,YES
Communote,communote-restws,YES
vorburger,FormGeneratorPOC,NO
nittka,pocesl,YES
logicfish,POMText,NO
cdietrich,https---github.com-meysholdt-xtext_stateful_lexer,NO
bogdanvuk,xrst,YES
meysholdt,performance_probes,NO
agentlab,PowerLoomDSL,YES
rainerschuster,jdl-ide,YES
JoostvanPinxten,SDF3-editor,YES
ceefour,emf-sandbox,NO
Mehdi23,FlexoModelingLanguage,YES
atanaka,experimental-rmodp-dsl,YES
leolimasa,reqlang,YES
smba,model-based-times,YES
DavidFosterLuhmann,high-dim,NO
test-editor,deprecated-test-editor-index-backend,NO
sidz8690,EasyUnit,NO
lsotnk,lsotnk.xbase.launching,NO
Tim-S,ReqLNG,YES
helunwencser,PAOC,YES
nakul02,sysml.dml,YES
rainerschuster,tlsf-ide,YES
rainerschuster,asdl-ide,YES
N0P0x90,EclipseExamples,YES
martinmuellenberg,cityplanning,YES
newdigate,soa-dsl-scaffolding,YES
evansnicholas,yaxpath,YES
nittka,ASP,NO
josros,boby,YES
danhaywood,kemble,NO
schakko,bsc-thesis-documentation,NO
szarnekow,mongoBeans,YES
timeraider4u,external_jar_download,NO
Buggaboo,xplatform,YES
jonathankoehn,entitygenerator,NO
marcusphi,polopoly-dsl,YES
alexisfacques,dsl-feature-modelling,YES
sbrocard,statemachine-generator,YES
JPL-IMCE,gov.nasa.jpl.imce.oml.core,YES
PuneetPatwari,system-map-maker,NO
atanaka,DomainmodelWithCrossReference,YES
cedricvidal,protobuf4e,NO
rowlo,testdsl,YES
joergreichert,Cool,YES
WesleyMarques,CompiladorJava,YES
tommyettinger,kobold,YES
stolorz,RankPL-EclipsePlugin,YES
UnibgInfo3A,ebnfworkbench,YES
sergiowebo,RaspduinoDSL,YES
Remypoc,CmooSimpleJ,YES
majordomo,majordomo,YES
ryanignatius,CheckerDSL,YES
raynair,webml,YES
arbennett,ParserGeneratorExample,YES
OElabed,Model-Driven-Engineering--Eclipse-RCP-plugin--Software-product-line,YES
renaudhelias,MameVHDL,YES
cwiscount,mydsl-emf-gen,YES
rmuecke,clinicaltrialcreator,NO
mythicfreak,aomxsgrammar,YES
diverse-project,melange-studio,NO
marcotinacci,Event-Oriented-Language,YES
ksza,Bicycle-Shop,YES
marcotinacci,SwarmRobotics,YES
Padmar1995,gh,NO
