Owner Login,Repo Name,Found Extensions
JesterOrNot,xtext-cli,
Somiacao,xtext-web,mydsl
katmatt,graphql-xtext,graphql
LIONant-depot,xtexture_compiler,
tchebs,xtext-example,mydsl2
ballcoach12,xtext_samples,
AssaX0,MDSE-xtext,dmodel
samples-projects,sample-xtext,dmodel
karthik137,xtext-demo,dmodel
MDE-Course-23-24,SIRIUS-XTEXT,statemachinet
softlang,megal-xtext,megal
laurocesar,xtext-domainmodel,dmodel
Yahaya12,Xtext-project,
malhxr,SpeechXtext,
stanimirovv,xtext-extractor,
3m3k3,xtext-congen,mp
pen-zhang,xtext_elm_editor,
NSaitoNmiri,toppers_cfg_xtext,cfg
tmtron,ex.xtext.twog,"dsla,dslb"
vinicius0197,metacrysl,crysl
Dexels,navascript-editor,ns
adrianrutle,PCS953-EMF-Exercise,
ravornyo,xspice,cir
yamen-njm,IotXtext,iotmodel
kainzpat14,xtext-plsql,kainzplsql
epsilonlabs,emc-xtext,
robertovillarejo,kukulkan-grammar,3k
lvanzeun,ulm-xtext-test,metaulm
purerstamp,N7.compilateur,rat
jaedabee,xtext-gradle-test,
MassiBelaid,M-langeuse-Xtext,dmodel
qxe35v,xtext_encoding_dsl,enco
random-eclipse,nix-eclipse-xtext,nix
meta-doodle,Xtext_Gradle_Test,mdl
LiamWalsh98,nusmv-xtext-lsp,smv
MaximilianKoestler,vscode-xtext-links,
AhmedEssam2212,xText-Editor-,
adrinerDP,DSL-with-Xtext,entities
cdietrich,xtext-domainmodel-ls,dmodel
tmtron,ex.xtext.ml,"dsla,dslb,dslc"
andrewsandu,xtext-web-example,mydsl
pngowda,xtext-build-tools,
SharkJ,xtext-dsl-sample,mydsl
hammedb197,team-hacktive-xtext,
SimonCockx,xtext-monaco-example,mydsl
mister-walter,xtext-folding-issue,lisp
alexvolh,xtext-xml-grammar,xml
SharkJ,my-theia-xtext,dsl
urbanoanderson,xtext-gait-model,presc
vjordan,Xtext_directory-file,dirfile
JosBouwhuis,xText-DSL,
CS130-W20,assignment-2-xtext,
lunifera,xtext-jvmtypeprovider-standalone,
bobbyfisher1,eclipse-workspace,entities
dsl-course,xtext-entities-tutorial,
Highbrainer,xtext-pde-target,
mattsse,xtext-fipa-acl,acl
XIECHO,qingo_xtext_documentation,
FariSoftware,xtext-problem-matcher,
ShrawanBK,xtext.sales.transactions,
Lzgpom,xtext-gen-extension,"bamol,bm,calc,dmodel,rules,sm"
drkstr101,Domainmodel,dmodel
vinicius0197,expressions-dsl,expressions
LorenzoBettini,xtext-xdoc-releases,
KarstenWilken,xTextForum,mydsl
S-wald,xtext-plugin-gradle,"dmodel,mydsl"
lahirugayanga,xtext-example-dsl,mydsl
cdietrich,xtext-fragment-experiments,mydsl
cdietrich,xtext_bug_1974,mydsl
bergmanngabor,xtext-railmap-demo,rail
mchlrch,xtext-intro-bfh,har
EvdokimovMaks,xtext-example-entities,entities
cipek,MyFirstXText,helloweb
pngowda,xtext-ci-libs,
paulvberlin,BaSiriusXtext,activity
szarnyasg,sql-pgq-xtext,pgq
frademacher,xtext-jpms-test,
xtext,xtext-monorepo-lfs,
LorenzoBettini,xtext-build-utils,"maventestlanguage,tychopomlesstestlanguage,tychotestlanguage,tychoxbasetestlanguage"
cdietrich,xtext-two-dsls,"mydsla,mydslb"
balazsgrill,xtext_bug508518,mydsl
Tim-S,xtext-valueconverter-example,mydsl
ayakurtam,xText-Editor,
HouseBuilder-MDE,HouseBuilder-Xtext,hb2
xtext,xtext-orbit-replacement,
fedorov-vk,xtext-xcore-sample,library
gustavotemple,mo631xtext,rabbit
Tim-S,xtext-mapbasedscope-example,mydsl
shakenetwork,xTextHandler,
GabrielBozza,ProjetoXtextPFC,rules
HexXText,HexXTextSMP,
snarkipus,xtext-dsl-book,entities
fedorov-vk,xtextxtend-book-examples,"entities,expressions,greetings,library,school,smalljava,xentities,xexpressions"
ArneDeutsch,xtext-gradle-example,"mydsl,mydsl1,mydsl2"
oliver-reinhard,xtext-ppt-demo,abppt
tpluscode,xtext-completion-nullpointer,mydsl
idiomaticsoft,sbt-xtext-plugin,
pen-zhang,online_elm_xtext,oe
raglu,ExternalDSL-xtext,mydsl
kulcsii,xtext-railmap-theia,rail
NiccoMlt,xtext-showdown-grammar,sdt
NinjaArmy,xtext-language-server,
jnt0r,xtext-npe-reproducable,mydsl
HermanPeeren,eJSL-ANTLR4,
cs130-w21,statemachine,sm
csbc92,MDSE-assignment3,mathexp
ghillairet,org.example.mydsl.parent,mydsl
antoine-morvan,caph-java-parser,cph
abatti,XTEXT_FACPL3_PreserveVarious,
tfLabs,xtext-languageserver-example-duplicator,mydsl
LorenzoBettini,xtext-maven-plugin-example,mydsl
cdietrich,xtext-eclipse-issue-1009,
patrickneubauer,UoY-MODE-XTEXT,"entity,state"
