Repositories,,,,,,Classification,,,Xtext files,,,,,,,Ecore files,,,,MWE2 files,,,Textual Instances,,,
Owner Login,Repository Name,Repository URL,#Forks,#Stars,Timespan (Days),Type,Language type,Retrofitting,Exist?,Count,Aver. Commit,Timespan (Days),Proportion (%),Changed Row Count,Changed Rule Count,Exist?,Count,Aver. Commit,scenario,Exist?,Count,Aver. Commit,Exist?,Count,Aver. Commit,Comment
torosky,Libreria-Xtext,https://github.com/torosky/Libreria-Xtext,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
MaxiEckert,Xtext-example,https://github.com/MaxiEckert/Xtext-example,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,13,1,metamodel-driven,YES,2,1,YES,2,1,
as500,xtext-rpgle,https://github.com/as500/xtext-rpgle,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
JavierOramas,AudiXText,https://github.com/JavierOramas/AudiXText,0,1,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
xtext,xtext-monorepo,https://github.com/xtext/xtext-monorepo,0,0,5433,Infrastructure,,,YES,231,2.36,2309,42.5,2.16,0.99,YES,222,1.15,Both,YES,86,5.78,YES,1066,3.74,
vjordan,Xtext_browser,https://github.com/vjordan/Xtext_browser,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,YES,18,1,
Yop-La,xtext_project,https://github.com/Yop-La/xtext_project,0,0,17,Training/Examples,,,YES,1,2,14,82.35,-6,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
JesterOrNot,Gitpod-XText,https://github.com/JesterOrNot/Gitpod-XText,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,2,YES,1,1,
eclipse,xtext-archive,https://github.com/eclipse/xtext-archive,0,0,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
Lethalaric,xtext-learning,https://github.com/Lethalaric/xtext-learning,0,0,0,Training/Examples,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,YES,6,1,
DSIE2,tr.xtext,https://github.com/DSIE2/tr.xtext,0,0,2,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
ShivaniBali,Theia-Xtext,https://github.com/ShivaniBali/Theia-Xtext,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,YES,1,1,
kthoms,xtext-webinar,https://github.com/kthoms/xtext-webinar,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
jonathankoehn,entitygenerator,https://github.com/jonathankoehn/entitygenerator,0,0,0,Language,Code Generation,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,NO,0,0,NO,0,0,
zhanglin2018,learnXtext,https://github.com/zhanglin2018/learnXtext,0,0,6,Training/Examples,,,YES,4,1.5,6,100,0,0,YES,2,1,grammar-driven,YES,4,1.5,YES,2,2,
seebgar,Xtext-Projects,https://github.com/seebgar/Xtext-Projects,0,0,0,Training/Examples,,,YES,2,1,0,0,0,0,NO,0,0,grammar-driven,YES,2,1,NO,0,0,
marcusphi,polopoly-dsl,https://github.com/marcusphi/polopoly-dsl,0,1,0,Language,Polopoly content,,YES,1,1,0,0,0,0,YES,1,1,metamodel-driven,YES,1,1,YES,1,1,
AbQadirr,dialogXtextflow,https://github.com/AbQadirr/dialogXtextflow,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
stolorz,RankPL-EclipsePlugin,https://github.com/stolorz/RankPL-EclipsePlugin,0,0,0,Language,RankPL,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
arockiaraj1994,xtext-mvn,https://github.com/arockiaraj1994/xtext-mvn,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
moein9,passXtext,https://github.com/moein9/passXtext,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
saivarunr,xtext-editor,https://github.com/saivarunr/xtext-editor,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
JesterOrNot,xtext-cli,https://github.com/JesterOrNot/xtext-cli,0,0,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
Somiacao,xtext-web,https://github.com/Somiacao/xtext-web,0,0,4,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,YES,2,1,
abieren,MDSD-Xtext-Project-for-JavaFX,https://github.com/abieren/MDSD-Xtext-Project-for-JavaFX,0,0,1,Language,JavaFX,YES,YES,2,4,1,100,118,25,YES,1,3,grammar-driven,YES,2,2,NO,0,0,
LIONant-depot,xtexture_compiler,https://github.com/LIONant-depot/xtexture_compiler,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
tchebs,xtext-example,https://github.com/tchebs/xtext-example,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
ballcoach12,xtext_samples,https://github.com/ballcoach12/xtext_samples,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
AssaX0,MDSE-xtext,https://github.com/AssaX0/MDSE-xtext,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,1,1,
samples-projects,sample-xtext,https://github.com/samples-projects/sample-xtext,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
karthik137,xtext-demo,https://github.com/karthik137/xtext-demo,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
MDE-Course-23-24,SIRIUS-XTEXT,https://github.com/MDE-Course-23-24/SIRIUS-XTEXT,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,metamodel-driven,YES,1,1,NO,0,0,
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,https://github.com/George-6629/Lobster-language-conversion-sql-language-based-on-Xtext,0,0,1,Language,SQL,YES,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
laurocesar,xtext-domainmodel,https://github.com/laurocesar/xtext-domainmodel,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
Yahaya12,Xtext-project,https://github.com/Yahaya12/Xtext-project,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
malhxr,SpeechXtext,https://github.com/malhxr/SpeechXtext,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
stanimirovv,xtext-extractor,https://github.com/stanimirovv/xtext-extractor,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
3m3k3,xtext-congen,https://github.com/3m3k3/xtext-congen,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
uqbar-paco,firewall-dsls-externos-xtext,https://github.com/uqbar-paco/firewall-dsls-externos-xtext,0,0,1,Language,configure and create firewalls,,YES,2,1,1,100,0,0,YES,2,1,metamodel-driven,YES,4,1,YES,2,1,
Mehdi23,FlexoModelingLanguage,https://github.com/Mehdi23/FlexoModelingLanguage,0,0,1,Language,FML(Flexo Modeling Language,YES,YES,1,2,0,0,3,1,YES,1,2,metamodel-driven,YES,1,1,NO,0,0,
tmtron,ex.xtext.twog,https://github.com/tmtron/ex.xtext.twog,0,0,16,Experimental/Personal,,,YES,2,2.5,15,93.75,0.5,0,NO,0,0,grammar-driven,YES,2,1.5,YES,2,1,
sbrocard,statemachine-generator,https://github.com/sbrocard/statemachine-generator,0,0,1,Language,Generator of statemachine,,YES,1,1,0,0,0,0,YES,1,1,metamodel-driven,YES,1,1,YES,3,1,
Webastronaut,mgpl,https://github.com/Webastronaut/mgpl,2,1,2,Language,Games,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,2,1,
adrianrutle,PCS953-EMF-Exercise,https://github.com/adrianrutle/PCS953-EMF-Exercise,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
magick93,xtext,https://github.com/magick93/xtext,0,0,2,Language,Domain-Driven Design,,YES,4,1,0,0,0,0,NO,0,0,grammar-driven,YES,4,1,NO,0,0,
yamen-njm,IotXtext,https://github.com/yamen-njm/IotXtext,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,NO,0,0,grammar-driven,YES,2,1,NO,0,0,
blue995,xtext-orm,https://github.com/blue995/xtext-orm,0,0,2,Language,ORM,,YES,1,6,2,100,40,7,NO,0,0,grammar-driven,YES,1,1,YES,1,5,
epsilonlabs,emc-xtext,https://github.com/epsilonlabs/emc-xtext,0,1,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
katmatt,graphql-xtext,https://github.com/katmatt/graphql-xtext,0,0,2,Language,GraphQL,YES,YES,1,5,2,100,147,34,YES,1,5,grammar-driven,YES,1,1,NO,0,0,
lvanzeun,ulm-xtext-test,https://github.com/lvanzeun/ulm-xtext-test,0,1,9,Experimental/Personal,,,YES,1,2,3,33.33,-2,0,YES,1,2,grammar-driven,YES,1,1,YES,1,6,
purerstamp,N7.compilateur,https://github.com/purerstamp/N7.compilateur,0,1,180,Experimental/Personal,,,YES,1,8,15,8.33,-4,-1,YES,1,5,grammar-driven,YES,1,3,YES,133,1.69,
jaedabee,xtext-gradle-test,https://github.com/jaedabee/xtext-gradle-test,1,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
MassiBelaid,M-langeuse-Xtext,https://github.com/MassiBelaid/M-langeuse-Xtext,0,0,0,Experimental/Personal,,,YES,2,2,0,0,-6,-1,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
HouseBuilder-MDE,HouseBuilder-Xtext,https://github.com/HouseBuilder-MDE/HouseBuilder-Xtext,0,0,2,Language,House builder,,YES,1,3,2,100,151,21,NO,0,0,grammar-driven,YES,1,3,NO,0,0,
random-eclipse,nix-eclipse-xtext,https://github.com/random-eclipse/nix-eclipse-xtext,0,0,13,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
meta-doodle,Xtext_Gradle_Test,https://github.com/meta-doodle/Xtext_Gradle_Test,0,0,0,Experimental/Personal,,,YES,1,2,0,0,70,15,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
coffeeframework,HLVL,https://github.com/coffeeframework/HLVL,0,0,2,Language,Variability Modeling,,YES,2,2,2,100,85,6,NO,0,0,grammar-driven,YES,2,2,YES,22,1,
MaximilianKoestler,vscode-xtext-links,https://github.com/MaximilianKoestler/vscode-xtext-links,0,0,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
AhmedEssam2212,xText-Editor-,https://github.com/AhmedEssam2212/xText-Editor-,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
adrinerDP,DSL-with-Xtext,https://github.com/adrinerDP/DSL-with-Xtext,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
cdietrich,xtext-domainmodel-ls,https://github.com/cdietrich/xtext-domainmodel-ls,0,0,0,Training/Examples,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
tmtron,ex.xtext.ml,https://github.com/tmtron/ex.xtext.ml,0,0,0,Training/Examples,,,YES,3,3,0,0,3,-0.33,NO,0,0,grammar-driven,YES,3,2,YES,3,1,
andrewsandu,xtext-web-example,https://github.com/andrewsandu/xtext-web-example,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
pngowda,xtext-build-tools,https://github.com/pngowda/xtext-build-tools,1,1,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
SharkJ,xtext-dsl-sample,https://github.com/SharkJ/xtext-dsl-sample,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
hammedb197,team-hacktive-xtext,https://github.com/hammedb197/team-hacktive-xtext,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
SimonCockx,xtext-monaco-example,https://github.com/SimonCockx/xtext-monaco-example,0,0,1,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
mister-walter,xtext-folding-issue,https://github.com/mister-walter/xtext-folding-issue,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
alexvolh,xtext-xml-grammar,https://github.com/alexvolh/xtext-xml-grammar,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
SharkJ,my-theia-xtext,https://github.com/SharkJ/my-theia-xtext,1,0,28,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,1,2,
bogdanvuk,xvhdl,https://github.com/bogdanvuk/xvhdl,0,0,2,Language,VHDL,YES,YES,5,2.2,2,100,129.4,22.2,YES,1,6,grammar-driven,YES,2,2.5,NO,0,0,
vjordan,Xtext_directory-file,https://github.com/vjordan/Xtext_directory-file,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,YES,1,1,
JosBouwhuis,xText-DSL,https://github.com/JosBouwhuis/xText-DSL,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
CS130-W20,assignment-2-xtext,https://github.com/CS130-W20/assignment-2-xtext,1,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
lunifera,xtext-jvmtypeprovider-standalone,https://github.com/lunifera/xtext-jvmtypeprovider-standalone,0,0,0,Training/Examples,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
bobbyfisher1,eclipse-workspace,https://github.com/bobbyfisher1/eclipse-workspace,0,0,1,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
dsl-course,xtext-entities-tutorial,https://github.com/dsl-course/xtext-entities-tutorial,0,0,1,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,NO,0,0,NO,0,0,
Highbrainer,xtext-pde-target,https://github.com/Highbrainer/xtext-pde-target,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
jonev,HTTP-REST-test-DSL,https://github.com/jonev/HTTP-REST-test-DSL,0,0,3,Language,JUnit test,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,1,1,
XIECHO,qingo_xtext_documentation,https://github.com/XIECHO/qingo_xtext_documentation,1,0,0,Training/Examples,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
FariSoftware,xtext-problem-matcher,https://github.com/FariSoftware/xtext-problem-matcher,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
ShrawanBK,xtext.sales.transactions,https://github.com/ShrawanBK/xtext.sales.transactions,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,YES,1,1,not applicable,NO,0,0,NO,0,0,
Lzgpom,xtext-gen-extension,https://github.com/Lzgpom/xtext-gen-extension,0,0,0,Infrastructure,,,YES,5,1,0,0,0,0,YES,6,1,Both,YES,5,1,NO,0,0,
drkstr101,Domainmodel,https://github.com/drkstr101/Domainmodel,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
vinicius0197,expressions-dsl,https://github.com/vinicius0197/expressions-dsl,0,0,7,Training/Examples,,,YES,1,3,7,100,16,2,YES,1,2,grammar-driven,YES,1,1,NO,0,0,
LorenzoBettini,xtext-xdoc-releases,https://github.com/LorenzoBettini/xtext-xdoc-releases,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
KarstenWilken,xTextForum,https://github.com/KarstenWilken/xTextForum,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,1,1,
S-wald,xtext-plugin-gradle,https://github.com/S-wald/xtext-plugin-gradle,0,0,1,Infrastructure,,,YES,2,1.5,0,0,0.5,0,YES,1,1,metamodel-driven,YES,3,1.67,NO,0,0,
lahirugayanga,xtext-example-dsl,https://github.com/lahirugayanga/xtext-example-dsl,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
cdietrich,xtext-fragment-experiments,https://github.com/cdietrich/xtext-fragment-experiments,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
cdietrich,xtext_bug_1974,https://github.com/cdietrich/xtext_bug_1974,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,1,1,
bergmanngabor,xtext-railmap-demo,https://github.com/bergmanngabor/xtext-railmap-demo,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
mchlrch,xtext-intro-bfh,https://github.com/mchlrch/xtext-intro-bfh,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,1,1,
EvdokimovMaks,xtext-example-entities,https://github.com/EvdokimovMaks/xtext-example-entities,0,0,28,Experimental/Personal,,,YES,1,2,28,100,0,0,YES,1,2,grammar-driven,YES,1,2,NO,0,0,
cipek,MyFirstXText,https://github.com/cipek/MyFirstXText,0,0,28,Experimental/Personal,,,YES,2,2,1,3.57,5,1,YES,1,2,grammar-driven,YES,2,1,NO,0,0,
pngowda,xtext-ci-libs,https://github.com/pngowda/xtext-ci-libs,0,0,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
paulvberlin,BaSiriusXtext,https://github.com/paulvberlin/BaSiriusXtext,0,1,0,Experimental/Personal,,,YES,1,1,0,0,0,0,YES,1,1,metamodel-driven,YES,1,1,YES,4,1,
rainerschuster,yacc-ide,https://github.com/rainerschuster/yacc-ide,0,0,3,Language,YACC,YES,YES,1,7,3,100,292,53,NO,0,0,grammar-driven,YES,1,2,NO,0,0,
frademacher,xtext-jpms-test,https://github.com/frademacher/xtext-jpms-test,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
xtext,xtext-monorepo-lfs,https://github.com/xtext/xtext-monorepo-lfs,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
LorenzoBettini,xtext-build-utils,https://github.com/LorenzoBettini/xtext-build-utils,1,0,1413,Infrastructure,,,YES,3,1.33,6,0.42,0,0,NO,0,0,grammar-driven,YES,3,0,NO,0,0,
cdietrich,xtext-two-dsls,https://github.com/cdietrich/xtext-two-dsls,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,2,1,grammar-driven,YES,2,1,NO,0,0,
balazsgrill,xtext_bug508518,https://github.com/balazsgrill/xtext_bug508518,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,metamodel-driven,YES,1,1,YES,1,1,
Tim-S,xtext-valueconverter-example,https://github.com/Tim-S/xtext-valueconverter-example,0,0,0,Training/Examples,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,YES,1,1,
ayakurtam,xText-Editor,https://github.com/ayakurtam/xText-Editor,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
elite-se,elite-se.xtext.languages.plantuml,https://github.com/elite-se/elite-se.xtext.languages.plantuml,0,0,4,Language,lantUML sequence Diagrams,YES,YES,1,63,4,100,273,54,NO,0,0,grammar-driven,YES,1,3,YES,23,2.22,
xtext,xtext-orbit-replacement,https://github.com/xtext/xtext-orbit-replacement,0,0,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
fedorov-vk,xtext-xcore-sample,https://github.com/fedorov-vk/xtext-xcore-sample,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
gustavotemple,mo631xtext,https://github.com/gustavotemple/mo631xtext,0,0,1,Experimental/Personal,,,YES,1,2,0,0,5,0,NO,0,0,grammar-driven,YES,1,1,YES,1,1,
Tim-S,xtext-mapbasedscope-example,https://github.com/Tim-S/xtext-mapbasedscope-example,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,YES,1,1,
shakenetwork,xTextHandler,https://github.com/shakenetwork/xTextHandler,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
GabrielBozza,ProjetoXtextPFC,https://github.com/GabrielBozza/ProjetoXtextPFC,0,0,8,Experimental/Personal,,,YES,2,2,8,100,7,12,YES,2,1,metamodel-driven,YES,2,1,YES,2,1,
HexXText,HexXTextSMP,https://github.com/HexXText/HexXTextSMP,0,1,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
snarkipus,xtext-dsl-book,https://github.com/snarkipus/xtext-dsl-book,0,0,17,Training/Examples,,,YES,1,2,0,0,17,5,NO,0,0,grammar-driven,YES,1,2,NO,0,0,
fedorov-vk,xtextxtend-book-examples,https://github.com/fedorov-vk/xtextxtend-book-examples,0,0,230,Training/Examples,,,YES,8,2.5,213,92.61,10.88,2.62,YES,2,1,metamodel-driven,YES,9,1.67,YES,5,1,
ArneDeutsch,xtext-gradle-example,https://github.com/ArneDeutsch/xtext-gradle-example,0,0,0,Training/Examples,,,YES,6,1,0,0,0,0,YES,3,1,grammar-driven,YES,6,1,NO,0,0,
oliver-reinhard,xtext-ppt-demo,https://github.com/oliver-reinhard/xtext-ppt-demo,1,0,96,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,5,1,
tpluscode,xtext-completion-nullpointer,https://github.com/tpluscode/xtext-completion-nullpointer,0,0,0,Experimental/Personal,,,YES,2,1.5,0,0,39,9.5,NO,0,0,grammar-driven,YES,1,2,NO,0,0,
idiomaticsoft,sbt-xtext-plugin,https://github.com/idiomaticsoft/sbt-xtext-plugin,0,0,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
vinicius0197,metacrysl,https://github.com/vinicius0197/metacrysl,0,0,5,Language,Crysl,YES,YES,1,2,5,100,25,6,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
ubx,openair,https://github.com/ubx/openair,0,1,5,Language,Openair,,YES,1,4,4,80,11,3,YES,1,3,metamodel-driven,YES,2,1,YES,1,1,
kulcsii,xtext-railmap-theia,https://github.com/kulcsii/xtext-railmap-theia,0,0,54,Training/Examples,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,YES,1,1,
NiccoMlt,xtext-showdown-grammar,https://github.com/NiccoMlt/xtext-showdown-grammar,0,0,9,Experimental/Personal,,,YES,1,3,3,33.33,34,6,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
NinjaArmy,xtext-language-server,https://github.com/NinjaArmy/xtext-language-server,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
jnt0r,xtext-npe-reproducable,https://github.com/jnt0r/xtext-npe-reproducable,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
szarnekow,mongoBeans,https://github.com/szarnekow/mongoBeans,0,1,5,Language,Database access,,YES,1,3,4,80,0,0,YES,1,2,metamodel-driven,YES,1,1,YES,1,4,
cs130-w21,statemachine,https://github.com/cs130-w21/statemachine,0,1,0,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,2,1,
csbc92,MDSE-assignment3,https://github.com/csbc92/MDSE-assignment3,0,0,12,Experimental/Personal,,,YES,1,3,10,83.33,24,6,YES,1,3,grammar-driven,YES,1,1,YES,1,7,
ghillairet,org.example.mydsl.parent,https://github.com/ghillairet/org.example.mydsl.parent,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,YES,1,1,metamodel-driven,YES,1,1,NO,0,0,
antoine-morvan,caph-java-parser,https://github.com/antoine-morvan/caph-java-parser,0,0,1,Language,Caph,YES,YES,1,8,1,100,237,50,NO,0,0,grammar-driven,YES,1,2,YES,125,1,
abatti,XTEXT_FACPL3_PreserveVarious,https://github.com/abatti/XTEXT_FACPL3_PreserveVarious,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
tfLabs,xtext-languageserver-example-duplicator,https://github.com/tfLabs/xtext-languageserver-example-duplicator,0,0,0,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,YES,2,1,
LorenzoBettini,xtext-maven-plugin-example,https://github.com/LorenzoBettini/xtext-maven-plugin-example,0,1,380,Experimental/Personal,,,YES,1,3,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,YES,2,1,
cdietrich,xtext-eclipse-issue-1009,https://github.com/cdietrich/xtext-eclipse-issue-1009,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
patrickneubauer,UoY-MODE-XTEXT,https://github.com/patrickneubauer/UoY-MODE-XTEXT,0,0,372,Training/Examples,,,YES,3,1,0,0,0,0,YES,2,1,metamodel-driven,YES,3,1,YES,2,1,
mdsd-team-1,photos-xtext,https://github.com/mdsd-team-1/photos-xtext,0,0,6,Language,Photo management,,YES,1,9,1,16.67,356,115,YES,1,3,grammar-driven,YES,1,1,YES,1,4,
cdietrich,theia-xtext-vscode-example,https://github.com/cdietrich/theia-xtext-vscode-example,0,0,0,Training/Examples,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
cdietrich,j9-tycho-xtext,https://github.com/cdietrich/j9-tycho-xtext,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
loradd,xtext-lsp-ecore-support,https://github.com/loradd/xtext-lsp-ecore-support,0,0,960,Infrastructure,,,YES,1,1,0,0,0,0,YES,2,1,metamodel-driven,YES,1,1,YES,1,1,
