Repositories,,,,,,Classification,,,Xtext files,,,,,,,Ecore files,,,,MWE2 files,,,Textual Instances,,,
Owner Login,Repository Name,Repository URL,#Forks,#Stars,Timespan (Days),Type,Language type,Retrofitting,Exist?,Count,Aver. Commit,Timespan (Days),Proportion (%),Changed Row Count,Changed Rule Count,Exist?,Count,Aver. Commit,scenario,Exist?,Count,Aver. Commit,Exist?,Count,Aver. Commit,Comment
cau-se,sprat-ecosystem-dsl-xtext,https://github.com/cau-se/sprat-ecosystem-dsl-xtext,0,0,0,Language,Sprat Ecosystem,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
raptor494,Xtext-Minecraft-JSON-Languages,https://github.com/raptor494/Xtext-Minecraft-JSON-Languages,0,0,0,Language,Minecraft models,,YES,4,1,0,0,0,0,YES,4,1,grammar-driven,YES,4,1,NO,0,0,
SuelanyBrito,JFlex_CUP_XText_SQL,https://github.com/SuelanyBrito/JFlex_CUP_XText_SQL,0,0,0,Language,plsql,YES,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
idiomaticsoft,xtext-tips,https://github.com/idiomaticsoft/xtext-tips,0,3,59,Training/Examples,,,YES,22,1,59,100,0,0,YES,3,1,metamodel-driven,YES,22,1,YES,1,1,
tshoang,Simple-Barebone-XText-based-IDE,https://github.com/tshoang/Simple-Barebone-XText-based-IDE,0,1,0,Language,Barebone language,YES,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
MISO4202,xtext-egl-sql2java,https://github.com/MISO4202/xtext-egl-sql2java,1,0,0,Language,SQL,YES,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,YES,1,1,
oliverablagojevic,QuestionnaireDSL,https://github.com/oliverablagojevic/QuestionnaireDSL,0,0,0,Language,Questionnaire,,YES,2,1,0,0,0,0,YES,1,2,metamodel-driven,YES,2,1,NO,0,0,
hvbargen,meth,https://github.com/hvbargen/meth,0,0,0,Language,LIMS-like method description,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,YES,2,1,
zxhr,gradle-xtext-generator,https://github.com/zxhr/gradle-xtext-generator,1,2,167,Infrastructure,,,YES,3,1,23,13.77,0,0,NO,0,0,grammar-driven,NO,0,0,NO,0,0,
tmtron,ex.xtext.lsp,https://github.com/tmtron/ex.xtext.lsp,0,2,1,Training/Examples,,,YES,1,2,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,YES,1,1,
echebbi,standalone-xtext-example,https://github.com/echebbi/standalone-xtext-example,1,2,5,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,1,1,
darvasd,xtext-docs-gen,https://github.com/darvasd/xtext-docs-gen,1,2,298,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1.5,NO,0,0,
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,https://github.com/cesarlaso/tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,0,0,0,Language,IOT,,YES,5,1,0,0,0,0,YES,18,1,metamodel-driven,YES,4,1,YES,10,1,
ElBilbao,DSL-Wizard-Creator,https://github.com/ElBilbao/DSL-Wizard-Creator,0,0,0,Language,Wizard design,,YES,2,1,0,0,0,0,YES,1,1,metamodel-driven,YES,2,1,NO,0,0,
Zannith,XtextTest,https://github.com/Zannith/XtextTest,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
AnnaLenaMeiners,XtextExamples,https://github.com/AnnaLenaMeiners/XtextExamples,0,0,0,Training/Examples,,,YES,2,1,0,0,0,0,NO,0,0,grammar-driven,NO,0,0,NO,0,0,
Kerolos77,XTextEditor,https://github.com/Kerolos77/XTextEditor,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
ScytherTool,dsl,https://github.com/ScytherTool/dsl,0,0,0,Language,Scyther,YES,YES,1,2,0,0,1,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
holgerschill,xtextCodebuff,https://github.com/holgerschill/xtextCodebuff,1,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
devzwy,XTextView,https://github.com/devzwy/XTextView,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
mraminella,XtextExamples,https://github.com/mraminella/XtextExamples,0,0,0,Training/Examples,,,YES,4,1,0,0,0,0,YES,2,1,grammar-driven,YES,4,1,NO,0,0,
msntts,XtextStudy,https://github.com/msntts/XtextStudy,0,0,136,Training/Examples,,,YES,2,1.5,136,100,3.5,1,YES,1,1,grammar-driven,YES,2,1,YES,1,1,
chiachong,XTextClassification,https://github.com/chiachong/XTextClassification,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
vinisbranco,XtextGerador,https://github.com/vinisbranco/XtextGerador,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
pakhopav,XtextPlugin,https://github.com/pakhopav/XtextPlugin,0,0,0,Training/Examples,,,YES,124,1,0,0,0,0,NO,0,0,grammar-driven,NO,0,0,NO,0,0,
IamRaziel,XtextTutorial,https://github.com/IamRaziel/XtextTutorial,0,1,14,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
dstoft,XtextWorkspace,https://github.com/dstoft/XtextWorkspace,0,0,7,Experimental/Personal,,,YES,4,2,7,100,0,0,YES,2,2,grammar-driven,YES,4,1,NO,0,0,
MisbahAwan,XtextCollaborativeEnvironment,https://github.com/MisbahAwan/XtextCollaborativeEnvironment,0,0,0,Infrastructure,,,YES,4,1,0,0,0,0,YES,2,1,grammar-driven,YES,4,1,NO,0,0,
pakhopav,XtextLanguage,https://github.com/pakhopav/XtextLanguage,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
fonuhuolian,XTextView,https://github.com/fonuhuolian/XTextView,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
RomainLefeuvre,xtextHW,https://github.com/RomainLefeuvre/xtextHW,0,0,0,Experimental/Personal,,,YES,3,1,0,0,0,0,YES,1,1,grammar-driven,YES,3,1,NO,0,0,
BestCoderXQX,XTextFlagDemo,https://github.com/BestCoderXQX/XTextFlagDemo,0,1,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
vinisbranco,XtextTrabalho2,https://github.com/vinisbranco/XtextTrabalho2,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,YES,2,1,
loicperreal,Xtext,https://github.com/loicperreal/Xtext,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
goflyboy,xtextsample,https://github.com/goflyboy/xtextsample,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
SharkJ,XtextInheritanceTest,https://github.com/SharkJ/XtextInheritanceTest,0,0,0,Experimental/Personal,,,YES,4,1,0,0,0,0,YES,2,1,grammar-driven,YES,2,1.5,NO,0,0,
hewenyuAndroid,XTextView-Android,https://github.com/hewenyuAndroid/XTextView-Android,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
OLibutzki,XtextExtras446,https://github.com/OLibutzki/XtextExtras446,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,1,1,
vinisbranco,XtextJavaScript,https://github.com/vinisbranco/XtextJavaScript,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
AndreasGroentved,XtextDSL2018,https://github.com/AndreasGroentved/XtextDSL2018,1,1,23,Experimental/Personal,,,YES,1,20,22,95.65,147,29,YES,1,16,grammar-driven,YES,1,1,NO,0,0,
robertchristen,XTextCategorizer.Demo,https://github.com/robertchristen/XTextCategorizer.Demo,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
alvarofpp,tutorial-xtext,https://github.com/alvarofpp/tutorial-xtext,0,0,0,Training/Examples,,,YES,1,3,0,0,38,8,YES,1,2,grammar-driven,YES,1,1,YES,2,1,
pakhopav,XtextLanguageGradle,https://github.com/pakhopav/XtextLanguageGradle,0,0,778,Infrastructure,,,YES,62,1.21,713,91.65,0.27,0.05,NO,0,0,grammar-driven,NO,0,0,NO,0,0,
pakhopav,xtext,https://github.com/pakhopav/xtext,0,0,5,Infrastructure,,,YES,1,3,5,100,7,1,NO,0,0,grammar-driven,NO,0,0,NO,0,0,
adamhorvath88,Xtext,https://github.com/adamhorvath88/Xtext,0,0,0,Experimental/Personal,,,YES,1,3,0,0,15,4,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
0xMYsteRy,Xtext,https://github.com/0xMYsteRy/Xtext,0,0,6,Experimental/Personal,,,YES,6,1.17,5,83.33,2.5,0.5,NO,0,0,grammar-driven,YES,1,1,YES,6,1,
taylorlohan,XtextHealth2.0,https://github.com/taylorlohan/XtextHealth2.0,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
Caroline66666,xtext,https://github.com/Caroline66666/xtext,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
xuxiaowen87,XText,https://github.com/xuxiaowen87/XText,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
MisbahAwan,xtext,https://github.com/MisbahAwan/xtext,0,0,6,Experimental/Personal,,,YES,2,2,6,100,-2,0,YES,1,2,metamodel-driven,YES,2,2,NO,0,0,
ichxorya,failed-xtext2vscode-example,https://github.com/ichxorya/failed-xtext2vscode-example,0,1,3,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,YES,1,1,
uqbar-project,xtext-tortuga-lang,https://github.com/uqbar-project/xtext-tortuga-lang,2,4,0,Language,A Logo programming language,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
RobMoloney,xtext,https://github.com/RobMoloney/xtext,0,0,148,Training/Examples,,,YES,10,1.2,4,2.7,2,0.2,YES,4,1.25,grammar-driven,YES,10,1,NO,0,0,
l1ppe,xtext,https://github.com/l1ppe/xtext,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
madhouni,wps-ecore-ocl-xtext,https://github.com/madhouni/wps-ecore-ocl-xtext,0,0,0,Experimental/Personal,,,NO,0,0,0,0,0,0,YES,1,1,not applicable,NO,0,0,NO,0,0,
MISO4202,uniandes.mdd.xtext2xmi,https://github.com/MISO4202/uniandes.mdd.xtext2xmi,0,0,0,Training/Examples,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
tchebs,xtext,https://github.com/tchebs/xtext,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
mlopez8621,xtext,https://github.com/mlopez8621/xtext,0,0,0,Training/Examples,,,YES,2,2,0,0,53,11,YES,3,1,Both,YES,2,1,NO,0,0,
gvd,xtext-sm,https://github.com/gvd/xtext-sm,0,1,0,Language,Statemachine,,YES,1,2,0,0,13,2,YES,1,1,metamodel-driven,YES,1,2,NO,0,0,
ShivaniBali,Theia-Xtext-Yangster-Project-,https://github.com/ShivaniBali/Theia-Xtext-Yangster-Project-,0,1,309,Infrastructure,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,2,1,
ehah,XtendExample,https://github.com/ehah/XtendExample,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
meysholdt,e4dsl,https://github.com/meysholdt/e4dsl,1,3,0,Language,Eclipse e4 workbench,,YES,1,3,0,0,0,-1,YES,1,1,metamodel-driven,YES,1,3,NO,0,0,
vks2106,prenum,https://github.com/vks2106/prenum,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
drkstr101,hello-xtext,https://github.com/drkstr101/hello-xtext,0,0,9,Experimental/Personal,,,YES,2,7,2,22.22,41.5,7,YES,2,3,grammar-driven,YES,2,1,YES,1,1,
arthurmosley,Essex-Test,https://github.com/arthurmosley/Essex-Test,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
eclipse,xtext-website-publish,https://github.com/eclipse/xtext-website-publish,0,0,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
jflopezfernandez,xtextutils,https://github.com/jflopezfernandez/xtextutils,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
AlanQuadros,xtextlpmangan,https://github.com/AlanQuadros/xtextlpmangan,0,0,1,Training/Examples,,,YES,2,4,0,0,2,1,YES,1,3,grammar-driven,YES,2,1,NO,0,0,
akademia,ontouml-xtext,https://github.com/akademia/ontouml-xtext,0,1,0,Language,OntoUML,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
OezzyB,e-portfolio-Xtext,https://github.com/OezzyB/e-portfolio-Xtext,0,0,8,Training/Examples,,,YES,3,1,5,62.5,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
pablitar,firewall-xtext,https://github.com/pablitar/firewall-xtext,0,0,0,Language,Firewall,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,2,1,YES,1,1,
zinon,xtextminer,https://github.com/zinon/xtextminer,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
mustafa231,xtexteditor,https://github.com/mustafa231/xtexteditor,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
MOSafely,xtextrepo,https://github.com/MOSafely/xtextrepo,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
sahrmann,xtext-json,https://github.com/sahrmann/xtext-json,0,1,0,Language,JSON,YES,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
LorenzoBettini,xtext-domain-model-guice-5,https://github.com/LorenzoBettini/xtext-domain-model-guice-5,0,0,3,Training/Examples,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
BlackBeltTechnology,karaf-features-eclipse-xtext,https://github.com/BlackBeltTechnology/karaf-features-eclipse-xtext,0,0,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
vashchenkov,xtext-samle,https://github.com/vashchenkov/xtext-samle,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
germono,FormXtext,https://github.com/germono/FormXtext,0,0,0,Experimental/Personal,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
santoshdeshpande,wwf-xtext,https://github.com/santoshdeshpande/wwf-xtext,0,1,0,Language,WWF config,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,2,1,NO,0,0,
ShrawanBK,xtext_salestransaction,https://github.com/ShrawanBK/xtext_salestransaction,0,0,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,metamodel-driven,YES,2,1,YES,2,1,
t-buss,mgpl_xtext,https://github.com/t-buss/mgpl_xtext,0,1,0,Language,MGPL,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
szschaler,henshin_xtext_adapter,https://github.com/szschaler/henshin_xtext_adapter,0,0,0,Infrastructure,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
kuniss,Aqua,https://github.com/kuniss/Aqua,0,1,0,Language,Flow Design,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
Scholvac,EclipseTaskJuggler,https://github.com/Scholvac/EclipseTaskJuggler,0,0,0,Language,TaskJuggler,YES,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,YES,1,1,
efuentesp,Xtext-UCS,https://github.com/efuentesp/Xtext-UCS,0,0,3,Experimental/Personal,,,YES,1,2,2,66.67,31,6,NO,0,0,grammar-driven,NO,0,0,NO,0,0,
rainerschuster,sygus-ide,https://github.com/rainerschuster/sygus-ide,0,0,0,Language,Syntax-Guided Synthesis,,YES,1,2,0,0,-9,-1,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
wibeck,testXtext,https://github.com/wibeck/testXtext,0,1,0,Experimental/Personal,,,YES,2,1,0,0,0,0,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
msun68,xtext-examples,https://github.com/msun68/xtext-examples,0,0,1,Experimental/Personal,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,2,NO,0,0,
xTexturedxx,xTexturedxx,https://github.com/xTexturedxx/xTexturedxx,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
HexXText,HexXText,https://github.com/HexXText/HexXText,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
Gricel-lee,Xtext-Maven,https://github.com/Gricel-lee/Xtext-Maven,0,0,6,Experimental/Personal,,,YES,1,1,0,0,0,0,YES,1,1,grammar-driven,YES,1,1,NO,0,0,
kolchanov,org.xtext.example.mydsl.parent,https://github.com/kolchanov/org.xtext.example.mydsl.parent,0,0,1,Training/Examples,,,YES,2,3,1,100,-7,-1,YES,1,1,grammar-driven,YES,2,1,NO,0,0,
Communote,communote-restws,https://github.com/Communote/communote-restws,0,0,0,Language,REST API,YES,YES,1,2,0,0,14,1,NO,0,0,grammar-driven,YES,2,1,NO,0,0,
EvdokimovMaks,xtext-expressions,https://github.com/EvdokimovMaks/xtext-expressions,0,0,1,Training/Examples,,,YES,1,1,0,0,0,0,NO,0,0,grammar-driven,YES,1,1,NO,0,0,
Sorokatov,xtext-demo,https://github.com/Sorokatov/xtext-demo,0,0,0,Unrelated,,,NO,0,0,0,0,0,0,NO,0,0,not applicable,NO,0,0,NO,0,0,
JoostvanPinxten,SDF3-editor,https://github.com/JoostvanPinxten/SDF3-editor,0,0,0,Language,Data-Flow models,,YES,1,2,0,0,0,0,YES,1,2,grammar-driven,YES,1,1,YES,1,2,
atanaka,experimental-rmodp-dsl,https://github.com/atanaka/experimental-rmodp-dsl,0,1,0,Language,RM-ODP,YES,YES,1,1,0,0,0,0,YES,1,1,metamodel-driven,YES,1,1,YES,1,1,
