Owner Login,Repo Name,XText File Count
purerstamp,N7.compilateur,1
jaedabee,xtext-gradle-test,0
MassiBelaid,M-langeuse-Xtext,2
qxe35v,xtext_encoding_dsl,2
random-eclipse,nix-eclipse-xtext,1
meta-doodle,Xtext_Gradle_Test,1
LiamWalsh98,nusmv-xtext-lsp,2
MaximilianKoestler,vscode-xtext-links,0
AhmedEssam2212,xText-Editor-,0
adrinerDP,DSL-with-Xtext,2
cdietrich,xtext-domainmodel-ls,2
tmtron,ex.xtext.ml,3
andrewsandu,xtext-web-example,1
pngowda,xtext-build-tools,0
SharkJ,xtext-dsl-sample,2
hammedb197,team-hacktive-xtext,0
SimonCockx,xtext-monaco-example,1
mister-walter,xtext-folding-issue,1
alexvolh,xtext-xml-grammar,1
SharkJ,my-theia-xtext,1
urbanoanderson,xtext-gait-model,1
vjordan,Xtext_directory-file,2
JosBouwhuis,xText-DSL,0
CS130-W20,assignment-2-xtext,0
lunifera,xtext-jvmtypeprovider-standalone,0
bobbyfisher1,eclipse-workspace,2
dsl-course,xtext-entities-tutorial,1
Highbrainer,xtext-pde-target,0
mattsse,xtext-fipa-acl,1
XIECHO,qingo_xtext_documentation,0
FariSoftware,xtext-problem-matcher,0
ShrawanBK,xtext.sales.transactions,0
Lzgpom,xtext-gen-extension,5
drkstr101,Domainmodel,1
vinicius0197,expressions-dsl,1
LorenzoBettini,xtext-xdoc-releases,0
KarstenWilken,xTextForum,1
S-wald,xtext-plugin-gradle,2
lahirugayanga,xtext-example-dsl,2
cdietrich,xtext-fragment-experiments,1
cdietrich,xtext_bug_1974,1
bergmanngabor,xtext-railmap-demo,1
mchlrch,xtext-intro-bfh,1
EvdokimovMaks,xtext-example-entities,1
cipek,MyFirstXText,2
pngowda,xtext-ci-libs,0
paulvberlin,BaSiriusXtext,1
szarnyasg,sql-pgq-xtext,2
frademacher,xtext-jpms-test,0
xtext,xtext-monorepo-lfs,0
LorenzoBettini,xtext-build-utils,4
cdietrich,xtext-two-dsls,2
balazsgrill,xtext_bug508518,1
Tim-S,xtext-valueconverter-example,2
ayakurtam,xText-Editor,0
HouseBuilder-MDE,HouseBuilder-Xtext,1
xtext,xtext-orbit-replacement,0
fedorov-vk,xtext-xcore-sample,1
gustavotemple,mo631xtext,1
Tim-S,xtext-mapbasedscope-example,1
shakenetwork,xTextHandler,0
GabrielBozza,ProjetoXtextPFC,2
HexXText,HexXTextSMP,0
snarkipus,xtext-dsl-book,1
fedorov-vk,xtextxtend-book-examples,8
