Repo Owner,Repo Name,XText File Path
idiomaticsoft,xtext-tips,fqn/01start/com.idiomaticsoft.dsl.block.parent/com.idiomaticsoft.dsl.block/src/com/idiomaticsoft/dsl/block/Block.xtext
idiomaticsoft,xtext-tips,fqn/02end/com.idiomaticsoft.dsl.block.parent/com.idiomaticsoft.dsl.block/src/com/idiomaticsoft/dsl/block/Block.xtext
idiomaticsoft,xtext-tips,import-uri/01start/com.idiomaticsoft.dsl.block.parent/com.idiomaticsoft.dsl.block/src/com/idiomaticsoft/dsl/block/Block.xtext
idiomaticsoft,xtext-tips,import-uri/02end/com.idiomaticsoft.dsl.block.parent/com.idiomaticsoft.dsl.block/src/com/idiomaticsoft/dsl/block/Block.xtext
idiomaticsoft,xtext-tips,imported-namespaces/01start/com.idiomaticsoft.dsl.block.parent/com.idiomaticsoft.dsl.block/src/com/idiomaticsoft/dsl/block/Block.xtext
idiomaticsoft,xtext-tips,imported-namespaces/02end/com.idiomaticsoft.dsl.block.parent/com.idiomaticsoft.dsl.block/src/com/idiomaticsoft/dsl/block/Block.xtext
idiomaticsoft,xtext-tips,lsp-intro/01start/com.idiomaticsoft.dsl.block.parent/com.idiomaticsoft.dsl.block/src/com/idiomaticsoft/dsl/block/Block.xtext
idiomaticsoft,xtext-tips,lsp-intro/02end/com.idiomaticsoft.dsl.block.parent/com.idiomaticsoft.dsl.block/src/com/idiomaticsoft/dsl/block/Block.xtext
idiomaticsoft,xtext-tips,migrate-to-emf-model/01start/com.idiomaticsoft.dsl.block.parent/com.idiomaticsoft.dsl.block/src/com/idiomaticsoft/dsl/block/Block.xtext
idiomaticsoft,xtext-tips,migrate-to-emf-model/02end/com.idiomaticsoft.dsl.block.parent/com.idiomaticsoft.dsl.block/src/com/idiomaticsoft/dsl/block/Block.xtext
idiomaticsoft,xtext-tips,value-converter-validation/01start/com.idiomaticsoft.dsl.hex.parent/com.idiomaticsoft.dsl.hex/src/com/idiomaticsoft/dsl/hex/Hex.xtext
