ballcoach12,xtext_samples,0
AssaX0,MDSE-xtext,1,1.00
samples-projects,sample-xtext,0,0.00
karthik137,xtext-demo,0,0.00
MDE-Course-23-24,SIRIUS-XTEXT,0,0.00
softlang,megal-xtext,21,6.38
laurocesar,xtext-domainmodel,0,0.00
Yahaya12,Xtext-project,0
malhxr,SpeechXtext,0
stanimirovv,xtext-extractor,0
3m3k3,xtext-congen,0,0.00
pen-zhang,xtext_elm_editor,0
NSaitoNmiri,toppers_cfg_xtext,0,0.00
tmtron,ex.xtext.twog,2,1.00
vinicius0197,metacrysl,0,0.00
Dexels,navascript-editor,0,0.00
adrianrutle,PCS953-EMF-Exercise,0
ravornyo,xspice,0,0.00
yamen-njm,IotXtext,0,0.00
kainzpat14,xtext-plsql,0,0.00
epsilonlabs,emc-xtext,0
robertovillarejo,kukulkan-grammar,0,0.00
lvanzeun,ulm-xtext-test,1,6.00
purerstamp,N7.compilateur,133,1.69
jaedabee,xtext-gradle-test,0
MassiBelaid,M-langeuse-Xtext,0,0.00
qxe35v,xtext_encoding_dsl,0,0.00
random-eclipse,nix-eclipse-xtext,0,0.00
meta-doodle,Xtext_Gradle_Test,0,0.00
LiamWalsh98,nusmv-xtext-lsp,0,0.00
MaximilianKoestler,vscode-xtext-links,0
AhmedEssam2212,xText-Editor-,0
adrinerDP,DSL-with-Xtext,0,0.00
cdietrich,xtext-domainmodel-ls,0,0.00
tmtron,ex.xtext.ml,3,1.00
andrewsandu,xtext-web-example,0,0.00
pngowda,xtext-build-tools,0
SharkJ,xtext-dsl-sample,0,0.00
hammedb197,team-hacktive-xtext,0
SimonCockx,xtext-monaco-example,0,0.00
mister-walter,xtext-folding-issue,0,0.00
alexvolh,xtext-xml-grammar,0,0.00
SharkJ,my-theia-xtext,1,2.00
urbanoanderson,xtext-gait-model,1,1.00
vjordan,Xtext_directory-file,1,1.00
JosBouwhuis,xText-DSL,0
CS130-W20,assignment-2-xtext,0
lunifera,xtext-jvmtypeprovider-standalone,0
bobbyfisher1,eclipse-workspace,0,0.00
dsl-course,xtext-entities-tutorial,0
Highbrainer,xtext-pde-target,0
mattsse,xtext-fipa-acl,0,0.00
XIECHO,qingo_xtext_documentation,0
FariSoftware,xtext-problem-matcher,0
ShrawanBK,xtext.sales.transactions,0
Lzgpom,xtext-gen-extension,0,0.00
drkstr101,Domainmodel,0,0.00
vinicius0197,expressions-dsl,0,0.00
LorenzoBettini,xtext-xdoc-releases,0
KarstenWilken,xTextForum,1,1.00
S-wald,xtext-plugin-gradle,0,0.00
lahirugayanga,xtext-example-dsl,0,0.00
cdietrich,xtext-fragment-experiments,0,0.00
cdietrich,xtext_bug_1974,1,1.00
bergmanngabor,xtext-railmap-demo,0,0.00
mchlrch,xtext-intro-bfh,1,1.00
EvdokimovMaks,xtext-example-entities,0,0.00
cipek,MyFirstXText,0,0.00
pngowda,xtext-ci-libs,0
paulvberlin,BaSiriusXtext,4,1.00
szarnyasg,sql-pgq-xtext,0,0.00
frademacher,xtext-jpms-test,0
xtext,xtext-monorepo-lfs,0
LorenzoBettini,xtext-build-utils,6,1.17
cdietrich,xtext-two-dsls,0,0.00
balazsgrill,xtext_bug508518,1,1.00
Tim-S,xtext-valueconverter-example,1,1.00
ayakurtam,xText-Editor,0
HouseBuilder-MDE,HouseBuilder-Xtext,0,0.00
xtext,xtext-orbit-replacement,0
fedorov-vk,xtext-xcore-sample,0,0.00
gustavotemple,mo631xtext,1,1.00
Tim-S,xtext-mapbasedscope-example,1,1.00
shakenetwork,xTextHandler,0
GabrielBozza,ProjetoXtextPFC,2,1.00
HexXText,HexXTextSMP,0
snarkipus,xtext-dsl-book,0,0.00
fedorov-vk,xtextxtend-book-examples,5,1.00
ArneDeutsch,xtext-gradle-example,0,0.00
oliver-reinhard,xtext-ppt-demo,5,1.00
tpluscode,xtext-completion-nullpointer,0,0.00
idiomaticsoft,sbt-xtext-plugin,0
pen-zhang,online_elm_xtext,0,0.00
raglu,ExternalDSL-xtext,0,0.00
kulcsii,xtext-railmap-theia,1,1.00
NiccoMlt,xtext-showdown-grammar,0,0.00
NinjaArmy,xtext-language-server,0
jnt0r,xtext-npe-reproducable,0,0.00
HermanPeeren,eJSL-ANTLR4,0
cs130-w21,statemachine,2,1.00
csbc92,MDSE-assignment3,1,7.00
ghillairet,org.example.mydsl.parent,0,0.00
antoine-morvan,caph-java-parser,125,1.00
abatti,XTEXT_FACPL3_PreserveVarious,0
tfLabs,xtext-languageserver-example-duplicator,2,1.00
LorenzoBettini,xtext-maven-plugin-example,2,1.00
cdietrich,xtext-eclipse-issue-1009,0
patrickneubauer,UoY-MODE-XTEXT,2,1.00
cau-se,sprat-ecosystem-dsl-xtext,0,0.00
cdietrich,theia-xtext-vscode-example,0
cdietrich,j9-tycho-xtext,0,0.00
loradd,xtext-lsp-ecore-support,1,1.00
nnn911,LaTeXTextOverlay,0
IbanezGio,VuC,0
Samirez,DSLs,9,1.00
ShahimEssaid,com.essaid.model.xtext,0
gon10,EclipseRepoTese,6,1.17
max-leuthaeuser,jmhmathexample,0,0.00
tshoang,WhitespaceIDE,3,1.00
seebgar,MISO4202-proyecto-xtext,0,0.00
NiccoMlt,xtext-15-minutes-tutorial,4,1.25
SharkJ,theia-xtext-extension-test,1,1.00
jku-win-se,JsonBasedXtextGrammar,0
altran-mde,xtext-sirius-integration.io,0
cdietrich,xtext-core-issue-1835,0
Zaki-Fadlan,xtext_getting_started_skilledup,8,1.00
raptor494,Xtext-Minecraft-JSON-Languages,0,0.00
rudi,xtext-emacs-lsp-demo,2,1.50
fedorov-vk,apds_prototype,0,0.00
