Repository,ecore_count,result
xTextLanguage,0,null
Kinect-ECE-XText,1,Grammar-Driven
acse-xtext-gui,1,Grammar-Driven
xtext-gradle-problem,1,Grammar-Driven
xtext-forms-integration,3,Metamodel-Driven
CodeXcessXtext,0,null
xtext-ecore-xcore,1,Metamodel-Driven
xtext_DSL_example,0,null
xtext-demo-oxygen,0,null
deprecated-xtext-index-backend,0,null
Aqua,1,Grammar-Driven
org.eclipse.xtext.example.fowlerdsl,0,null
xtext-workshop-code1,1,Metamodel-Driven
Eclipse-Xtext-Mydsl-Plugin,1,Grammar-Driven
jetson,0,null
summer,6,TBD
Coffeescript-Eclipse,0,null
compiler,1,Grammar-Driven
XPlane,0,null
Xtext-Xtend-Buckminster-Example,1,Grammar-Driven
eclipse-typescript-xtext-repository,0,null
EclipsePluginForXtext,1,Grammar-Driven
plantuml-eclipse-xtext_update,0,null
xtext-multi-edit-example,1,Grammar-Driven
xtext.eclipse.15minExtended,1,Grammar-Driven
com.sandy.xtext.jovenotes.ui,0,null
xtext-utils.xtend1,0,null
xtext-arithmetics-web-example,1,Grammar-Driven
acse-xtext-knuth-binaries,1,Grammar-Driven
xtext-serializer-issue-example,0,null
Xtext_MiniJava_IDE,1,Grammar-Driven
xtext-dsl-obj3,1,Grammar-Driven
gradle-xtext-xtend-problem,0,null
firewall-dsls-externos-xtext,2,Metamodel-Driven
Xtext-LWC-contribution--Instances-,1,Metamodel-Driven
eclipse-webidl,0,null
if4150-xtext-html,0,null
htwg-cform-xtext-demo,0,null
Xtext-GrammarMixin-Example,0,null
xtext-utils.subproject-template,0,null
xtext-utils.subproject-template,0,null
ituXtextLandinConfigurator,1,Grammar-Driven
xtext-utils.xtend1,0,null
old-tests-on-xtext,0,null
xtext-ocl-xtend-poc,2,Metamodel-Driven
xtext-serializer-parallel-problem,0,null
lunifera-xtext-runtimebuilder-example,0,null
xtext-utils.subproject-template,0,null
xtext-android-gradle-example,0,null
Xtext-Maven-BuildExample,0,null
xtext-eclipse-gh-238,1,Grammar-Driven
XText-Maven-CleanStart,0,null
org.xtext.example.pascalito,0,null
JoveNotesProcessor,0,null
xtext-utils.xtend1,0,null
AutoCompleteXTextView,0,null
uml-xtext-grammar-generator,0,null
DialogScriptDSL,2,Metamodel-Driven
org.xtext.dsl.restaurante,1,Grammar-Driven
xtext-extras-issue216,0,null
net.akehurst.example.xtext.vertx,0,null
de.htwg.xtext.setGame,1,Grammar-Driven
Xarchive,0,null
com.br.refactoring.xtext.dsl,0,null
xtext.15minTutorial.project,0,null
eclipse-orbit_xtext-web-dsls,2,Grammar-Driven
org.eclipse.xtext.example.domainmodel,1,Grammar-Driven
xtext-existing-metamodel-gradle-example,1,Metamodel-Driven
tycho.xtext.mwe2.test,0,null
EclipseTaskJuggler,1,Grammar-Driven
xtext_code_gen_version_2,1,Grammar-Driven
xtext-j2ee-dsl,0,null
xtext-gradle-plugin-issue-60,0,null
ituXtextLandin2Configurator,1,Grammar-Driven
basicfamily,1,Metamodel-Driven
2011-02-18_xtext_apache_wicket,0,null
El,0,null
de.htwg.mdsd.xtext.portals,0,null
org.shashwat.xtext.smallJava,1,Grammar-Driven
gpp-for-xtext-master-thesis,0,null
Integrating-Xtext-and-JavaRAG,0,null
org.xtext.example.pascalitoOld,0,null
IGESImport,1,Grammar-Driven
xsample,1,Grammar-Driven
beantypes,1,Metamodel-Driven
xtext-gradle-plugin-issue-61,0,null
com.br.refactoring.xtext.dsl.ui,0,null
org.eclipse.xtext.example.domainmodel.tests,0,null
com.br.refactoring.xtext.dsl.tests,0,null
org.shashwat.xtext.smallJava.ui,0,null
xtext.eclipse.15minExtended.project,0,null
MetroUiDescriper,1,Metamodel-Driven
sygus-ide,0,null
xtext-multilanguage-multiple-target-impl-reuse,7,Grammar-Driven
mybash,1,Grammar-Driven
XbaseSiriusIntegration,1,Grammar-Driven
android-code-generation,1,Grammar-Driven
zest-sm,0,null
declaratividad-orm-java,1,Metamodel-Driven
org.shashwat.xtext.smallJava.tests,0,null
net.akehurst.example.xtext.vertx.lsp,0,null
ClauTextWithEclipse,0,null
2011-04-29_xtext_service_repository,0,null
DSLEngBook-Xtext-P3Demo,0,null
PrettyPrinter,0,null
MVCLang,0,null
tefler,1,Grammar-Driven
xvhdl,1,Grammar-Driven
XTuring,2,Metamodel-Driven
org.eclipse.xtext.example.domainmodel.ui,0,null
OperationsResearch,1,Grammar-Driven
julepp,0,null
SmokingText,3,TBD
temalabor,0,null
communote-restws,0,null
FormGeneratorPOC,0,null
pocesl,0,null
POMText,0,null
https---github.com-meysholdt-xtext_stateful_lexer,0,null
xrst,2,Grammar-Driven
performance_probes,0,null
PowerLoomDSL,1,Grammar-Driven
jdl-ide,0,null
SDF3-editor,1,Grammar-Driven
emf-sandbox,2,Metamodel-Driven
FlexoModelingLanguage,1,Metamodel-Driven
experimental-rmodp-dsl,1,Metamodel-Driven
reqlang,1,Grammar-Driven
model-based-times,4,TBD
high-dim,0,null
deprecated-test-editor-index-backend,0,null
EasyUnit,0,null
lsotnk.xbase.launching,0,null
ReqLNG,1,Grammar-Driven
PAOC,1,Grammar-Driven
sysml.dml,1,Grammar-Driven
tlsf-ide,0,null
asdl-ide,0,null
EclipseExamples,2,TBD
cityplanning,0,null
soa-dsl-scaffolding,0,null
yaxpath,1,Grammar-Driven
ASP,0,null
boby,1,Grammar-Driven
kemble,0,null
bsc-thesis-documentation,0,null
mongoBeans,1,Metamodel-Driven
external_jar_download,0,null
xplatform,5,TBD
entitygenerator,0,null
polopoly-dsl,1,Metamodel-Driven
dsl-feature-modelling,0,null
statemachine-generator,1,Metamodel-Driven
gov.nasa.jpl.imce.oml.core,0,null
system-map-maker,0,null
DomainmodelWithCrossReference,1,Grammar-Driven
protobuf4e,0,null
testdsl,0,null
Cool,1,Grammar-Driven
CompiladorJava,1,Grammar-Driven
kobold,1,Grammar-Driven
RankPL-EclipsePlugin,1,Grammar-Driven
ebnfworkbench,1,Grammar-Driven
RaspduinoDSL,1,Grammar-Driven
CmooSimpleJ,1,Grammar-Driven
majordomo,2,Metamodel-Driven
CheckerDSL,1,Grammar-Driven
webml,1,Metamodel-Driven
ParserGeneratorExample,1,Grammar-Driven
Model-Driven-Engineering--Eclipse-RCP-plugin--Software-product-line,4,Grammar-Driven
MameVHDL,2,Metamodel-Driven
mydsl-emf-gen,1,Metamodel-Driven
clinicaltrialcreator,0,null
aomxsgrammar,1,Grammar-Driven
melange-studio,0,null
Event-Oriented-Language,1,Metamodel-Driven
Bicycle-Shop,6,Metamodel-Driven
SwarmRobotics,2,Metamodel-Driven
gh,0,null
