owner,repo,created_date
idiomaticsoft,sbt-xtext-plugin,2019-12-23
pen-zhang,online_elm_xtext,2021-01-25
raglu,ExternalDSL-xtext,2021-04-20
kulcsii,xtext-railmap-theia,2019-11-27
NiccoMlt,xtext-showdown-grammar,2020-04-28
NinjaArmy,xtext-language-server,2022-02-10
jnt0r,xtext-npe-reproducable,2023-06-11
HermanPeeren,eJSL-ANTLR4,2021-12-02
cs130-w21,statemachine,2021-02-05
csbc92,MDSE-assignment3,2020-04-27
ghillairet,org.example.mydsl.parent,2018-10-12
antoine-morvan,caph-java-parser,2019-04-18
abatti,XTEXT_FACPL3_PreserveVarious,2018-06-15
tfLabs,xtext-languageserver-example-duplicator,2020-12-23
LorenzoBettini,xtext-maven-plugin-example,2021-06-21
cdietrich,xtext-eclipse-issue-1009,2019-03-18
patrickneubauer,UoY-MODE-XTEXT,2018-10-08
cau-se,sprat-ecosystem-dsl-xtext,2019-07-19
cdietrich,theia-xtext-vscode-example,2020-09-14
cdietrich,j9-tycho-xtext,2018-01-09
loradd,xtext-lsp-ecore-support,2019-09-30
nnn911,LaTeXTextOverlay,2024-02-09
IbanezGio,VuC,2018-01-30
Samirez,DSLs,2023-07-10
ShahimEssaid,com.essaid.model.xtext,2023-11-13
gon10,EclipseRepoTese,2018-08-15
max-leuthaeuser,jmhmathexample,2018-10-10
tshoang,WhitespaceIDE,2023-10-26
seebgar,MISO4202-proyecto-xtext,2020-04-19
NiccoMlt,xtext-15-minutes-tutorial,2020-04-21
SharkJ,theia-xtext-extension-test,2018-11-19
jku-win-se,JsonBasedXtextGrammar,2021-04-23
altran-mde,xtext-sirius-integration.io,2018-10-16
cdietrich,xtext-core-issue-1835,2022-02-19
Zaki-Fadlan,xtext_getting_started_skilledup,2023-07-18
raptor494,Xtext-Minecraft-JSON-Languages,2020-04-11
rudi,xtext-emacs-lsp-demo,2021-05-01
fedorov-vk,apds_prototype,2023-04-26
test-editor,test-editor-xtext-gradle,2018-10-04
Ixgauth,perspectiveDSL-Sirus-Xtext,2021-03-16
keve98,SzakD_xtext_xtend,2021-05-03
silvergl,xtext-headless-rcp-example,2022-05-06
reinaqu,bpmnFromXtextDSL,2022-07-16
xtext,xtext-p2-orbit,2018-08-29
dsl-course,xtext-tutorial-turku-interim,2020-03-30
tfLabs,xtext-lsp-validation-anyway,2020-10-20
BalzGuenat,xtext-bug-minimal-example,2018-03-07
dmfullstack,org.xtext.example.mydsl,2019-07-12
SuelanyBrito,JFlex_CUP_XText_SQL,2020-11-18
cdietrich,xtext-languageserver-example-simple,2021-10-18
msntts,Xtext-Standalone-fat-jar,2022-01-16
oldulov,cfeditor,2018-01-25
LorenzoBettini,xtext-type-errors-examples,2018-06-29
claudenirmf,OntoUML-2.0-Xtext,2018-04-04
Mehmetcanss,example_xtext_language_server_vscode,2019-01-11
lidochca,xtext.skip.build.before.rename,2020-01-22
cdietrich,xtext-maven-plugin-coverage-example,2021-06-25
Kevin-Philip,TP_etudiant_Compilax,2019-05-29
elite-se,elite-se.xtext.languages.plantuml,2020-07-09
tshoang,BareBonesIDE,2023-10-26
tareklel,PDFtoText,2020-04-04
TVTower,TVTBlitzmaxEditor,2020-12-16
cdietrich,xtext-multi-dsl-manual-metamodel,2021-06-14
hallvard,xost,2020-03-04
davidmpaz,log-book,2023-03-05
oliver-reinhard,xtext-scoping-default-imports-demo,2019-05-23
tshoang,Simple-Barebone-XText-based-IDE,2020-10-23
MISO4202,uniandes.mdd.example.create-xtext,2019-02-15
NaoMod,XText-Language-Server-in-VSCode,2022-02-17
MISO4202,xtext-egl-sql2java,2019-02-15
cdietrich,simple-xtext-parallel-load-example,2021-06-07
bobbyfisher1,expressions,2018-05-16
lowcomote,DBML-to-ER,2022-11-17
tfLabs,xtext-n4js-lsp,2020-09-27
yishakabreham,mde.sales.transactions.xtext.4,2022-02-06
Rajesh2015,DSL-using-Xtext-and-Xtend,2018-03-30
cdietrich,xtext-lsp-tests-with-tycho,2021-11-25
CarlosAsrc,Reconhecedor-scheme,2019-03-29
oliver-reinhard,xtext-scoping-default-namespaces-demo,2019-02-16
TVTower,TVTDatabaseEditor,2021-04-07
casino-mdd,DSL,2019-06-18
cokeSchlumpf,bashdsl,2018-10-15
sumeetchhetri,faugjs-eclipse-plugin,2019-05-14
sderrien,Uclid-editor,2021-01-16
GlancingMind,xtext-lsp-missing-deleteFile-impl,2023-05-06
zmy3036190149,theia-xtext-pf-v1-backup,2019-10-23
MDSDLab,mdsd-2023-lab2-xtext-xtend,2023-09-22
abieren,MDSD-Xtext-Project-for-JavaFX,2020-01-18
SimonCockx,xtext-assertAllWhitespaceIsFormatted,2023-01-18
tombk556,SF_Factories_Beleg2324_Xtext_DSL,2024-01-10
DonatasC,CodeGeneration,2018-01-21
trichterwolke,init,2018-11-20
zs6jce,x400-xrpgle,2018-07-18
cyrilnavessamuel,TripManagment,2018-06-07
paullewallencom,xtext-xtend-978-1-7864-6496-5,2020-12-06
coalae,telemed,2018-06-04
vorburger,xtend-StackOverflowError-issue461,2018-06-01
JoaoMAlmeida,projetoCompiladores18-2,2018-10-18
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,2021-04-13
vks2106,domain.model,2022-01-17
metafacture,metafacture-flux,2020-11-13
mrtnstn,example-script-language,2018-04-19
Michel-Nassalang,eclipse_workspace,2023-09-08
varadbal,FunPL,2018-08-27
oliverablagojevic,QuestionnaireDSL,2020-07-16
EightPillars,NmtranEditor,2018-06-19
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,2018-06-27
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,2021-04-13
hvbargen,meth,2022-04-18
mischnic,bachelors-thesis,2022-03-16
cs130-w22,statemachine,2022-01-03
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,2018-06-19
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,2021-11-30
mdsd-team-1,domain-specific-language,2019-06-10
PalladioSimulator,Palladio-Editors-VSCode,2020-02-25
nils-christian,xtend-active-annotation-issue,2018-12-10
modicio,feature-dsl-tools,2023-05-12
HBuender,Aim42Visualizer,2019-05-16
scanyboss,ide-yourdsl,2018-10-20
spirvdev,dumpsymb,2022-07-15
thlaegler,edilang,2022-04-19
agonzalezgaliana,mydsl-language-server,2022-02-25
codezork,DSL-Blog,2019-10-26
LorenzoBettini,issue-2000-example,2022-11-15
trifonnt,net.adempiere.dsl.properties.spring.parent,2018-08-05
scanyboss,hello-world-language,2019-04-09
joerg-holtmann,Pretty-Printer_Language-Analysis,2021-11-25
coffeeframework,HLVL,2020-10-07
HermanPeeren,eJSL-MPS,2021-12-10
kukulkan-project,kukulkan-language-server,2018-07-10
mdsd-team-1,dsl-layered-style,2019-06-10
larissafiorini,t2-lingProg,2018-04-06
ragben,NetzDsl,2018-01-06
Cosimo5lli,assertx-swing,2018-05-03
gyaltso,Eclipse-Training-Schedules,2020-01-17
wzurborg,xtend-example,2020-04-07
kyberszittya,simple-ros-code-generator,2020-05-05
LinguaPhylo,linguaPhyloDSL,2021-03-19
dsanmartins,Entidades,2020-11-04
opcoach,datasample,2020-10-11
bujosa,smart-dsl,2023-07-01
robinguill,DSL_UML_INSA,2021-02-08
DedalArmy,SpringDSLJava,2018-10-24
LiamWalsh98,tumlrt-language-server,2020-01-30
jonev,HTTP-REST-test-DSL,2020-12-06
ElBilbao,DSL-Wizard-Creator,2020-08-31
ooaa30,Wail,2020-08-17
Wilson008,GrammarGenerator,2024-02-04
ScytherTool,dsl,2023-05-22
NaoMod,MiniTL,2023-02-15
ryangarvey,mde-spec,2021-02-12
bfMarcelino,SchemeLP,2019-03-29
henriklange,ifcBrickConvert,2018-04-25
osarenogae,fault_trees_textual_editor,2021-04-13
claudenirmf,TPTP-Editor,2019-03-08
augustin-rialan,IDM,2019-12-18
henriklange,ifcBrickConvertDsl,2018-04-25
PikaQin,XModel-Code-Converter,2020-06-16
helloyaqin,XModel-Code-Converter,2020-06-16
Garlo13,CEPStaticAnalysis,2018-07-05
Frederic-Boulanger-UPS,MiniARM-feature,2022-07-30
Jaddison011,C4EventB,2023-03-06
MDEGroup,metatemplating,2021-02-24
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,2022-12-13
grammeaway,math-interpreter-dsl,2021-03-25
ahmedsaleh1998,concept_project,2021-01-04
Chaimaa-Louahabi,Model-Driven-Engineering,2021-03-04
fayssalElAnsari,Kotlin-Meta-Model,2023-03-09
MisbahAwan,SeamlessRuntimeTransformations,2022-05-17
ProjetoDSL,CanopusDesign,2019-04-05
Ryuzaki101,Workbench,2023-04-22
eclipse,xtext,2011-04-01
eclipse,xtext-core,2016-05-31
eclipse,xtext-xtend,2016-05-31
eclipse,xtext-eclipse,2016-05-31
eclipse,xtext-extras,2016-05-31
eclipse,xtext-web,2016-05-31
xtext,seven-languages-xtext,2012-06-12
eclipse,xtext-maven,2016-05-31
eclipse,xtext-lib,2016-05-31
xtext,maven-xtext-example,2013-11-22
seebk,LaTeXText,2017-10-23
cdietrich,xtext-languageserver-example,2016-06-29
eclipse,xtext-idea,2016-05-31
adamschmideg,coffeescript-eclipse,2011-11-02
RvonMassow,xDoc,2010-08-25
xtext,xtext-gradle-plugin,2014-03-05
LorenzoBettini,packtpub-xtext-book-2nd-examples,2016-06-17
PrinceMei,xTextHandler,2016-06-19
LorenzoBettini,packtpub-xtext-book-examples,2013-08-01
theia-ide,theia-xtext,2017-05-08
svenefftinge,xtext-lsp-workshop,2017-06-12
ObeoNetwork,Xtext-Sirius-integration,2011-07-07
dslmeinte,Xtext2-DSLs,2011-07-20
merks,Xcore,2011-08-02
ssi-schaefer,lcdsl,2017-02-01
eclipse,xtext-umbrella,2016-11-18
danieldietrich,xtext-protected-regions,2011-09-23
xtext,xtend-gradle-plugin,2014-02-25
aphethean,xtext-maven-examples,2012-10-02
ckulla,xtext-tycho-example,2012-01-22
vorburger,xtext-sandbox,2012-06-11
basilfx,xtext-standalone-maven-build,2017-05-22
JakeGinnivan,XText,2012-08-04
OLibutzki,xtext.tools,2013-11-22
Xpitfire,xtext-dnn,2016-12-03
LorenzoBettini,Xtext2-experiments,2011-11-21
eclipse,xsemantics,2013-10-22
xtext,xtext-reference-projects,2017-12-14
mzaks,FlatBuffersSchemaEditor,2015-12-03
vorburger,eLang,2011-08-07
fuinorg,emt-xtext-archetype,2013-10-04
eclipse-soc,amalgamation-examples-xtext,2011-08-14
kthoms,xtext-experimental,2011-12-08
dsldevkit,dsl-devkit,2016-09-14
itemis,generator-xtext,2017-04-05
att,yang-design-studio,2015-10-28
martinbaker,xtextadd,2014-11-16
LorenzoBettini,edelta,2017-07-14
sebastianbenz,xgherkin,2011-07-07
vladdu,xtext.unittesting,2015-04-17
slizaa,slizaa-opencypher-xtext,2016-10-04
xpomul,cdo-xtext,2014-01-23
mark-christiaens,Xtext-Models-Stats-View,2011-05-27
TypeFox,xtext-jflex,2016-05-09
vorburger,eclipse-typescript-xtext,2013-11-15
patrickneubauer,XMLText,2015-06-25
xtext,org.xtext.antlr.generator,2010-08-26
boalang,xtext-ide,2015-10-29
nittka,terminology,2013-02-22
veraPDF,veraPDF-model-syntax,2015-05-05
TypeFox,languageserver-example,2016-06-13
Hellmy,plantuml-eclipse-xtext,2015-07-20
stephanrauh,JSFLibraryGenerator,2015-06-05
loonwerks,jkind-xtext,2013-09-04
TatyPerson,Xtext2Sonar,2016-04-04
TypeFox,xtext-vscode,2016-05-04
svenefftinge,Xtext-Workshop-Development-Workspace,2011-07-04
cdietrich,xtext-uml-example,2015-06-09
cdietrich,xtext-maven-example,2013-12-30
marklemay,tptpParser,2013-11-24
borgar,xtexts,2017-09-23
uqbar-project,xtext-tortuga-lang,2015-06-06
dslmeinte,Xtext1-DSLs,2011-03-31
applause,applause,2011-03-16
LorenzoBettini,ecefrance2015-xtext-example,2015-06-25
jcmm33,DirectXTextBlock,2015-02-11
dhuebner,xtext-apidiff,2015-07-21
appdev,XTextView,2015-09-15
oehme,xtext-maven-example,2014-08-07
SMadani,ThriftMDE,2016-08-23
xtext,xtext-external-editors,2015-12-16
itemis,xtext-generator-vscode,2016-07-21
soluvas,ecommerce-sample,2011-11-01
tianguanghui,xTextHandler-objc,2016-09-19
meysholdt,xtext_stateful_lexer,2012-06-04
holgerschill,XtextCon_Xcore_Maven,2015-05-12
scottopell,vim-xtext,2015-12-07
itemis,xtext-debug-example-no-xbase,2017-11-23
TypeFox,Xtext-XMI,2017-07-06
joergreichert,XtextPlayground,2012-04-30
wuwen1030,XTExtension,2016-06-23
fuinorg,org.fuin.dsl.cqrs,2014-04-18
JanKoehnlein,EclipseCon2013_XtextTutorial,2013-03-19
avaranovich,megal-xtext,2014-06-07
fuinorg,org.fuin.dsl.ddd,2014-03-28
arturboronat,xtext.domainmodel,2016-09-23
otrosien,xtext-perl,2016-05-26
cmendible,Hexa.xText,2011-07-18
SciSpike,yaktor-dsl-xtext,2016-05-27
andrearn,org.fornax.soa.xtextservicerepository,2011-03-04
ujhelyiz,xtext-reflective,2012-02-15
szarnekow,xtextcon-xbase-example,2014-05-21
bsi-software,org.eclipse.scout.xtext,2012-09-24
cdietrich,xtext-languageserver-xbase-example,2016-08-11
test-editor,deprecated-test-editor-xtext,2015-05-06
awk-kazmin,eclipse_1C_xtext,2015-04-15
svenefftinge,fowlers-statemachine-with-expressions,2012-05-07
copton,XTextExamples,2010-07-09
GeekBugs,XTextView,2017-09-24
akosyakov,org.xtext.example.mydsl.idea,2014-07-14
vaulttec,isis-script,2015-07-05
HBehrens,Xtext2Workshop,2011-07-11
GrupoHunter,Kukuroo,2013-11-30
itemis,xtext-languageserver-example-lsp4e,2016-12-07
fatalerrortan,Xtext_Xtend_HTML_Generator,2017-04-20
spoenemann,xtext-gef,2015-03-27
Minres,RDL-Editor,2017-09-12
svenefftinge,Guice-Modules-DSL,2011-03-29
LorenzoBettini,jbase,2015-12-02
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,2013-02-26
hishidama,xtext-dmdl-editor,2013-08-19
cmark,androtext,2011-11-19
svenefftinge,homeautomation-example,2014-09-24
SOM-Research,graphQL-xtext-grammar,2017-03-22
janesser,frege-xtext,2016-05-22
szarnekow,org.eclipse.e4.xcss,2010-10-22
LorenzoBettini,xtext-scoping,2012-05-29
JanKoehnlein,ESE-2010-Tutorial,2010-10-20
spoenemann,xtext-orion,2015-06-24
Modaptix,xtext-expressions,2015-09-03
nittka,Jtag,2017-03-05
erlide,erlide_xtext,2012-02-27
cdietrich,xtext-forum-support-example,2016-11-16
ESIR2Compilation,Langage-WHILE,2015-11-09
jhonatan89,gen-angular-grammar,2017-08-11
Sofiane-13,tutorialXtextSirius,2017-05-18
eclipse-soc,amalgamation-examples,2011-05-13
dvdkruk,xtext-xsd-resourceprovider,2015-11-17
marnix,metamath-eclipse-xtext,2015-09-26
JanKoehnlein,Xtext-Syntax-View,2010-08-29
planger,xtext-uml-experiment,2016-09-27
rquinio,ck2xtext,2016-01-20
mzaks,petrinet_dsl,2011-07-17
drnappalm,xtext,2014-04-17
svenefftinge,Xtext-Workshop-Runtime-Workspace,2011-07-04
martijndwars,XtextXT,2015-08-27
nahni,xtextTessla,2017-09-06
baidty,xtextLearning,2016-04-11
MoayadHn,XtextBDI,2015-11-08
fzalila,XtextExperiments,2015-12-07
Girish-Venkatesh,XTextSelenium,2014-11-16
Vinayakatk,xtextScopes,2016-06-10
01Lizard10,XTextUML,2016-06-12
Salome-Maro,XtextUtils,2014-07-07
fanghuixing,XtextApricot,2013-10-06
mraminella,xtextTests,2017-11-08
Alma2015RSABSAWA,XtextLangage,2015-11-25
myorb,XTextParser,2015-08-06
Jhinnn,XTextView,2017-03-14
kathisai,xtextSample,2017-07-24
huibo-shi,XtextExamples,2016-02-05
osamu-k,XTextStudy,2014-02-09
Treehopper,XTextTemplate,2014-07-11
seba111,Xtext1,2013-03-18
shinesamjacob,XtextExample,2016-06-02
ajperalt,xtext,2013-11-15
schakko,xtext-plugin-with-maven-tycho,2013-02-13
colameo,xtext4roo,2015-10-24
vinpereira,XtextToXMI,2016-06-21
JanKoehnlein,XtextCon2014,2014-08-26
bink81,xtext-test,2016-02-24
