owner,repo,total_files,total_commit_count,average_commit_count
christopherosthues,mgpl-xtext,1,1,1
zhanglin2018,learnXtext,4,6,1.5
seebgar,Xtext-Projects,2,2,1
Vallenstein,xtext_web,2,2,1
AbQadirr,dialogXtextflow,0,0,0
blue995,xtext-orm,1,1,1
arockiaraj1994,xtext-mvn,2,2,1
moein9,passXtext,0,0,0
saivarunr,xtext-editor,0,0,0
JesterOrNot,xtext-cli,0,0,0
Somiacao,xtext-web,1,1,1
katmatt,graphql-xtext,1,1,1
LIONant-depot,xtexture_compiler,0,0,0
tchebs,xtext-example,0,0,0
ballcoach12,xtext_samples,0,0,0
AssaX0,MDSE-xtext,1,1,1
samples-projects,sample-xtext,1,1,1
karthik137,xtext-demo,2,2,1
MDE-Course-23-24,SIRIUS-XTEXT,1,1,1
softlang,megal-xtext,2,5,2.5
laurocesar,xtext-domainmodel,1,1,1
Yahaya12,Xtext-project,0,0,0
malhxr,SpeechXtext,0,0,0
stanimirovv,xtext-extractor,0,0,0
3m3k3,xtext-congen,1,1,1
pen-zhang,xtext_elm_editor,0,0,0
NSaitoNmiri,toppers_cfg_xtext,1,4,4
tmtron,ex.xtext.twog,2,3,1.5
vinicius0197,metacrysl,1,1,1
Dexels,navascript-editor,1,5,5
adrianrutle,PCS953-EMF-Exercise,0,0,0
ravornyo,xspice,2,2,1
yamen-njm,IotXtext,2,2,1
kainzpat14,xtext-plsql,1,2,2
epsilonlabs,emc-xtext,0,0,0
robertovillarejo,kukulkan-grammar,1,3,3
lvanzeun,ulm-xtext-test,1,1,1
purerstamp,N7.compilateur,1,3,3
jaedabee,xtext-gradle-test,0,0,0
MassiBelaid,M-langeuse-Xtext,2,2,1
qxe35v,xtext_encoding_dsl,2,4,2
random-eclipse,nix-eclipse-xtext,1,1,1
meta-doodle,Xtext_Gradle_Test,1,1,1
LiamWalsh98,nusmv-xtext-lsp,2,2,1
MaximilianKoestler,vscode-xtext-links,0,0,0
AhmedEssam2212,xText-Editor-,0,0,0
adrinerDP,DSL-with-Xtext,2,2,1
cdietrich,xtext-domainmodel-ls,2,2,1
tmtron,ex.xtext.ml,3,6,2
andrewsandu,xtext-web-example,1,1,1
pngowda,xtext-build-tools,0,0,0
SharkJ,xtext-dsl-sample,2,2,1
hammedb197,team-hacktive-xtext,0,0,0
SimonCockx,xtext-monaco-example,1,1,1
mister-walter,xtext-folding-issue,1,1,1
alexvolh,xtext-xml-grammar,1,1,1
SharkJ,my-theia-xtext,1,1,1
urbanoanderson,xtext-gait-model,2,2,1
vjordan,Xtext_directory-file,2,2,1
JosBouwhuis,xText-DSL,0,0,0
CS130-W20,assignment-2-xtext,0,0,0
lunifera,xtext-jvmtypeprovider-standalone,0,0,0
bobbyfisher1,eclipse-workspace,2,2,1
dsl-course,xtext-entities-tutorial,0,0,0
Highbrainer,xtext-pde-target,0,0,0
mattsse,xtext-fipa-acl,1,1,1
XIECHO,qingo_xtext_documentation,0,0,0
FariSoftware,xtext-problem-matcher,0,0,0
ShrawanBK,xtext.sales.transactions,0,0,0
Lzgpom,xtext-gen-extension,5,5,1
drkstr101,Domainmodel,1,1,1
vinicius0197,expressions-dsl,1,1,1
LorenzoBettini,xtext-xdoc-releases,0,0,0
KarstenWilken,xTextForum,1,1,1
S-wald,xtext-plugin-gradle,3,5,1.6666666666666667
lahirugayanga,xtext-example-dsl,2,2,1
cdietrich,xtext-fragment-experiments,1,1,1
cdietrich,xtext_bug_1974,1,1,1
bergmanngabor,xtext-railmap-demo,1,1,1
mchlrch,xtext-intro-bfh,1,1,1
EvdokimovMaks,xtext-example-entities,1,2,2
cipek,MyFirstXText,2,2,1
pngowda,xtext-ci-libs,0,0,0
paulvberlin,BaSiriusXtext,1,1,1
szarnyasg,sql-pgq-xtext,1,1,1
frademacher,xtext-jpms-test,0,0,0
xtext,xtext-monorepo-lfs,0,0,0
LorenzoBettini,xtext-build-utils,3,0,0
cdietrich,xtext-two-dsls,2,2,1
balazsgrill,xtext_bug508518,1,1,1
Tim-S,xtext-valueconverter-example,2,2,1
ayakurtam,xText-Editor,0,0,0
HouseBuilder-MDE,HouseBuilder-Xtext,1,3,3
xtext,xtext-orbit-replacement,0,0,0
fedorov-vk,xtext-xcore-sample,1,1,1
gustavotemple,mo631xtext,1,1,1
Tim-S,xtext-mapbasedscope-example,1,1,1
shakenetwork,xTextHandler,0,0,0
GabrielBozza,ProjetoXtextPFC,2,2,1
HexXText,HexXTextSMP,0,0,0
snarkipus,xtext-dsl-book,1,2,2
fedorov-vk,xtextxtend-book-examples,9,15,1.6666666666666667
ArneDeutsch,xtext-gradle-example,6,6,1
oliver-reinhard,xtext-ppt-demo,1,1,1
tpluscode,xtext-completion-nullpointer,1,2,2
idiomaticsoft,sbt-xtext-plugin,0,0,0
pen-zhang,online_elm_xtext,2,4,2
raglu,ExternalDSL-xtext,1,1,1
kulcsii,xtext-railmap-theia,2,2,1
NiccoMlt,xtext-showdown-grammar,1,1,1
NinjaArmy,xtext-language-server,0,0,0
jnt0r,xtext-npe-reproducable,2,2,1
HermanPeeren,eJSL-ANTLR4,0,0,0
cs130-w21,statemachine,1,1,1
csbc92,MDSE-assignment3,1,1,1
ghillairet,org.example.mydsl.parent,1,1,1
antoine-morvan,caph-java-parser,1,2,2
abatti,XTEXT_FACPL3_PreserveVarious,0,0,0
tfLabs,xtext-languageserver-example-duplicator,1,1,1
LorenzoBettini,xtext-maven-plugin-example,1,1,1
cdietrich,xtext-eclipse-issue-1009,0,0,0
patrickneubauer,UoY-MODE-XTEXT,3,3,1
cau-se,sprat-ecosystem-dsl-xtext,1,1,1
cdietrich,theia-xtext-vscode-example,0,0,0
cdietrich,j9-tycho-xtext,1,1,1
loradd,xtext-lsp-ecore-support,1,1,1
nnn911,LaTeXTextOverlay,0,0,0
IbanezGio,VuC,0,0,0
Samirez,DSLs,8,8,1
ShahimEssaid,com.essaid.model.xtext,0,0,0
gon10,EclipseRepoTese,6,6,1
max-leuthaeuser,jmhmathexample,1,1,1
tshoang,WhitespaceIDE,1,1,1
seebgar,MISO4202-proyecto-xtext,2,4,2
NiccoMlt,xtext-15-minutes-tutorial,1,1,1
SharkJ,theia-xtext-extension-test,2,2,1
jku-win-se,JsonBasedXtextGrammar,0,0,0
altran-mde,xtext-sirius-integration.io,0,0,0
cdietrich,xtext-core-issue-1835,0,0,0
Zaki-Fadlan,xtext_getting_started_skilledup,2,2,1
raptor494,Xtext-Minecraft-JSON-Languages,4,4,1
rudi,xtext-emacs-lsp-demo,1,1,1
fedorov-vk,apds_prototype,2,2,1
test-editor,test-editor-xtext-gradle,3,4,1.3333333333333333
Ixgauth,perspectiveDSL-Sirus-Xtext,0,0,0
keve98,SzakD_xtext_xtend,2,4,2
silvergl,xtext-headless-rcp-example,1,1,1
reinaqu,bpmnFromXtextDSL,1,1,1
xtext,xtext-p2-orbit,0,0,0
dsl-course,xtext-tutorial-turku-interim,2,2,1
tfLabs,xtext-lsp-validation-anyway,1,1,1
BalzGuenat,xtext-bug-minimal-example,1,1,1
dmfullstack,org.xtext.example.mydsl,1,1,1
SuelanyBrito,JFlex_CUP_XText_SQL,2,2,1
cdietrich,xtext-languageserver-example-simple,1,2,2
msntts,Xtext-Standalone-fat-jar,1,2,2
oldulov,cfeditor,1,1,1
LorenzoBettini,xtext-type-errors-examples,2,7,3.5
claudenirmf,OntoUML-2.0-Xtext,1,1,1
Mehmetcanss,example_xtext_language_server_vscode,1,1,1
lidochca,xtext.skip.build.before.rename,0,0,0
cdietrich,xtext-maven-plugin-coverage-example,1,1,1
Kevin-Philip,TP_etudiant_Compilax,1,2,2
elite-se,elite-se.xtext.languages.plantuml,1,3,3
tshoang,BareBonesIDE,1,1,1
tareklel,PDFtoText,0,0,0
TVTower,TVTBlitzmaxEditor,1,1,1
cdietrich,xtext-multi-dsl-manual-metamodel,1,1,1
hallvard,xost,0,0,0
davidmpaz,log-book,1,2,2
oliver-reinhard,xtext-scoping-default-imports-demo,2,2,1
tshoang,Simple-Barebone-XText-based-IDE,1,1,1
MISO4202,uniandes.mdd.example.create-xtext,0,0,0
NaoMod,XText-Language-Server-in-VSCode,1,1,1
MISO4202,xtext-egl-sql2java,2,2,1
cdietrich,simple-xtext-parallel-load-example,1,1,1
bobbyfisher1,expressions,4,4,1
lowcomote,DBML-to-ER,1,1,1
tfLabs,xtext-n4js-lsp,1,1,1
yishakabreham,mde.sales.transactions.xtext.4,1,1,1
Rajesh2015,DSL-using-Xtext-and-Xtend,2,2,1
cdietrich,xtext-lsp-tests-with-tycho,1,1,1
CarlosAsrc,Reconhecedor-scheme,1,1,1
oliver-reinhard,xtext-scoping-default-namespaces-demo,1,1,1
TVTower,TVTDatabaseEditor,1,3,3
casino-mdd,DSL,2,2,1
cokeSchlumpf,bashdsl,2,2,1
sumeetchhetri,faugjs-eclipse-plugin,1,1,1
sderrien,Uclid-editor,2,3,1.5
GlancingMind,xtext-lsp-missing-deleteFile-impl,1,1,1
zmy3036190149,theia-xtext-pf-v1-backup,1,1,1
MDSDLab,mdsd-2023-lab2-xtext-xtend,1,1,1
abieren,MDSD-Xtext-Project-for-JavaFX,2,4,2
SimonCockx,xtext-assertAllWhitespaceIsFormatted,2,2,1
tombk556,SF_Factories_Beleg2324_Xtext_DSL,2,2,1
DonatasC,CodeGeneration,0,0,0
trichterwolke,init,1,1,1
zs6jce,x400-xrpgle,0,0,0
cyrilnavessamuel,TripManagment,2,2,1
paullewallencom,xtext-xtend-978-1-7864-6496-5,12,12,1
coalae,telemed,1,1,1
vorburger,xtend-StackOverflowError-issue461,0,0,0
JoaoMAlmeida,projetoCompiladores18-2,1,1,1
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,0,0,0
vks2106,domain.model,2,2,1
metafacture,metafacture-flux,1,4,4
mrtnstn,example-script-language,1,1,1
Michel-Nassalang,eclipse_workspace,15,15,1
varadbal,FunPL,2,4,2
oliverablagojevic,QuestionnaireDSL,2,2,1
EightPillars,NmtranEditor,1,3,3
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,2,2,1
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,2,2,1
hvbargen,meth,2,2,1
mischnic,bachelors-thesis,0,0,0
cs130-w22,statemachine,1,1,1
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,4,4,1
