nbhusare,xtext-playground,0,0,0
kokostino,xtext_kokomodel,0,0,0
GiordanoT,ocl-xtext,0,0,0
dr-jam,ABL-XText,0,0,0
lahirugayanga,xtext-projection,0,0,0
daniel614,xtext-webapp,0,0,0
Spiderixius,DSLIndividualXtext,0,0,0
mdsd-team-1,photos-xtext,1,4,4.0
efuentesp,xtext-cobol,0,0,0
torosky,Libreria-Xtext,0,0,0
MaxiEckert,Xtext-example,2,2,1.0
as500,xtext-rpgle,0,0,0
JavierOramas,AudiXText,0,0,0
xtext,xtext-monorepo,1066,3992,3.74
vjordan,Xtext_browser,18,18,1.0
Yop-La,xtext_project,0,0,0
JesterOrNot,Gitpod-XText,1,1,1.0
eclipse,xtext-archive,0,0,0
Lethalaric,xtext-learning,6,6,1.0
DSIE2,tr.xtext,0,0,0
ShivaniBali,Theia-Xtext,1,1,1.0
kthoms,xtext-webinar,0,0,0
christopherosthues,mgpl-xtext,0,0,0
zhanglin2018,learnXtext,2,4,2.0
seebgar,Xtext-Projects,0,0,0
Vallenstein,xtext_web,0,0,0
AbQadirr,dialogXtextflow,0,0,0
blue995,xtext-orm,1,5,5.0
arockiaraj1994,xtext-mvn,0,0,0
moein9,passXtext,0,0,0
saivarunr,xtext-editor,0,0,0
JesterOrNot,xtext-cli,0,0,0
Somiacao,xtext-web,2,2,1.0
katmatt,graphql-xtext,0,0,0
LIONant-depot,xtexture_compiler,0,0,0
tchebs,xtext-example,0,0,0
ballcoach12,xtext_samples,0,0,0
AssaX0,MDSE-xtext,1,1,1.0
samples-projects,sample-xtext,0,0,0
karthik137,xtext-demo,0,0,0
MDE-Course-23-24,SIRIUS-XTEXT,0,0,0
softlang,megal-xtext,21,134,6.38
laurocesar,xtext-domainmodel,0,0,0
Yahaya12,Xtext-project,0,0,0
malhxr,SpeechXtext,0,0,0
stanimirovv,xtext-extractor,0,0,0
3m3k3,xtext-congen,0,0,0
pen-zhang,xtext_elm_editor,0,0,0
NSaitoNmiri,toppers_cfg_xtext,0,0,0
tmtron,ex.xtext.twog,2,2,1.0
vinicius0197,metacrysl,0,0,0
Dexels,navascript-editor,0,0,0
adrianrutle,PCS953-EMF-Exercise,0,0,0
ravornyo,xspice,0,0,0
