Repository Name,MWE2 File Count,Found Extensions
torosky/Libreria-Xtext,0,""
MaxiEckert/Xtext-example,2,"mydsl2"
as500/xtext-rpgle,0,""
JavierOramas/AudiXText,0,""
xtext/xtext-monorepo,34,"___singlecodetemplate,buildertestlanguage,calc,codetemplates,dmodel,ecore2xtexttest,entities,indentationAwareUiTestLang,mydsl,nestedRefs,nojdt,partialcontentassisttestlang,pstl,renametl,rules,simplexml,statemachine,testlang,testlangext,typesAssistTest,typesRefactoring,typesRefactoring1,typesRefactoring2,xbase,xtend,xtext,xtext2,xtextgrammar"
vjordan/Xtext_browser,2,"mydsl"
Yop-La/xtext_project,1,"mml"
JesterOrNot/Gitpod-XText,1,"hello"
eclipse/xtext-archive,0,""
Lethalaric/xtext-learning,2,"dmodel"
DSIE2/tr.xtext,1,"teleor"
ShivaniBali/Theia-Xtext,2,"mydsl"
kthoms/xtext-webinar,0,""
christopherosthues/mgpl-xtext,1,"mgpl"
zhanglin2018/learnXtext,4,"entities,mydsl"
seebgar/Xtext-Projects,2,"ceffective"
Vallenstein/xtext_web,2,"lpdsl"
AbQadirr/dialogXtextflow,0,""
blue995/xtext-orm,1,"pmodel"
arockiaraj1994/xtext-mvn,2,"mydsl"
moein9/passXtext,0,""
saivarunr/xtext-editor,0,""
JesterOrNot/xtext-cli,0,""
Somiacao/xtext-web,1,"mydsl"
katmatt/graphql-xtext,1,"graphql"
LIONant-depot/xtexture_compiler,0,""
tchebs/xtext-example,0,""
ballcoach12/xtext_samples,0,""
AssaX0/MDSE-xtext,1,"dmodel"
samples-projects/sample-xtext,1,"dmodel"
karthik137/xtext-demo,2,"dmodel"
MDE-Course-23-24/SIRIUS-XTEXT,1,"statemachinet"
softlang/megal-xtext,1,"megal"
laurocesar/xtext-domainmodel,1,"dmodel"
Yahaya12/Xtext-project,0,""
malhxr/SpeechXtext,0,""
stanimirovv/xtext-extractor,0,""
3m3k3/xtext-congen,1,"mp"
pen-zhang/xtext_elm_editor,0,""
NSaitoNmiri/toppers_cfg_xtext,1,"cfg"
tmtron/ex.xtext.twog,2,"dsla,dslb"
vinicius0197/metacrysl,1,"crysl"
Dexels/navascript-editor,1,"ns"
adrianrutle/PCS953-EMF-Exercise,0,""
ravornyo/xspice,2,"cir"
yamen-njm/IotXtext,2,"iotmodel"
kainzpat14/xtext-plsql,1,"kainzplsql"
epsilonlabs/emc-xtext,0,""
robertovillarejo/kukulkan-grammar,1,"3k"
lvanzeun/ulm-xtext-test,1,"metaulm"
purerstamp/N7.compilateur,1,"rat"
jaedabee/xtext-gradle-test,0,""
MassiBelaid/M-langeuse-Xtext,2,"dmodel"
qxe35v/xtext_encoding_dsl,2,"enco"
random-eclipse/nix-eclipse-xtext,1,"nix"
meta-doodle/Xtext_Gradle_Test,1,"mdl"
LiamWalsh98/nusmv-xtext-lsp,2,"smv"
MaximilianKoestler/vscode-xtext-links,0,""
AhmedEssam2212/xText-Editor-,0,""
adrinerDP/DSL-with-Xtext,2,"entities"
cdietrich/xtext-domainmodel-ls,2,"dmodel"
tmtron/ex.xtext.ml,3,"dsla,dslb,dslc"
andrewsandu/xtext-web-example,1,"mydsl"
pngowda/xtext-build-tools,0,""
SharkJ/xtext-dsl-sample,2,"mydsl"
hammedb197/team-hacktive-xtext,0,""
SimonCockx/xtext-monaco-example,1,"mydsl"
mister-walter/xtext-folding-issue,1,"lisp"
alexvolh/xtext-xml-grammar,1,"xml"
SharkJ/my-theia-xtext,1,"dsl"
urbanoanderson/xtext-gait-model,1,"presc"
vjordan/Xtext_directory-file,2,"dirfile"
JosBouwhuis/xText-DSL,0,""
CS130-W20/assignment-2-xtext,0,""
lunifera/xtext-jvmtypeprovider-standalone,0,""
bobbyfisher1/eclipse-workspace,2,"entities"
dsl-course/xtext-entities-tutorial,0,""
Highbrainer/xtext-pde-target,0,""
mattsse/xtext-fipa-acl,1,"acl"
XIECHO/qingo_xtext_documentation,0,""
FariSoftware/xtext-problem-matcher,0,""
ShrawanBK/xtext.sales.transactions,0,""
Lzgpom/xtext-gen-extension,5,"bamol,bm,calc,dmodel,rules,sm"
drkstr101/Domainmodel,1,"dmodel"
vinicius0197/expressions-dsl,1,"expressions"
LorenzoBettini/xtext-xdoc-releases,0,""
KarstenWilken/xTextForum,1,"mydsl"
S-wald/xtext-plugin-gradle,2,"dmodel,mydsl"
lahirugayanga/xtext-example-dsl,2,"mydsl"
cdietrich/xtext-fragment-experiments,1,"mydsl"
cdietrich/xtext_bug_1974,1,"mydsl"
bergmanngabor/xtext-railmap-demo,1,"rail"
mchlrch/xtext-intro-bfh,1,"har"
EvdokimovMaks/xtext-example-entities,1,"entities"
cipek/MyFirstXText,2,"helloweb"
pngowda/xtext-ci-libs,0,""
paulvberlin/BaSiriusXtext,1,"activity"
szarnyasg/sql-pgq-xtext,1,"pgq"
frademacher/xtext-jpms-test,0,""
xtext/xtext-monorepo-lfs,0,""
LorenzoBettini/xtext-build-utils,0,""
cdietrich/xtext-two-dsls,2,"mydsla,mydslb"
balazsgrill/xtext_bug508518,1,"mydsl"
Tim-S/xtext-valueconverter-example,2,"mydsl"
ayakurtam/xText-Editor,0,""
HouseBuilder-MDE/HouseBuilder-Xtext,1,"hb2"
xtext/xtext-orbit-replacement,0,""
fedorov-vk/xtext-xcore-sample,1,"library"
gustavotemple/mo631xtext,1,"rabbit"
Tim-S/xtext-mapbasedscope-example,1,"mydsl"
shakenetwork/xTextHandler,0,""
GabrielBozza/ProjetoXtextPFC,2,"rules"
HexXText/HexXTextSMP,0,""
snarkipus/xtext-dsl-book,1,"entities"
fedorov-vk/xtextxtend-book-examples,8,"entities,expressions,greetings,library,school,smalljava,xentities,xexpressions"
ArneDeutsch/xtext-gradle-example,6,"mydsl,mydsl1,mydsl2"
oliver-reinhard/xtext-ppt-demo,1,"abppt"
tpluscode/xtext-completion-nullpointer,1,"hydra,mydsl"
idiomaticsoft/sbt-xtext-plugin,0,""
pen-zhang/online_elm_xtext,2,"oe"
raglu/ExternalDSL-xtext,1,"mydsl"
kulcsii/xtext-railmap-theia,2,"rail"
NiccoMlt/xtext-showdown-grammar,1,"sdt"
NinjaArmy/xtext-language-server,0,""
jnt0r/xtext-npe-reproducable,2,"mydsl"
HermanPeeren/eJSL-ANTLR4,0,""
cs130-w21/statemachine,1,"sm"
csbc92/MDSE-assignment3,1,"mathexp"
ghillairet/org.example.mydsl.parent,1,"mydsl"
antoine-morvan/caph-java-parser,1,"cph"
abatti/XTEXT_FACPL3_PreserveVarious,0,""
tfLabs/xtext-languageserver-example-duplicator,1,"mydsl"
LorenzoBettini/xtext-maven-plugin-example,1,"mydsl"
cdietrich/xtext-eclipse-issue-1009,0,""
patrickneubauer/UoY-MODE-XTEXT,3,"entity,state"
cau-se/sprat-ecosystem-dsl-xtext,1,"ecosystem"
cdietrich/theia-xtext-vscode-example,0,""
cdietrich/j9-tycho-xtext,1,"mydsl5"
loradd/xtext-lsp-ecore-support,1,"dsl"
nnn911/LaTeXTextOverlay,0,""
IbanezGio/VuC,0,""
Samirez/DSLs,8,"if,math,ui"
ShahimEssaid/com.essaid.model.xtext,0,""
gon10/EclipseRepoTese,6,"entities,mydsl,rsl"
max-leuthaeuser/jmhmathexample,1,"math"
tshoang/WhitespaceIDE,1,"ws"
seebgar/MISO4202-proyecto-xtext,2,"mydsl"
NiccoMlt/xtext-15-minutes-tutorial,1,"dmodel"
SharkJ/theia-xtext-extension-test,2,"dsl"
jku-win-se/JsonBasedXtextGrammar,0,""
