Owner,Repo,Forks Count,Stars Count
eclipse,xtext-archive,0,0
Lethalaric,xtext-learning,0,0
DSIE2,tr.xtext,0,0
ShivaniBali,Theia-Xtext,0,0
kthoms,xtext-webinar,0,0
christopherosthues,mgpl-xtext,0,0
zhanglin2018,learnXtext,0,0
seebgar,Xtext-Projects,0,0
Vallenstein,xtext_web,0,0
AbQadirr,dialogXtextflow,0,0
blue995,xtext-orm,0,0
arockiaraj1994,xtext-mvn,0,0
moein9,passXtext,0,0
saivarunr,xtext-editor,0,0
JesterOrNot,xtext-cli,0,0
Somiacao,xtext-web,0,0
katmatt,graphql-xtext,0,0
LIONant-depot,xtexture_compiler,0,0
tchebs,xtext-example,0,0
ballcoach12,xtext_samples,0,0
AssaX0,MDSE-xtext,0,0
samples-projects,sample-xtext,0,0
karthik137,xtext-demo,0,0
MDE-Course-23-24,SIRIUS-XTEXT,0,0
softlang,megal-xtext,0,0
laurocesar,xtext-domainmodel,0,0
Yahaya12,Xtext-project,0,0
malhxr,SpeechXtext,0,0
stanimirovv,xtext-extractor,0,0
3m3k3,xtext-congen,0,0
pen-zhang,xtext_elm_editor,0,1
NSaitoNmiri,toppers_cfg_xtext,0,0
tmtron,ex.xtext.twog,0,0
vinicius0197,metacrysl,0,0
Dexels,navascript-editor,1,0
adrianrutle,PCS953-EMF-Exercise,0,0
ravornyo,xspice,0,0
yamen-njm,IotXtext,0,0
kainzpat14,xtext-plsql,0,1
epsilonlabs,emc-xtext,0,1
robertovillarejo,kukulkan-grammar,0,0
lvanzeun,ulm-xtext-test,0,1
purerstamp,N7.compilateur,0,1
jaedabee,xtext-gradle-test,1,0
MassiBelaid,M-langeuse-Xtext,0,0
qxe35v,xtext_encoding_dsl,0,0
random-eclipse,nix-eclipse-xtext,0,0
meta-doodle,Xtext_Gradle_Test,0,0
LiamWalsh98,nusmv-xtext-lsp,0,1
MaximilianKoestler,vscode-xtext-links,0,0
AhmedEssam2212,xText-Editor-,0,0
adrinerDP,DSL-with-Xtext,0,0
cdietrich,xtext-domainmodel-ls,0,0
tmtron,ex.xtext.ml,0,0
andrewsandu,xtext-web-example,0,0
pngowda,xtext-build-tools,1,1
SharkJ,xtext-dsl-sample,0,0
hammedb197,team-hacktive-xtext,0,0
SimonCockx,xtext-monaco-example,0,0
mister-walter,xtext-folding-issue,0,0
alexvolh,xtext-xml-grammar,0,0
SharkJ,my-theia-xtext,1,0
urbanoanderson,xtext-gait-model,0,1
vjordan,Xtext_directory-file,0,0
JosBouwhuis,xText-DSL,0,0
CS130-W20,assignment-2-xtext,1,0
lunifera,xtext-jvmtypeprovider-standalone,0,0
bobbyfisher1,eclipse-workspace,0,0
dsl-course,xtext-entities-tutorial,0,0
Highbrainer,xtext-pde-target,0,0
mattsse,xtext-fipa-acl,0,0
XIECHO,qingo_xtext_documentation,1,0
FariSoftware,xtext-problem-matcher,0,0
ShrawanBK,xtext.sales.transactions,0,0
Lzgpom,xtext-gen-extension,0,0
drkstr101,Domainmodel,0,0
vinicius0197,expressions-dsl,0,0
LorenzoBettini,xtext-xdoc-releases,0,0
KarstenWilken,xTextForum,0,0
S-wald,xtext-plugin-gradle,0,0
lahirugayanga,xtext-example-dsl,0,0
cdietrich,xtext-fragment-experiments,0,0
cdietrich,xtext_bug_1974,0,0
bergmanngabor,xtext-railmap-demo,0,0
mchlrch,xtext-intro-bfh,0,0
EvdokimovMaks,xtext-example-entities,0,0
cipek,MyFirstXText,0,0
pngowda,xtext-ci-libs,0,0
paulvberlin,BaSiriusXtext,0,1
szarnyasg,sql-pgq-xtext,0,0
frademacher,xtext-jpms-test,0,0
xtext,xtext-monorepo-lfs,0,0
LorenzoBettini,xtext-build-utils,1,0
cdietrich,xtext-two-dsls,0,0
balazsgrill,xtext_bug508518,0,0
Tim-S,xtext-valueconverter-example,0,0
ayakurtam,xText-Editor,0,0
HouseBuilder-MDE,HouseBuilder-Xtext,0,0
xtext,xtext-orbit-replacement,0,0
fedorov-vk,xtext-xcore-sample,0,0
gustavotemple,mo631xtext,0,0
Tim-S,xtext-mapbasedscope-example,0,0
shakenetwork,xTextHandler,0,0
GabrielBozza,ProjetoXtextPFC,0,0
HexXText,HexXTextSMP,0,1
snarkipus,xtext-dsl-book,0,0
fedorov-vk,xtextxtend-book-examples,0,0
ArneDeutsch,xtext-gradle-example,0,0
oliver-reinhard,xtext-ppt-demo,1,0
tpluscode,xtext-completion-nullpointer,0,0
idiomaticsoft,sbt-xtext-plugin,0,0
pen-zhang,online_elm_xtext,0,0
raglu,ExternalDSL-xtext,0,0
kulcsii,xtext-railmap-theia,0,0
NiccoMlt,xtext-showdown-grammar,0,0
NinjaArmy,xtext-language-server,0,0
jnt0r,xtext-npe-reproducable,0,0
HermanPeeren,eJSL-ANTLR4,0,2
cs130-w21,statemachine,0,1
csbc92,MDSE-assignment3,0,0
ghillairet,org.example.mydsl.parent,0,0
antoine-morvan,caph-java-parser,0,0
abatti,XTEXT_FACPL3_PreserveVarious,0,0
tfLabs,xtext-languageserver-example-duplicator,0,0
LorenzoBettini,xtext-maven-plugin-example,0,1
cdietrich,xtext-eclipse-issue-1009,0,0
patrickneubauer,UoY-MODE-XTEXT,0,0
cau-se,sprat-ecosystem-dsl-xtext,0,0
cdietrich,theia-xtext-vscode-example,0,0
cdietrich,j9-tycho-xtext,0,0
loradd,xtext-lsp-ecore-support,0,0
nnn911,LaTeXTextOverlay,0,0
IbanezGio,VuC,0,0
Samirez,DSLs,0,0
ShahimEssaid,com.essaid.model.xtext,0,0
gon10,EclipseRepoTese,0,0
max-leuthaeuser,jmhmathexample,0,0
tshoang,WhitespaceIDE,0,0
