owner,repo,average_difference
laurocesar,xtext-domainmodel,0.0
Yahaya12,Xtext-project,0
malhxr,SpeechXtext,0
stanimirovv,xtext-extractor,0
3m3k3,xtext-congen,0.0
pen-zhang,xtext_elm_editor,0
NSaitoNmiri,toppers_cfg_xtext,-6.0
tmtron,ex.xtext.twog,-5.5
vinicius0197,metacrysl,-1.0
Dexels,navascript-editor,-215.0
adrianrutle,PCS953-EMF-Exercise,0
ravornyo,xspice,0.0
yamen-njm,IotXtext,0.0
kainzpat14,xtext-plsql,-83.0
epsilonlabs,emc-xtext,0
robertovillarejo,kukulkan-grammar,-220.0
lvanzeun,ulm-xtext-test,-20.0
purerstamp,N7.compilateur,-138.0
jaedabee,xtext-gradle-test,0
MassiBelaid,M-langeuse-Xtext,-6.0
qxe35v,xtext_encoding_dsl,-15.0
random-eclipse,nix-eclipse-xtext,0.0
meta-doodle,Xtext_Gradle_Test,-5.0
LiamWalsh98,nusmv-xtext-lsp,0.0
MaximilianKoestler,vscode-xtext-links,0
AhmedEssam2212,xText-Editor-,0
adrinerDP,DSL-with-Xtext,0.0
cdietrich,xtext-domainmodel-ls,0.0
tmtron,ex.xtext.ml,-5.333333333333333
andrewsandu,xtext-web-example,0.0
pngowda,xtext-build-tools,0
SharkJ,xtext-dsl-sample,0.0
hammedb197,team-hacktive-xtext,0
SimonCockx,xtext-monaco-example,0.0
mister-walter,xtext-folding-issue,0.0
alexvolh,xtext-xml-grammar,0.0
SharkJ,my-theia-xtext,0.0
urbanoanderson,xtext-gait-model,0.0
vjordan,Xtext_directory-file,0.0
JosBouwhuis,xText-DSL,0
CS130-W20,assignment-2-xtext,0
lunifera,xtext-jvmtypeprovider-standalone,0
bobbyfisher1,eclipse-workspace,0.0
dsl-course,xtext-entities-tutorial,0.0
Highbrainer,xtext-pde-target,0
mattsse,xtext-fipa-acl,0.0
XIECHO,qingo_xtext_documentation,0
FariSoftware,xtext-problem-matcher,0
ShrawanBK,xtext.sales.transactions,0
Lzgpom,xtext-gen-extension,0.0
drkstr101,Domainmodel,0.0
vinicius0197,expressions-dsl,-25.0
LorenzoBettini,xtext-xdoc-releases,0
KarstenWilken,xTextForum,0.0
S-wald,xtext-plugin-gradle,-0.5
lahirugayanga,xtext-example-dsl,0.0
cdietrich,xtext-fragment-experiments,0.0
cdietrich,xtext_bug_1974,0.0
bergmanngabor,xtext-railmap-demo,0.0
mchlrch,xtext-intro-bfh,0.0
EvdokimovMaks,xtext-example-entities,-2.0
cipek,MyFirstXText,-9.0
pngowda,xtext-ci-libs,0
paulvberlin,BaSiriusXtext,0.0
szarnyasg,sql-pgq-xtext,-45.5
frademacher,xtext-jpms-test,0
xtext,xtext-monorepo-lfs,0
LorenzoBettini,xtext-build-utils,-7.0
cdietrich,xtext-two-dsls,0.0
balazsgrill,xtext_bug508518,0.0
Tim-S,xtext-valueconverter-example,0.0
ayakurtam,xText-Editor,0
HouseBuilder-MDE,HouseBuilder-Xtext,-9.0
xtext,xtext-orbit-replacement,0
fedorov-vk,xtext-xcore-sample,0.0
gustavotemple,mo631xtext,-4.0
Tim-S,xtext-mapbasedscope-example,0.0
shakenetwork,xTextHandler,0
GabrielBozza,ProjetoXtextPFC,-94.0
HexXText,HexXTextSMP,0
snarkipus,xtext-dsl-book,-6.0
fedorov-vk,xtextxtend-book-examples,-1.75
ArneDeutsch,xtext-gradle-example,0.0
oliver-reinhard,xtext-ppt-demo,0.0
tpluscode,xtext-completion-nullpointer,-2.0
idiomaticsoft,sbt-xtext-plugin,0
pen-zhang,online_elm_xtext,-63.0
raglu,ExternalDSL-xtext,-255.0
kulcsii,xtext-railmap-theia,0.0
NiccoMlt,xtext-showdown-grammar,-6.0
NinjaArmy,xtext-language-server,0
jnt0r,xtext-npe-reproducable,0.0
HermanPeeren,eJSL-ANTLR4,0
cs130-w21,statemachine,0.0
csbc92,MDSE-assignment3,-3.0
ghillairet,org.example.mydsl.parent,0.0
antoine-morvan,caph-java-parser,-57.0
abatti,XTEXT_FACPL3_PreserveVarious,0
tfLabs,xtext-languageserver-example-duplicator,0.0
LorenzoBettini,xtext-maven-plugin-example,-2.0
cdietrich,xtext-eclipse-issue-1009,0
patrickneubauer,UoY-MODE-XTEXT,27.666666666666668
cau-se,sprat-ecosystem-dsl-xtext,0.0
cdietrich,theia-xtext-vscode-example,0
cdietrich,j9-tycho-xtext,0.0
loradd,xtext-lsp-ecore-support,0.0
nnn911,LaTeXTextOverlay,0
IbanezGio,VuC,0
Samirez,DSLs,0.0
ShahimEssaid,com.essaid.model.xtext,0
gon10,EclipseRepoTese,0.0
max-leuthaeuser,jmhmathexample,0.0
tshoang,WhitespaceIDE,0.0
seebgar,MISO4202-proyecto-xtext,-84.0
NiccoMlt,xtext-15-minutes-tutorial,-11.0
SharkJ,theia-xtext-extension-test,0.0
jku-win-se,JsonBasedXtextGrammar,0
altran-mde,xtext-sirius-integration.io,0
cdietrich,xtext-core-issue-1835,0
Zaki-Fadlan,xtext_getting_started_skilledup,0.0
raptor494,Xtext-Minecraft-JSON-Languages,0.0
rudi,xtext-emacs-lsp-demo,0.0
fedorov-vk,apds_prototype,-12.0
test-editor,test-editor-xtext-gradle,-12.0
Ixgauth,perspectiveDSL-Sirus-Xtext,0
keve98,SzakD_xtext_xtend,0.0
silvergl,xtext-headless-rcp-example,0.0
reinaqu,bpmnFromXtextDSL,0.0
xtext,xtext-p2-orbit,0
dsl-course,xtext-tutorial-turku-interim,-2.0
tfLabs,xtext-lsp-validation-anyway,0.0
BalzGuenat,xtext-bug-minimal-example,0.0
dmfullstack,org.xtext.example.mydsl,0.0
SuelanyBrito,JFlex_CUP_XText_SQL,0.0
cdietrich,xtext-languageserver-example-simple,0.0
msntts,Xtext-Standalone-fat-jar,0.0
oldulov,cfeditor,0.0
LorenzoBettini,xtext-type-errors-examples,-12.0
claudenirmf,OntoUML-2.0-Xtext,-34.0
Mehmetcanss,example_xtext_language_server_vscode,0.0
lidochca,xtext.skip.build.before.rename,0
cdietrich,xtext-maven-plugin-coverage-example,0.0
Kevin-Philip,TP_etudiant_Compilax,-39.0
elite-se,elite-se.xtext.languages.plantuml,-233.0
tshoang,BareBonesIDE,0.0
tareklel,PDFtoText,0
TVTower,TVTBlitzmaxEditor,-37.0
cdietrich,xtext-multi-dsl-manual-metamodel,0.0
hallvard,xost,0
davidmpaz,log-book,-1.0
oliver-reinhard,xtext-scoping-default-imports-demo,0.0
tshoang,Simple-Barebone-XText-based-IDE,0.0
MISO4202,uniandes.mdd.example.create-xtext,0
NaoMod,XText-Language-Server-in-VSCode,0.0
MISO4202,xtext-egl-sql2java,0.0
cdietrich,simple-xtext-parallel-load-example,0.0
bobbyfisher1,expressions,-21.0
lowcomote,DBML-to-ER,0.0
tfLabs,xtext-n4js-lsp,0.0
yishakabreham,mde.sales.transactions.xtext.4,0.0
Rajesh2015,DSL-using-Xtext-and-Xtend,0.0
cdietrich,xtext-lsp-tests-with-tycho,0.0
CarlosAsrc,Reconhecedor-scheme,-18.0
oliver-reinhard,xtext-scoping-default-namespaces-demo,0.0
TVTower,TVTDatabaseEditor,-224.0
casino-mdd,DSL,-94.0
cokeSchlumpf,bashdsl,-6.0
sumeetchhetri,faugjs-eclipse-plugin,0.0
sderrien,Uclid-editor,-136.5
GlancingMind,xtext-lsp-missing-deleteFile-impl,0.0
zmy3036190149,theia-xtext-pf-v1-backup,0.0
MDSDLab,mdsd-2023-lab2-xtext-xtend,0.0
abieren,MDSD-Xtext-Project-for-JavaFX,-35.0
SimonCockx,xtext-assertAllWhitespaceIsFormatted,0.0
tombk556,SF_Factories_Beleg2324_Xtext_DSL,0.0
DonatasC,CodeGeneration,0
trichterwolke,init,-15.0
zs6jce,x400-xrpgle,0
cyrilnavessamuel,TripManagment,0.0
paullewallencom,xtext-xtend-978-1-7864-6496-5,0.0
coalae,telemed,0.0
vorburger,xtend-StackOverflowError-issue461,0
JoaoMAlmeida,projetoCompiladores18-2,-1.0
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,0.0
vks2106,domain.model,0.0
metafacture,metafacture-flux,-35.0
mrtnstn,example-script-language,0.0
Michel-Nassalang,eclipse_workspace,0.0
varadbal,FunPL,-108.0
oliverablagojevic,QuestionnaireDSL,0.0
EightPillars,NmtranEditor,-36.0
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,0.0
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,0.0
hvbargen,meth,-148.0
mischnic,bachelors-thesis,0
cs130-w22,statemachine,0.0
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,0.0
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,-3.0
mdsd-team-1,domain-specific-language,0.0
PalladioSimulator,Palladio-Editors-VSCode,0
nils-christian,xtend-active-annotation-issue,0
modicio,feature-dsl-tools,-22.0
HBuender,Aim42Visualizer,-28.0
scanyboss,ide-yourdsl,0
spirvdev,dumpsymb,0
thlaegler,edilang,-600.0
agonzalezgaliana,mydsl-language-server,0
codezork,DSL-Blog,0.0
LorenzoBettini,issue-2000-example,0.0
trifonnt,net.adempiere.dsl.properties.spring.parent,-2.0
scanyboss,hello-world-language,0
joerg-holtmann,Pretty-Printer_Language-Analysis,0.0
coffeeframework,HLVL,-106.0
HermanPeeren,eJSL-MPS,0
kukulkan-project,kukulkan-language-server,-188.0
mdsd-team-1,dsl-layered-style,0
larissafiorini,t2-lingProg,-13.0
ragben,NetzDsl,0
Cosimo5lli,assertx-swing,-19.0
gyaltso,Eclipse-Training-Schedules,0
wzurborg,xtend-example,0.0
kyberszittya,simple-ros-code-generator,-33.5
LinguaPhylo,linguaPhyloDSL,-0.5
dsanmartins,Entidades,0.0
opcoach,datasample,-323.0
bujosa,smart-dsl,-23.0
robinguill,DSL_UML_INSA,-152.0
DedalArmy,SpringDSLJava,0
LiamWalsh98,tumlrt-language-server,-7.0
jonev,HTTP-REST-test-DSL,0.0
ElBilbao,DSL-Wizard-Creator,0.0
ooaa30,Wail,0.0
Wilson008,GrammarGenerator,0
ScytherTool,dsl,-2.0
NaoMod,MiniTL,0.0
ryangarvey,mde-spec,0.0
bfMarcelino,SchemeLP,0.0
henriklange,ifcBrickConvert,0
osarenogae,fault_trees_textual_editor,-6.0
claudenirmf,TPTP-Editor,-155.0
augustin-rialan,IDM,0.0
henriklange,ifcBrickConvertDsl,0.0
PikaQin,XModel-Code-Converter,0.0
helloyaqin,XModel-Code-Converter,0.0
Garlo13,CEPStaticAnalysis,0.0
Frederic-Boulanger-UPS,MiniARM-feature,0.0
Jaddison011,C4EventB,-51.0
MDEGroup,metatemplating,-36.0
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,0
grammeaway,math-interpreter-dsl,0.0
ahmedsaleh1998,concept_project,0
Chaimaa-Louahabi,Model-Driven-Engineering,0.0
fayssalElAnsari,Kotlin-Meta-Model,105.0
MisbahAwan,SeamlessRuntimeTransformations,0.0
ProjetoDSL,CanopusDesign,0
Ryuzaki101,Workbench,0.0
eclipse,xtext,-9.960869565217392
eclipse,xtext-core,-4.947019867549669
eclipse,xtext-xtend,-1040.0
eclipse,xtext-eclipse,-5.4576271186440675
eclipse,xtext-extras,-9.5
eclipse,xtext-web,-5.5
xtext,seven-languages-xtext,-7.0
eclipse,xtext-maven,0
eclipse,xtext-lib,0
xtext,maven-xtext-example,-1.0
seebk,LaTeXText,0
cdietrich,xtext-languageserver-example,0.0
eclipse,xtext-idea,0
adamschmideg,coffeescript-eclipse,-193.0
RvonMassow,xDoc,-39.0
xtext,xtext-gradle-plugin,0
LorenzoBettini,packtpub-xtext-book-2nd-examples,0.0
PrinceMei,xTextHandler,0
LorenzoBettini,packtpub-xtext-book-examples,-0.16666666666666666
theia-ide,theia-xtext,0.0
svenefftinge,xtext-lsp-workshop,0.0
ObeoNetwork,Xtext-Sirius-integration,-6.0
dslmeinte,Xtext2-DSLs,-14.9375
merks,Xcore,-28.0
ssi-schaefer,lcdsl,-145.0
eclipse,xtext-umbrella,0
danieldietrich,xtext-protected-regions,0
xtext,xtend-gradle-plugin,0
aphethean,xtext-maven-examples,-1.0
ckulla,xtext-tycho-example,-13.0
vorburger,xtext-sandbox,-2.0
basilfx,xtext-standalone-maven-build,0.0
JakeGinnivan,XText,0
OLibutzki,xtext.tools,0
Xpitfire,xtext-dnn,-158.0
LorenzoBettini,Xtext2-experiments,-8.6
eclipse,xsemantics,-1.4
xtext,xtext-reference-projects,-0.039735099337748346
mzaks,FlatBuffersSchemaEditor,-40.0
vorburger,eLang,-30.0
fuinorg,emt-xtext-archetype,0.0
eclipse-soc,amalgamation-examples-xtext,-69.0
kthoms,xtext-experimental,0
dsldevkit,dsl-devkit,-56.333333333333336
itemis,generator-xtext,0.0
att,yang-design-studio,0.0
martinbaker,xtextadd,-22.88888888888889
LorenzoBettini,edelta,-112.0
sebastianbenz,xgherkin,-129.0
vladdu,xtext.unittesting,-14.0
slizaa,slizaa-opencypher-xtext,-732.0
xpomul,cdo-xtext,0.0
mark-christiaens,Xtext-Models-Stats-View,0
TypeFox,xtext-jflex,0
vorburger,eclipse-typescript-xtext,-37.0
patrickneubauer,XMLText,0
xtext,org.xtext.antlr.generator,0
boalang,xtext-ide,-116.0
nittka,terminology,-17.0
veraPDF,veraPDF-model-syntax,-8.0
TypeFox,languageserver-example,0.0
Hellmy,plantuml-eclipse-xtext,-19.0
stephanrauh,JSFLibraryGenerator,-38.0
loonwerks,jkind-xtext,-77.0
TatyPerson,Xtext2Sonar,0
TypeFox,xtext-vscode,0.0
svenefftinge,Xtext-Workshop-Development-Workspace,-16.0
cdietrich,xtext-uml-example,0.0
cdietrich,xtext-maven-example,0.0
marklemay,tptpParser,-5.5
borgar,xtexts,0
uqbar-project,xtext-tortuga-lang,0.0
dslmeinte,Xtext1-DSLs,-19.0
applause,applause,-204.0
LorenzoBettini,ecefrance2015-xtext-example,-12.0
