owner,repo,average_difference
yanntm,Xtext-Light,0
quendimax,libXtextcursorchanger,0
Ikraminfo,GrammaireXtext,0
nickeeyyoo,xtext_project,-1.0
marinamygithub,xtext_project,0.0
lukashaertel,xtext-xgen,-10.5
fmca,xtext-typesystem,-13.0
almazhou,xtext-demo,0
Huluvu424242,xtext.example,-19.0
kiddochan,xtext-typesystem,-13.0
mmalohlava,ppXtext,0.0
ponta027,xtext_practice,0.0
bhdrkn,Xtext-Examples,34.5
fatalerrortan,Xtext-examples,0.0
gcr-nist,runtime-Xtext,0
fBrx,language-xtext,0
ilya-klyuchnikov,sll-xtext,0.0
vonbolt,Xtext_test,-4.0
rytina,xtext-typesystem,-13.0
philiber92,xtext-utils,0
thomasfischl,xtext-workshop,-0.5
jbadeau,ng-xtext,0
OliverScherf,MGPL-Xtext,-106.0
szarnyasg,gradle-xtext,0.0
malbac,Xtend_Xtext,0.0
gitpan,Convert-XText,0
rmemory,xtext_eclipse,0
lukashaertel,xtext-technocat,-1.0
lukashaertel,xtext-xtestgen,0.0
zhangyuanqiao,selenium-xtext,-53.0
cooked,modelica-xtext,0.0
pablitar,firewall-xtext,0.0
hamza-abed,JSEditorXtext,-12.0
Virtlink,paplj-xtext,0.0
kwanggy,xtext-sublime,0
thicket-lang,thicket-xtext,0.0
agentlab,xtext-web,0.0
test-editor,xtext-dropwizard,-2.0
kecskesk,xtext-menetrend,0.0
ftrifin,xtext-utils,0
scottopell,xtext_utils,0
lukashaertel,xtext-fsml,-2.3333333333333335
sahrmann,xtext-json,0.0
Modaptix,xtext-utils,0
itemis,xtext-issues,0
holzem,xtext-lexertrace,0.0
victorlacorte,Tcc,0
limelanguage,lime-xtext,0
edgarmueller,xtext-recordmapper,0.0
santoshdeshpande,wwf-xtext,0.0
MatzeGIT,XText-maven,-5.0
tkurita,XText.scptd,0
t-buss,mgpl_xtext,0.0
dvdkruk,xtext-workshop,0.0
npalix,org.xtext.example.mde,0.0
logicfish,XActiv,0.0
kittaakos,webcalc,-8.0
evandor,skysail-prototypr-dsl,-7.0
iensen,certware-l-editor,0.0
vladimirkozhaev,casualintellect_new_wizard,0.0
TinyScream,org.xtext.amodel,-18.0
M2TIIL2016-2017,SiteWeb_XText,0.0
schakko,hackcamp-xtext-automotivebus,0.0
sfinnie,xtext.scoping.adventures,0.0
jpaw,bonaparte-apidsl,-47.0
rainerschuster,yacc-ide,-187.0
schakko,xtext-bug-436688,0.0
dhuebner,xtext-builddsl-tycho,0.0
matejsp,lwc13-xtext,-38.5
ftrifin,xtext-utils.uml,0
mbarbero,xtext-forms-integration,0.0
FForw4rd,xtext-restriction-framework,-33.0
zrrk,xtext-utils.devenv,0
ftrifin,xtext-utils.xtend,0
svenefftinge,xtext-jaxcon-example,-10.0
LorenzoBettini,xtext-demo-laquila,-4.0
jakecobb,xtext-iris-datalog,-6.0
Huluvu424242,rezept-dsl.xtext,-7.0
philiber92,xtext-utils.unittesting,0
philiber92,xtext-utils.distribution,0
phaldan,htwg-cform-xtext,-28.0
itemis,xtext-example-conplan,0.0
LorenzoBettini,Xtext-Buckminster-Example,-1.0
LorenzoBettini,xtextcon-typesystem-example,0.0
dhuebner,org.xtext.example.tycho,0.0
agentlab,eclipse-orbit_xtext-web,0.0
Tutti91,xtext_language_bla,0.0
LeonoraG,xtext-req-editor,0.0
xarvey,atom-xtext-autocomplete,0
franzbecker,xtext-formatter-problem,0.0
ftrifin,xtext-utils.distribution,0
Fritzi,XText_TeSSLa,-52.0
madasar,booster2-xtext,-36.0
TypeFox,xtext-splitted-repo,-1.0218978102189782
zrrk,xtext-utils.uml,0.0
zrrk,xtext-utils.xtend,0
ftrifin,xtext-forms-integration,0.0
JanKoehnlein,fxdiagram-xtext-examples,0.0
ubx,openair,5.0
rju,xtext-typing-example,-26.0
philiber92,xtext-utils.xtend,0
Advanced-Model-Engineering-SS16,xtext-ocl-extensions,0.0
zrrk,xtext-utils.distribution,0
Johanvdberg,mcrl2.xtext,-2.6666666666666665
kryptonite22,rsbac.xtext.dsl,0
tkleszczynski,jug-zgora-xtext,0.0
philiber92,xtext-utils.devenv,0
jeffmaury,devoxx2012-xtext,0.0
YonedaMasashi,xText_Practice,0.0
jackqq,xTextEdit,0
ftrifin,xtext-utils.unittesting,0
lgcardeas,xtext-forms-integration,0.0
vrichard12,xtext-forms-integration,0.0
itemis,xtext-monaco-example,0
pabu90,xtext-ci-test,0.0
EricssonPlant,plantuml-xtext-light,-41.0
zrrk,xtext-utils.unittesting,-5.0
LorenzoBettini,xtext-index-experiments,-2.0
ftrifin,xtext-utils.devenv,0
inteldict,xtext-gradle-demo,-0.5
cdietrich,xtext-multi-dsl,-2.0
hachreak,dmss.pouex.xtext,-2.0
lunifera,lunifera-xtext-runtimebuilder,0.0
sikessle,xtext-forms-integration,0.0
priya0311,xtext-forms-integration,0.0
philiber92,xtext-utils.uml,0
talalong,dbFactoryXtext,-112.0
stackoverflowmailer,lwc13-xtext,-38.5
willy2706,if4150-xtext,-80.0
wwu-pi,acse-xtext-validation,0.0
ProgrammableDrones,xTextLanguage,-79.0
stefano-bragaglia,Kinect-ECE-XText,-670.0
wwu-pi,acse-xtext-gui,0.0
peterssas,xtext-gradle-problem,0.0
zhoumin03,xtext-forms-integration,0.0
gcubar,CodeXcessXtext,-40.0
cdietrich,xtext-ecore-xcore,0.0
ayoubziat,xtext_DSL_example,-9.0
xiaoyvr,xtext-demo-oxygen,-6.0
test-editor,deprecated-xtext-index-backend,0.0
kuniss,Aqua,0.0
npalix,org.eclipse.xtext.example.fowlerdsl,0.0
dslmeinte,xtext-workshop-code1,-82.0
chauhansaurabhb,Eclipse-Xtext-Mydsl-Plugin,-18.0
oyse,jetson,-1.0
zwgirl,summer,0.0
rymarenkosuccess,Coffeescript-Eclipse,0.0
felipedf,compiler,-411.5
logicfish,XPlane,0
LorenzoBettini,Xtext-Xtend-Buckminster-Example,-1.0
vorburger,eclipse-typescript-xtext-repository,0
pankeshpatel,EclipsePluginForXtext,0.0
Hellmy,plantuml-eclipse-xtext_update,0
xpomul,xtext-multi-edit-example,0.0
tmtron,xtext.eclipse.15minExtended,0.0
deb-sandeep,com.sandy.xtext.jovenotes.ui,0
ftrifin,xtext-utils.xtend1,0
szarnekow,xtext-arithmetics-web-example,0.0
wwu-pi,acse-xtext-knuth-binaries,0.0
jwachter,xtext-serializer-issue-example,-13.0
DemidovAlexander,Xtext_MiniJava_IDE,-8.0
camilagarcia113,xtext-dsl-obj3,0.0
cdietrich,gradle-xtext-xtend-problem,0
uqbar-paco,firewall-dsls-externos-xtext,0.0
svenefftinge,Xtext-LWC-contribution--Instances-,0.0
rainerschuster,eclipse-webidl,-338.0
willy2706,if4150-xtext-html,0
phaldan,htwg-cform-xtext-demo,0
hypery2k,Xtext-GrammarMixin-Example,-0.5
philiber92,xtext-utils.subproject-template,0
zrrk,xtext-utils.subproject-template,0
thowin,ituXtextLandinConfigurator,0.0
philiber92,xtext-utils.xtend1,0
claudenirmf,old-tests-on-xtext,-214.0
zouhairireda,xtext-ocl-xtend-poc,0.0
franzbecker,xtext-serializer-parallel-problem,0.0
lunifera,lunifera-xtext-runtimebuilder-example,0.0
ftrifin,xtext-utils.subproject-template,0
fluxtah,xtext-android-gradle-example,0
hypery2k,Xtext-Maven-BuildExample,0.0
kittaakos,xtext-eclipse-gh-238,0.0
MatzeGIT,XText-Maven-CleanStart,0.0
Rodolfocostapr,org.xtext.example.pascalito,-147.0
deb-sandeep,JoveNotesProcessor,0
zrrk,xtext-utils.xtend1,0
tanthingdeveloper3unshine,AutoCompleteXTextView,0
loradd,uml-xtext-grammar-generator,0
RobertWalter83,DialogScriptDSL,71.66666666666667
vicegd,org.xtext.dsl.restaurante,-119.0
paulluap,xtext-extras-issue216,-1.0
dhakehurst,net.akehurst.example.xtext.vertx,-3.0
alvilgau,de.htwg.xtext.setGame,-43.0
nittka,Xarchive,-13.0
rdurelli,com.br.refactoring.xtext.dsl,-10.0
tmtron,xtext.15minTutorial.project,0
agentlab,eclipse-orbit_xtext-web-dsls,0.0
threadedblue,org.eclipse.xtext.example.domainmodel,0.0
cdietrich,xtext-existing-metamodel-gradle-example,0.0
wrungel,tycho.xtext.mwe2.test,0.0
Scholvac,EclipseTaskJuggler,0.0
ftmdida,xtext_code_gen_version_2,0.0
alexwatts,xtext-j2ee-dsl,-3.0
cdietrich,xtext-gradle-plugin-issue-60,0.0
thowin,ituXtextLandin2Configurator,0.0
jkouwer,basicfamily,0
goldschmiede,2011-02-18_xtext_apache_wicket,0
nileshrege,El,-257.0
deparlak,de.htwg.mdsd.xtext.portals,-13.5
shashwatanand,org.shashwat.xtext.smallJava,-9.0
mmalohlava,gpp-for-xtext-master-thesis,0
dexz92,Integrating-Xtext-and-JavaRAG,79.66666666666667
Rodolfocostapr,org.xtext.example.pascalitoOld,-189.0
KasperGam,IGESImport,-25.0
fuinorg,xsample,0.0
florianpirchner,beantypes,0
cdietrich,xtext-gradle-plugin-issue-61,0.0
rdurelli,com.br.refactoring.xtext.dsl.ui,0
threadedblue,org.eclipse.xtext.example.domainmodel.tests,0
rdurelli,com.br.refactoring.xtext.dsl.tests,0
shashwatanand,org.shashwat.xtext.smallJava.ui,0
tmtron,xtext.eclipse.15minExtended.project,0
chqu1012,MetroUiDescriper,0
rainerschuster,sygus-ide,-235.0
jacruzca,xtext-multilanguage-multiple-target-impl-reuse,-0.2857142857142857
qscdfg,mybash,-5.0
eirikg,XbaseSiriusIntegration,0.0
nohum,android-code-generation,-126.0
gvd,zest-sm,0
uqbar-paco,declaratividad-orm-java,0.0
shashwatanand,org.shashwat.xtext.smallJava.tests,0
dhakehurst,net.akehurst.example.xtext.vertx.lsp,0
vztpv,ClauTextWithEclipse,-97.0
goldschmiede,2011-04-29_xtext_service_repository,0
markusvoelter,DSLEngBook-Xtext-P3Demo,0.0
ESIR2Compilation,PrettyPrinter,0
bmael,MVCLang,0
zhou-jg,tefler,0.0
bogdanvuk,xvhdl,-106.6
marcotinacci,XTuring,-6.0
threadedblue,org.eclipse.xtext.example.domainmodel.ui,0
joergreichert,OperationsResearch,0.0
tommyettinger,julepp,0
masters-info-nantes,SmokingText,-9.0
daniel-laszlo,temalabor,0.0
Communote,communote-restws,-1.0
vorburger,FormGeneratorPOC,0
nittka,pocesl,0.0
logicfish,POMText,0
cdietrich,https---github.com-meysholdt-xtext_stateful_lexer,0
bogdanvuk,xrst,0.0
meysholdt,performance_probes,0
agentlab,PowerLoomDSL,0.0
rainerschuster,jdl-ide,0.0
JoostvanPinxten,SDF3-editor,-1.0
ceefour,emf-sandbox,0
Mehdi23,FlexoModelingLanguage,-9.0
atanaka,experimental-rmodp-dsl,0.0
leolimasa,reqlang,0.0
smba,model-based-times,-240.0
DavidFosterLuhmann,high-dim,0
test-editor,deprecated-test-editor-index-backend,0
sidz8690,EasyUnit,0
lsotnk,lsotnk.xbase.launching,0
Tim-S,ReqLNG,-7.0
helunwencser,PAOC,0.0
nakul02,sysml.dml,-10.0
rainerschuster,tlsf-ide,0.0
rainerschuster,asdl-ide,0.0
N0P0x90,EclipseExamples,0.0
martinmuellenberg,cityplanning,0.0
newdigate,soa-dsl-scaffolding,0.0
evansnicholas,yaxpath,-87.0
nittka,ASP,0
josros,boby,0.0
danhaywood,kemble,0
schakko,bsc-thesis-documentation,0
szarnekow,mongoBeans,-4.0
timeraider4u,external_jar_download,0
Buggaboo,xplatform,-15.0
jonathankoehn,entitygenerator,0.0
marcusphi,polopoly-dsl,0.0
alexisfacques,dsl-feature-modelling,0.0
sbrocard,statemachine-generator,0.0
JPL-IMCE,gov.nasa.jpl.imce.oml.core,-417.0
PuneetPatwari,system-map-maker,0
atanaka,DomainmodelWithCrossReference,0.0
cedricvidal,protobuf4e,-5.0
rowlo,testdsl,0.0
joergreichert,Cool,-169.0
WesleyMarques,CompiladorJava,-200.0
tommyettinger,kobold,-1.0
stolorz,RankPL-EclipsePlugin,0.0
UnibgInfo3A,ebnfworkbench,-9.0
sergiowebo,RaspduinoDSL,-34.0
Remypoc,CmooSimpleJ,-53.0
majordomo,majordomo,-341.0
ryanignatius,CheckerDSL,-30.0
raynair,webml,0.0
arbennett,ParserGeneratorExample,0.0
OElabed,Model-Driven-Engineering--Eclipse-RCP-plugin--Software-product-line,29.5
renaudhelias,MameVHDL,0.0
cwiscount,mydsl-emf-gen,0.0
rmuecke,clinicaltrialcreator,0
mythicfreak,aomxsgrammar,-212.0
diverse-project,melange-studio,0
marcotinacci,Event-Oriented-Language,-116.0
ksza,Bicycle-Shop,-25.666666666666668
marcotinacci,SwarmRobotics,-24.5
Padmar1995,gh,0
