owner,repo,average_count_diff
samples-projects,sample-xtext,0.00
karthik137,xtext-demo,0.00
MDE-Course-23-24,SIRIUS-XTEXT,0.00
softlang,megal-xtext,-1.00
laurocesar,xtext-domainmodel,0.00
Yahaya12,Xtext-project,0.00
malhxr,SpeechXtext,0.00
stanimirovv,xtext-extractor,0.00
3m3k3,xtext-congen,0.00
pen-zhang,xtext_elm_editor,0.00
NSaitoNmiri,toppers_cfg_xtext,-3.00
tmtron,ex.xtext.twog,0.00
vinicius0197,metacrysl,-6.00
Dexels,navascript-editor,0.00
adrianrutle,PCS953-EMF-Exercise,0.00
ravornyo,xspice,0.00
yamen-njm,IotXtext,0.00
kainzpat14,xtext-plsql,-15.00
epsilonlabs,emc-xtext,0.00
robertovillarejo,kukulkan-grammar,-4.00
lvanzeun,ulm-xtext-test,0.00
purerstamp,N7.compilateur,1.00
jaedabee,xtext-gradle-test,0.00
MassiBelaid,M-langeuse-Xtext,1.00
qxe35v,xtext_encoding_dsl,0.00
random-eclipse,nix-eclipse-xtext,0.00
meta-doodle,Xtext_Gradle_Test,-15.00
LiamWalsh98,nusmv-xtext-lsp,0.00
MaximilianKoestler,vscode-xtext-links,0.00
AhmedEssam2212,xText-Editor-,0.00
adrinerDP,DSL-with-Xtext,0.00
cdietrich,xtext-domainmodel-ls,0.00
tmtron,ex.xtext.ml,0.33
andrewsandu,xtext-web-example,0.00
pngowda,xtext-build-tools,0.00
SharkJ,xtext-dsl-sample,0.00
hammedb197,team-hacktive-xtext,0.00
SimonCockx,xtext-monaco-example,0.00
mister-walter,xtext-folding-issue,0.00
alexvolh,xtext-xml-grammar,0.00
SharkJ,my-theia-xtext,0.00
urbanoanderson,xtext-gait-model,0.00
vjordan,Xtext_directory-file,0.00
JosBouwhuis,xText-DSL,0.00
CS130-W20,assignment-2-xtext,0.00
lunifera,xtext-jvmtypeprovider-standalone,0.00
bobbyfisher1,eclipse-workspace,0.00
dsl-course,xtext-entities-tutorial,0.00
Highbrainer,xtext-pde-target,0.00
mattsse,xtext-fipa-acl,0.00
XIECHO,qingo_xtext_documentation,0.00
FariSoftware,xtext-problem-matcher,0.00
ShrawanBK,xtext.sales.transactions,0.00
Lzgpom,xtext-gen-extension,0.00
drkstr101,Domainmodel,0.00
vinicius0197,expressions-dsl,-2.00
LorenzoBettini,xtext-xdoc-releases,0.00
KarstenWilken,xTextForum,0.00
S-wald,xtext-plugin-gradle,0.00
lahirugayanga,xtext-example-dsl,0.00
cdietrich,xtext-fragment-experiments,0.00
cdietrich,xtext_bug_1974,0.00
bergmanngabor,xtext-railmap-demo,0.00
mchlrch,xtext-intro-bfh,0.00
EvdokimovMaks,xtext-example-entities,0.00
cipek,MyFirstXText,-1.00
pngowda,xtext-ci-libs,0.00
paulvberlin,BaSiriusXtext,0.00
szarnyasg,sql-pgq-xtext,0.00
frademacher,xtext-jpms-test,0.00
xtext,xtext-monorepo-lfs,0.00
LorenzoBettini,xtext-build-utils,0.00
cdietrich,xtext-two-dsls,0.00
balazsgrill,xtext_bug508518,0.00
Tim-S,xtext-valueconverter-example,0.00
ayakurtam,xText-Editor,0.00
HouseBuilder-MDE,HouseBuilder-Xtext,-24.00
xtext,xtext-orbit-replacement,0.00
fedorov-vk,xtext-xcore-sample,0.00
gustavotemple,mo631xtext,0.00
Tim-S,xtext-mapbasedscope-example,0.00
shakenetwork,xTextHandler,0.00
GabrielBozza,ProjetoXtextPFC,-12.00
HexXText,HexXTextSMP,0.00
snarkipus,xtext-dsl-book,-5.00
fedorov-vk,xtextxtend-book-examples,-1.62
ArneDeutsch,xtext-gradle-example,0.00
oliver-reinhard,xtext-ppt-demo,0.00
tpluscode,xtext-completion-nullpointer,-9.50
idiomaticsoft,sbt-xtext-plugin,0.00
pen-zhang,online_elm_xtext,-21.00
