owner,repo,repo_first_commit,repo_last_commit,xtext_first_commit,xtext_last_commit,repo_commit_duration,xtext_commit_duration,proportion
dstoft,XtextWorkspace,3/10/2021 16:19,3/18/2021 12:47,3/10/2021 16:19,3/18/2021 12:47,7,7,100
MisbahAwan,XtextCollaborativeEnvironment,12/28/2023 21:21,12/29/2023 0:46,12/29/2023 0:05,12/29/2023 0:05,0,0,0
pakhopav,XtextLanguage,0,0,0,0,0,0,0
fonuhuolian,XTextView,0,0,0,0,0,0,0
RomainLefeuvre,xtextHW,11/24/2021 17:23,11/24/2021 17:23,11/24/2021 17:23,11/24/2021 17:23,0,0,0
BestCoderXQX,XTextFlagDemo,0,0,0,0,0,0,0
vinisbranco,XtextTrabalho2,9/4/2018 22:26,9/4/2018 22:30,9/4/2018 22:30,9/4/2018 22:30,0,0,0
loicperreal,Xtext,0,0,0,0,0,0,0
goflyboy,xtextsample,0,0,0,0,0,0,0
SharkJ,XtextInheritanceTest,12/19/2018 13:16,12/19/2018 14:08,12/19/2018 13:16,12/19/2018 13:16,0,0,0
hewenyuAndroid,XTextView-Android,0,0,0,0,0,0,0
OLibutzki,XtextExtras446,6/17/2019 7:42,6/17/2019 7:42,6/17/2019 7:42,6/17/2019 7:42,0,0,0
vinisbranco,XtextJavaScript,0,0,0,0,0,0,0
AndreasGroentved,XtextDSL2018,4/22/2018 18:14,5/15/2018 18:19,4/22/2018 18:14,5/15/2018 14:02,23,22,95.65
robertchristen,XTextCategorizer.Demo,0,0,0,0,0,0,0
alvarofpp,tutorial-xtext,11/6/2021 12:10,11/6/2021 16:24,11/6/2021 12:16,11/6/2021 16:22,0,0,0
pakhopav,XtextLanguageGradle,8/27/2019 18:49,10/14/2021 13:24,8/27/2019 19:05,8/10/2021 13:43,778,713,91.65
pakhopav,xtext,8/2/2019 17:45,8/8/2019 16:44,8/2/2019 19:46,8/8/2019 15:50,5,5,100
adamhorvath88,Xtext,2/13/2021 23:47,2/14/2021 12:49,2/14/2021 0:02,2/14/2021 12:49,0,0,0
0xMYsteRy,Xtext,4/20/2022 14:52,4/27/2022 11:03,4/20/2022 16:31,4/26/2022 15:13,6,5,83.33
taylorlohan,XtextHealth2.0,0,0,0,0,0,0,0
Caroline66666,xtext,0,0,0,0,0,0,0
xuxiaowen87,XText,0,0,0,0,0,0,0
MisbahAwan,xtext,12/1/2021 1:24,12/7/2021 22:29,12/1/2021 1:39,12/7/2021 22:29,6,6,100
ichxorya,failed-xtext2vscode-example,11/22/2022 15:52,11/26/2022 8:48,11/22/2022 17:05,11/22/2022 17:05,3,0,0
hwong23,dsl.evtool,6/10/2021 12:32,8/15/2022 22:19,7/26/2021 22:40,8/26/2021 7:33,431,30,6.96
RobMoloney,xtext,10/20/2021 17:53,3/18/2022 15:25,10/21/2021 15:01,10/25/2021 15:18,148,4,2.7
l1ppe,xtext,7/2/2019 9:37,7/2/2019 9:37,7/2/2019 9:37,7/2/2019 9:37,0,0,0
madhouni,wps-ecore-ocl-xtext,0,0,0,0,0,0,0
MISO4202,uniandes.mdd.xtext2xmi,0,0,0,0,0,0,0
tchebs,xtext,10/4/2018 16:39,10/4/2018 17:07,10/4/2018 16:44,10/4/2018 16:44,0,0,0
mlopez8621,xtext,9/17/2019 21:41,9/18/2019 21:37,9/17/2019 21:41,9/18/2019 21:37,0,0,0
magick93,xtext,2/13/2019 12:57,2/15/2019 14:48,2/13/2019 12:57,2/13/2019 12:57,2,0,0
ShivaniBali,Theia-Xtext-Yangster-Project-,5/8/2017 10:12,3/13/2018 10:46,12/4/2017 13:40,12/4/2017 13:40,309,0,0
ehah,XtendExample,0,0,0,0,0,0,0
MISO4202,co.edu.uniandes.gramaticajmeter,3/29/2019 18:25,3/29/2019 18:25,3/29/2019 18:25,3/29/2019 18:25,0,0,0
vks2106,prenum,0,0,0,0,0,0,0
drkstr101,hello-xtext,5/30/2020 14:34,6/8/2020 19:08,6/6/2020 16:43,6/8/2020 18:28,9,2,22.22
arthurmosley,Essex-Test,0,0,0,0,0,0,0
eclipse,xtext-website-publish,0,0,0,0,0,0,0
jflopezfernandez,xtextutils,0,0,0,0,0,0,0
AlanQuadros,xtextlpmangan,3/20/2018 22:15,3/22/2018 21:32,3/22/2018 18:45,3/22/2018 21:32,1,0,0
jonaslagoni,JSON-Schema-to-internal-DSL,4/2/2020 10:57,4/24/2020 22:37,4/2/2020 11:08,4/21/2020 13:36,22,19,86.36
OezzyB,e-portfolio-Xtext,5/19/2018 19:29,5/28/2018 19:20,5/22/2018 19:16,5/28/2018 19:15,8,5,62.5
fedorov-vk,apds_dsl,4/15/2023 22:45,12/8/2023 16:36,4/15/2023 23:26,12/8/2023 16:32,236,236,100
zinon,xtextminer,0,0,0,0,0,0,0
mustafa231,xtexteditor,0,0,0,0,0,0,0
MOSafely,xtextrepo,0,0,0,0,0,0,0
bproenca,mpti-dsl,11/14/2021 14:10,11/25/2021 10:46,11/14/2021 14:10,11/23/2021 17:24,10,9,90
LorenzoBettini,xtext-domain-model-guice-5,5/20/2021 18:23,5/24/2021 8:35,5/20/2021 18:23,5/20/2021 18:23,3,0,0
BlackBeltTechnology,karaf-features-eclipse-xtext,0,0,0,0,0,0,0
vashchenkov,xtext-samle,10/17/2018 18:40,10/17/2018 18:40,10/17/2018 18:40,10/17/2018 18:40,0,0,0
germono,FormXtext,6/2/2020 11:05,6/2/2020 14:25,6/2/2020 11:05,6/2/2020 11:05,0,0,0
Quingo,compiler_xtext,8/19/2020 21:09,2/14/2023 9:58,8/19/2020 21:09,6/7/2021 13:01,908,291,32.05
ShrawanBK,xtext_salestransaction,2/6/2022 23:34,2/6/2022 23:34,2/6/2022 23:34,2/6/2022 23:34,0,0,0
tshoang,XMarking,5/28/2018 22:13,6/10/2018 20:17,6/2/2018 12:45,6/10/2018 20:17,12,8,66.67
szschaler,henshin_xtext_adapter,0,0,0,0,0,0,0
hakimuga,BIP-language,3/25/2021 11:39,2/3/2023 10:31,3/25/2021 12:58,3/25/2021 12:58,679,0,0
adautofbn,pascal-xtext,10/18/2018 8:41,11/2/2018 12:17,10/18/2018 9:13,11/2/2018 12:17,15,15,100
efuentesp,Xtext-UCS,5/29/2018 14:37,6/1/2018 18:05,5/29/2018 14:37,5/31/2018 18:51,3,2,66.67
preesm,ripacola-xtext,4/29/2019 14:59,4/29/2019 17:10,4/29/2019 14:59,4/29/2019 17:10,0,0,0
