owner,repo,repo_first_commit,repo_last_commit,xtext_first_commit,xtext_last_commit,repo_commit_duration,xtext_commit_duration,proportion
HexXText,HexXTextSMP,0,0,0,0,0,0,0
snarkipus,xtext-dsl-book,7/30/2022 17:46,8/16/2022 21:28,7/30/2022 17:54,7/30/2022 18:45,17,0,0
fedorov-vk,xtextxtend-book-examples,4/24/2023 14:38,12/11/2023 11:37,4/24/2023 14:44,11/23/2023 14:52,230,213,92.61
ArneDeutsch,xtext-gradle-example,8/7/2018 12:20,8/7/2018 13:57,8/7/2018 12:22,8/7/2018 13:56,0,0,0
oliver-reinhard,xtext-ppt-demo,2/16/2019 20:04,5/23/2019 22:39,2/22/2019 1:19,2/22/2019 1:19,96,0,0
tpluscode,xtext-completion-nullpointer,7/19/2019 8:14,7/19/2019 8:24,7/19/2019 8:14,7/19/2019 8:24,0,0,0
idiomaticsoft,sbt-xtext-plugin,0,0,0,0,0,0,0
pen-zhang,online_elm_xtext,1/25/2021 18:47,3/8/2021 8:46,1/25/2021 18:47,3/8/2021 8:44,41,41,100
raglu,ExternalDSL-xtext,4/20/2021 11:43,8/16/2021 20:51,4/20/2021 11:45,8/16/2021 20:51,118,118,100
kulcsii,xtext-railmap-theia,11/27/2019 19:51,1/20/2020 20:54,12/3/2019 20:11,12/3/2019 20:11,54,0,0
NiccoMlt,xtext-showdown-grammar,4/28/2020 22:54,5/8/2020 22:51,4/28/2020 22:54,5/2/2020 18:53,9,3,33.33
NinjaArmy,xtext-language-server,0,0,0,0,0,0,0
jnt0r,xtext-npe-reproducable,6/11/2023 13:54,6/11/2023 14:05,6/11/2023 13:54,6/11/2023 13:54,0,0,0
HermanPeeren,eJSL-ANTLR4,0,0,0,0,0,0,0
cs130-w21,statemachine,2/5/2021 13:54,2/5/2021 14:43,2/5/2021 14:43,2/5/2021 14:43,0,0,0
csbc92,MDSE-assignment3,4/16/2020 16:46,4/28/2020 17:51,4/16/2020 16:47,4/26/2020 21:15,12,10,83.33
ghillairet,org.example.mydsl.parent,10/12/2018 12:34,10/12/2018 12:34,10/12/2018 12:34,10/12/2018 12:34,0,0,0
antoine-morvan,caph-java-parser,4/18/2019 16:25,4/19/2019 17:02,4/18/2019 16:25,4/19/2019 17:02,1,1,100
abatti,XTEXT_FACPL3_PreserveVarious,0,0,0,0,0,0,0
tfLabs,xtext-languageserver-example-duplicator,12/23/2020 13:35,12/23/2020 13:46,12/23/2020 13:44,12/23/2020 13:44,0,0,0
LorenzoBettini,xtext-maven-plugin-example,6/21/2021 11:34,7/7/2022 11:03,6/21/2021 11:34,6/21/2021 13:08,380,0,0
cdietrich,xtext-eclipse-issue-1009,0,0,0,0,0,0,0
patrickneubauer,UoY-MODE-XTEXT,10/8/2018 11:59,10/15/2019 17:04,10/8/2018 15:11,10/8/2018 15:11,372,0,0
cau-se,sprat-ecosystem-dsl-xtext,7/19/2019 8:44,7/19/2019 8:44,7/19/2019 8:44,7/19/2019 8:44,0,0,0
cdietrich,theia-xtext-vscode-example,0,0,0,0,0,0,0
cdietrich,j9-tycho-xtext,1/9/2018 16:20,1/9/2018 17:11,1/9/2018 16:20,1/9/2018 16:20,0,0,0
loradd,xtext-lsp-ecore-support,9/30/2019 9:53,5/17/2022 10:05,9/30/2019 13:53,9/30/2019 13:53,960,0,0
nnn911,LaTeXTextOverlay,0,0,0,0,0,0,0
IbanezGio,VuC,0,0,0,0,0,0,0
Samirez,DSLs,7/10/2023 9:49,11/14/2023 10:07,7/10/2023 9:49,7/10/2023 9:49,127,0,0
ShahimEssaid,com.essaid.model.xtext,0,0,0,0,0,0,0
gon10,EclipseRepoTese,8/15/2018 18:06,9/14/2018 23:28,8/15/2018 18:06,8/15/2018 18:06,30,0,0
max-leuthaeuser,jmhmathexample,10/10/2018 11:47,10/16/2018 10:00,10/10/2018 11:47,10/10/2018 11:47,5,0,0
tshoang,WhitespaceIDE,10/26/2023 19:55,10/26/2023 20:15,10/26/2023 20:15,10/26/2023 20:15,0,0,0
seebgar,MISO4202-proyecto-xtext,4/19/2020 14:37,4/19/2020 15:20,4/19/2020 14:37,4/19/2020 15:20,0,0,0
NiccoMlt,xtext-15-minutes-tutorial,4/21/2020 10:59,4/21/2020 22:46,4/21/2020 10:59,4/21/2020 15:30,0,0,0
SharkJ,theia-xtext-extension-test,11/19/2018 15:18,11/19/2018 15:23,11/19/2018 15:18,11/19/2018 15:18,0,0,0
jku-win-se,JsonBasedXtextGrammar,0,0,0,0,0,0,0
altran-mde,xtext-sirius-integration.io,0,0,0,0,0,0,0
cdietrich,xtext-core-issue-1835,0,0,0,0,0,0,0
Zaki-Fadlan,xtext_getting_started_skilledup,7/19/2023 3:25,7/19/2023 3:49,7/19/2023 3:25,7/19/2023 3:25,0,0,0
raptor494,Xtext-Minecraft-JSON-Languages,4/11/2020 17:06,4/11/2020 17:11,4/11/2020 17:06,4/11/2020 17:06,0,0,0
rudi,xtext-emacs-lsp-demo,5/1/2021 18:57,2/13/2023 11:23,2/12/2023 23:11,2/12/2023 23:11,652,0,0
fedorov-vk,apds_prototype,4/26/2023 22:25,4/27/2023 19:33,4/26/2023 23:17,4/27/2023 14:07,0,0,0
test-editor,test-editor-xtext-gradle,10/4/2018 13:15,8/15/2019 14:31,10/8/2018 13:16,4/17/2019 10:39,315,190,60.32
Ixgauth,perspectiveDSL-Sirus-Xtext,0,0,0,0,0,0,0
keve98,SzakD_xtext_xtend,5/3/2021 22:53,11/3/2021 20:22,5/3/2021 22:53,5/3/2021 22:53,183,0,0
silvergl,xtext-headless-rcp-example,5/6/2022 14:47,5/6/2022 14:56,5/6/2022 14:53,5/6/2022 14:53,0,0,0
reinaqu,bpmnFromXtextDSL,7/16/2022 19:49,8/16/2022 20:08,7/20/2022 18:18,7/20/2022 18:18,31,0,0
xtext,xtext-p2-orbit,0,0,0,0,0,0,0
dsl-course,xtext-tutorial-turku-interim,3/30/2020 12:03,4/1/2020 12:01,3/30/2020 12:03,4/1/2020 12:01,1,1,100
tfLabs,xtext-lsp-validation-anyway,10/20/2020 23:39,10/21/2020 0:56,10/21/2020 0:08,10/21/2020 0:08,0,0,0
BalzGuenat,xtext-bug-minimal-example,3/7/2018 16:09,3/7/2018 16:09,3/7/2018 16:09,3/7/2018 16:09,0,0,0
dmfullstack,org.xtext.example.mydsl,8/30/2017 22:56,8/30/2017 23:05,8/30/2017 22:58,8/30/2017 22:58,0,0,0
SuelanyBrito,JFlex_CUP_XText_SQL,11/18/2020 1:45,11/18/2020 12:02,11/18/2020 11:56,11/18/2020 11:56,0,0,0
cdietrich,xtext-languageserver-example-simple,10/18/2021 17:30,2/27/2024 17:19,10/18/2021 17:30,10/18/2021 17:30,862,0,0
msntts,Xtext-Standalone-fat-jar,1/16/2022 15:52,2/5/2022 23:45,1/16/2022 15:59,1/16/2022 15:59,20,0,0
oldulov,cfeditor,1/25/2018 15:53,1/25/2018 15:56,1/25/2018 15:53,1/25/2018 15:53,0,0,0
LorenzoBettini,xtext-type-errors-examples,5/21/2018 11:30,6/29/2018 15:04,5/21/2018 11:30,6/13/2018 11:44,39,23,58.97
claudenirmf,OntoUML-2.0-Xtext,4/4/2018 15:31,5/22/2019 11:10,4/5/2018 3:38,5/22/2019 11:10,412,412,100
Mehmetcanss,example_xtext_language_server_vscode,1/11/2019 17:18,1/11/2019 17:34,1/11/2019 17:18,1/11/2019 17:18,0,0,0
lidochca,xtext.skip.build.before.rename,0,0,0,0,0,0,0
cdietrich,xtext-maven-plugin-coverage-example,6/25/2021 9:12,6/25/2021 12:44,6/25/2021 9:12,6/25/2021 9:12,0,0,0
Kevin-Philip,TP_etudiant_Compilax,11/6/2018 14:04,1/14/2019 20:38,11/13/2018 8:16,1/7/2019 14:30,69,55,79.71
elite-se,elite-se.xtext.languages.plantuml,7/9/2020 14:16,7/13/2020 15:33,7/9/2020 14:16,7/13/2020 15:33,4,4,100
tshoang,BareBonesIDE,10/26/2023 22:24,10/26/2023 22:46,10/26/2023 22:46,10/26/2023 22:46,0,0,0
tareklel,PDFtoText,0,0,0,0,0,0,0
TVTower,TVTBlitzmaxEditor,12/16/2020 15:24,9/8/2021 8:33,12/16/2020 15:26,9/8/2021 8:33,265,265,100
cdietrich,xtext-multi-dsl-manual-metamodel,6/14/2021 15:01,6/14/2021 15:43,6/14/2021 15:01,6/14/2021 15:01,0,0,0
hallvard,xost,0,0,0,0,0,0,0
davidmpaz,log-book,2/20/2023 0:06,3/5/2023 21:04,2/20/2023 0:06,2/27/2023 2:10,13,7,53.85
oliver-reinhard,xtext-scoping-default-imports-demo,5/23/2019 22:57,5/23/2019 22:57,5/23/2019 22:57,5/23/2019 22:57,0,0,0
tshoang,Simple-Barebone-XText-based-IDE,10/23/2020 17:53,10/23/2020 18:00,10/23/2020 18:00,10/23/2020 18:00,0,0,0
MISO4202,uniandes.mdd.example.create-xtext,0,0,0,0,0,0,0
NaoMod,XText-Language-Server-in-VSCode,2/21/2022 16:17,3/10/2022 10:10,2/21/2022 16:17,2/21/2022 16:17,16,0,0
MISO4202,xtext-egl-sql2java,2/14/2019 23:55,2/14/2019 23:56,2/14/2019 23:55,2/14/2019 23:55,0,0,0
cdietrich,simple-xtext-parallel-load-example,6/7/2021 10:16,6/7/2021 10:16,6/7/2021 10:16,6/7/2021 10:16,0,0,0
bobbyfisher1,expressions,5/9/2018 14:31,5/18/2018 20:56,5/9/2018 14:31,5/18/2018 20:56,9,9,100
lowcomote,DBML-to-ER,11/17/2022 17:28,12/12/2022 12:12,11/17/2022 17:37,11/17/2022 17:37,24,0,0
tfLabs,xtext-n4js-lsp,9/27/2020 19:05,10/8/2020 23:34,9/28/2020 23:23,9/28/2020 23:23,11,0,0
yishakabreham,mde.sales.transactions.xtext.4,2/7/2022 0:12,2/7/2022 0:24,2/7/2022 0:12,2/7/2022 0:12,0,0,0
Rajesh2015,DSL-using-Xtext-and-Xtend,3/30/2018 20:47,3/30/2018 23:31,3/30/2018 23:25,3/30/2018 23:25,0,0,0
cdietrich,xtext-lsp-tests-with-tycho,11/25/2021 13:15,11/26/2021 13:40,11/25/2021 13:15,11/25/2021 13:15,1,0,0
CarlosAsrc,Reconhecedor-scheme,3/28/2019 21:28,4/16/2019 22:14,3/28/2019 22:36,4/3/2019 23:16,19,6,31.58
oliver-reinhard,xtext-scoping-default-namespaces-demo,2/16/2019 20:48,2/16/2019 20:48,2/16/2019 20:48,2/16/2019 20:48,0,0,0
TVTower,TVTDatabaseEditor,4/7/2021 11:04,12/8/2023 7:02,4/20/2021 20:13,12/8/2023 7:02,974,961,98.67
casino-mdd,DSL,6/18/2019 18:21,7/11/2019 19:19,6/18/2019 19:01,7/11/2019 19:19,23,23,100
cokeSchlumpf,bashdsl,11/15/2015 15:18,10/15/2018 14:21,11/15/2015 15:18,10/15/2018 14:17,1064,1064,100
sumeetchhetri,faugjs-eclipse-plugin,5/14/2019 22:45,5/30/2019 22:54,5/14/2019 22:49,5/14/2019 22:49,16,0,0
sderrien,Uclid-editor,1/16/2021 12:01,2/12/2021 9:18,1/16/2021 12:14,1/19/2021 9:47,26,2,7.69
GlancingMind,xtext-lsp-missing-deleteFile-impl,5/6/2023 9:54,5/6/2023 9:54,5/6/2023 9:54,5/6/2023 9:54,0,0,0
zmy3036190149,theia-xtext-pf-v1-backup,10/23/2019 21:28,10/23/2019 21:28,10/23/2019 21:28,10/23/2019 21:28,0,0,0
MDSDLab,mdsd-2023-lab2-xtext-xtend,9/22/2023 13:23,9/22/2023 13:50,9/22/2023 13:50,9/22/2023 13:50,0,0,0
abieren,MDSD-Xtext-Project-for-JavaFX,1/18/2020 23:29,1/20/2020 3:14,1/18/2020 23:29,1/20/2020 3:14,1,1,100
SimonCockx,xtext-assertAllWhitespaceIsFormatted,1/18/2023 14:03,1/18/2023 14:03,1/18/2023 14:03,1/18/2023 14:03,0,0,0
tombk556,SF_Factories_Beleg2324_Xtext_DSL,1/10/2024 10:59,1/10/2024 10:59,1/10/2024 10:59,1/10/2024 10:59,0,0,0
DonatasC,CodeGeneration,0,0,0,0,0,0,0
trichterwolke,init,11/20/2018 21:01,3/6/2019 7:26,11/20/2018 21:01,2/26/2019 20:09,105,97,92.38
zs6jce,x400-xrpgle,0,0,0,0,0,0,0
cyrilnavessamuel,TripManagment,9/12/2018 21:22,9/12/2018 21:22,9/12/2018 21:22,9/12/2018 21:22,0,0,0
paullewallencom,xtext-xtend-978-1-7864-6496-5,12/6/2020 15:35,12/26/2020 15:18,12/26/2020 15:18,12/26/2020 15:18,19,0,0
coalae,telemed,6/29/2018 18:45,3/28/2019 22:35,6/29/2018 18:45,6/29/2018 18:45,272,0,0
vorburger,xtend-StackOverflowError-issue461,0,0,0,0,0,0,0
JoaoMAlmeida,projetoCompiladores18-2,10/18/2018 16:21,10/20/2018 22:03,10/18/2018 16:21,10/19/2018 19:15,2,1,50
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,4/13/2021 9:01,4/13/2021 9:05,4/13/2021 9:05,4/13/2021 9:05,0,0,0
vks2106,domain.model,1/17/2022 21:24,1/17/2022 21:24,1/17/2022 21:24,1/17/2022 21:24,0,0,0
metafacture,metafacture-flux,11/13/2020 13:35,12/1/2023 10:20,11/16/2020 11:19,11/19/2020 13:25,1112,3,0.27
mrtnstn,example-script-language,4/20/2018 1:35,4/20/2018 1:54,4/20/2018 1:54,4/20/2018 1:54,0,0,0
Michel-Nassalang,eclipse_workspace,9/8/2023 21:29,9/8/2023 21:29,9/8/2023 21:29,9/8/2023 21:29,0,0,0
varadbal,FunPL,8/27/2018 23:45,9/26/2018 14:47,8/27/2018 23:45,9/26/2018 9:00,29,29,100
oliverablagojevic,QuestionnaireDSL,7/16/2020 22:29,7/16/2020 23:11,7/16/2020 22:43,7/16/2020 22:43,0,0,0
EightPillars,NmtranEditor,2/19/2018 9:05,6/19/2018 9:16,2/19/2018 9:05,6/19/2018 9:16,119,119,100
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,6/27/2018 20:28,6/27/2018 20:28,6/27/2018 20:28,6/27/2018 20:28,0,0,0
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,4/13/2021 21:53,4/14/2021 23:57,4/14/2021 23:57,4/14/2021 23:57,1,0,0
hvbargen,meth,4/18/2022 21:51,4/18/2022 22:02,4/18/2022 22:02,4/18/2022 22:02,0,0,0
mischnic,bachelors-thesis,0,0,0,0,0,0,0
cs130-w22,statemachine,1/3/2022 10:56,1/3/2022 10:57,1/3/2022 10:57,1/3/2022 10:57,0,0,0
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,6/19/2018 10:08,6/19/2018 10:08,6/19/2018 10:08,6/19/2018 10:08,0,0,0
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,11/30/2021 22:31,1/18/2022 14:45,11/30/2021 22:31,11/30/2021 23:14,48,0,0
mdsd-team-1,domain-specific-language,6/9/2019 23:12,7/2/2019 20:49,6/9/2019 23:30,6/9/2019 23:30,22,0,0
PalladioSimulator,Palladio-Editors-VSCode,0,0,0,0,0,0,0
nils-christian,xtend-active-annotation-issue,0,0,0,0,0,0,0
modicio,feature-dsl-tools,5/12/2023 15:13,9/20/2023 22:15,5/12/2023 15:26,5/22/2023 14:38,131,9,6.87
HBuender,Aim42Visualizer,5/16/2019 8:35,5/16/2019 13:03,5/16/2019 9:20,5/16/2019 13:03,0,0,0
scanyboss,ide-yourdsl,0,0,0,0,0,0,0
spirvdev,dumpsymb,0,0,0,0,0,0,0
thlaegler,edilang,4/20/2022 9:33,4/29/2022 12:19,4/20/2022 10:55,4/29/2022 12:19,9,9,100
agonzalezgaliana,mydsl-language-server,0,0,0,0,0,0,0
codezork,DSL-Blog,10/26/2019 13:10,10/30/2019 1:17,10/30/2019 1:08,10/30/2019 1:08,3,0,0
LorenzoBettini,issue-2000-example,11/15/2022 19:35,11/17/2022 18:48,11/15/2022 19:35,11/15/2022 19:35,1,0,0
trifonnt,net.adempiere.dsl.properties.spring.parent,8/5/2018 14:47,5/1/2021 20:03,8/5/2018 14:47,5/1/2021 20:03,1000,1000,100
scanyboss,hello-world-language,0,0,0,0,0,0,0
joerg-holtmann,Pretty-Printer_Language-Analysis,11/25/2021 16:30,2/2/2024 14:51,5/12/2022 16:38,2/2/2024 14:51,798,630,78.95
coffeeframework,HLVL,10/7/2020 15:38,10/10/2020 10:05,10/7/2020 15:38,10/10/2020 10:05,2,2,100
HermanPeeren,eJSL-MPS,0,0,0,0,0,0,0
kukulkan-project,kukulkan-language-server,3/2/2018 13:51,1/5/2019 23:00,7/11/2018 14:59,1/5/2019 23:00,309,178,57.61
mdsd-team-1,dsl-layered-style,0,0,0,0,0,0,0
larissafiorini,t2-lingProg,4/5/2018 21:51,5/6/2018 23:08,4/22/2018 14:12,5/6/2018 18:47,31,14,45.16
ragben,NetzDsl,0,0,0,0,0,0,0
Cosimo5lli,assertx-swing,4/16/2018 22:36,9/6/2018 11:10,4/16/2018 22:45,6/18/2018 21:43,142,62,43.66
gyaltso,Eclipse-Training-Schedules,0,0,0,0,0,0,0
wzurborg,xtend-example,4/7/2020 14:41,4/7/2020 15:24,4/7/2020 14:51,4/7/2020 14:51,0,0,0
kyberszittya,simple-ros-code-generator,5/5/2020 20:53,8/31/2020 14:29,5/7/2020 0:59,8/31/2020 14:29,117,116,99.15
LinguaPhylo,linguaPhyloDSL,3/19/2021 15:42,5/25/2021 16:42,3/22/2021 12:25,5/25/2021 16:09,67,64,95.52
dsanmartins,Entidades,11/4/2020 11:04,12/7/2020 22:56,11/4/2020 11:04,11/4/2020 11:04,33,0,0
opcoach,datasample,8/21/2010 13:24,12/21/2020 16:41,2/15/2014 17:38,10/12/2020 16:19,3775,2430,64.37
bujosa,smart-dsl,7/1/2023 5:13,11/11/2023 20:50,7/1/2023 5:21,8/7/2023 17:18,133,37,27.82
robinguill,DSL_UML_INSA,12/18/2020 8:15,2/4/2021 11:56,12/18/2020 8:15,2/3/2021 21:19,48,47,97.92
DedalArmy,SpringDSLJava,0,0,0,0,0,0,0
LiamWalsh98,tumlrt-language-server,6/29/2016 16:43,2/15/2021 18:16,7/21/2016 11:48,3/11/2020 14:29,1692,1329,78.55
jonev,HTTP-REST-test-DSL,12/6/2020 18:35,12/9/2020 20:54,12/6/2020 18:35,12/6/2020 18:35,3,0,0
ElBilbao,DSL-Wizard-Creator,8/30/2020 20:13,8/30/2020 20:13,8/30/2020 20:13,8/30/2020 20:13,0,0,0
ooaa30,Wail,8/17/2020 11:12,8/30/2020 22:21,8/17/2020 11:12,8/17/2020 11:12,13,0,0
Wilson008,GrammarGenerator,0,0,0,0,0,0,0
ScytherTool,dsl,5/22/2023 5:07,5/23/2023 2:29,5/22/2023 5:07,5/23/2023 2:17,0,0,0
NaoMod,MiniTL,9/23/2016 17:03,5/30/2023 15:07,3/13/2023 19:19,3/13/2023 19:19,2439,0,0
ryangarvey,mde-spec,2/12/2021 15:08,4/15/2021 16:09,4/15/2021 15:04,4/15/2021 15:04,62,0,0
bfMarcelino,SchemeLP,4/4/2019 21:19,4/4/2019 21:28,4/4/2019 21:24,4/4/2019 21:24,0,0,0
henriklange,ifcBrickConvert,0,0,0,0,0,0,0
osarenogae,fault_trees_textual_editor,4/13/2021 15:43,4/26/2021 15:26,4/13/2021 18:11,4/13/2021 18:28,12,0,0
claudenirmf,TPTP-Editor,3/8/2019 11:59,3/11/2019 12:02,3/8/2019 12:12,3/11/2019 11:26,3,2,66.67
augustin-rialan,IDM,12/18/2019 15:45,1/14/2020 16:07,1/14/2020 16:07,1/14/2020 16:07,27,0,0
henriklange,ifcBrickConvertDsl,4/25/2018 12:59,4/25/2018 13:09,4/25/2018 13:09,4/25/2018 13:09,0,0,0
PikaQin,XModel-Code-Converter,6/16/2020 21:12,6/16/2020 21:55,6/16/2020 21:23,6/16/2020 21:23,0,0,0
helloyaqin,XModel-Code-Converter,6/16/2020 21:12,6/16/2020 21:45,6/16/2020 21:23,6/16/2020 21:23,0,0,0
Garlo13,CEPStaticAnalysis,7/5/2018 13:42,7/5/2018 13:42,7/5/2018 13:42,7/5/2018 13:42,0,0,0
Frederic-Boulanger-UPS,MiniARM-feature,7/30/2022 17:59,10/12/2023 14:37,7/30/2022 18:06,7/30/2022 18:06,438,0,0
Jaddison011,C4EventB,3/6/2023 13:43,5/9/2023 11:23,5/8/2023 21:14,5/9/2023 11:23,63,0,0
MDEGroup,metatemplating,2/24/2021 10:45,7/6/2021 11:10,2/24/2021 10:53,7/6/2021 11:10,131,131,100
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,0,0,0,0,0,0,0
grammeaway,math-interpreter-dsl,3/26/2021 0:25,3/26/2021 0:25,3/26/2021 0:25,3/26/2021 0:25,0,0,0
ahmedsaleh1998,concept_project,0,0,0,0,0,0,0
Chaimaa-Louahabi,Model-Driven-Engineering,3/4/2021 19:42,4/2/2021 18:46,3/4/2021 19:42,3/4/2021 19:45,28,0,0
fayssalElAnsari,Kotlin-Meta-Model,3/9/2023 13:52,4/1/2023 17:08,4/1/2023 17:08,4/1/2023 17:08,23,0,0
MisbahAwan,SeamlessRuntimeTransformations,5/17/2022 23:39,5/17/2022 23:53,5/17/2022 23:53,5/17/2022 23:53,0,0,0
ProjetoDSL,CanopusDesign,0,0,0,0,0,0,0
Ryuzaki101,Workbench,4/22/2023 10:24,2/24/2024 13:56,4/22/2023 10:24,4/22/2023 10:24,308,0,0
eclipse,xtext,5/9/2008 15:57,3/5/2024 14:21,6/14/2016 8:30,10/10/2022 15:44,5778,2309,39.96
eclipse,xtext-core,5/9/2008 15:57,4/3/2023 14:45,6/14/2016 8:30,10/10/2022 15:44,5441,2309,42.44
eclipse,xtext-xtend,5/9/2008 15:57,4/3/2023 14:47,6/14/2016 14:25,2/11/2020 13:16,5441,1336,24.55
eclipse,xtext-eclipse,5/9/2008 15:57,4/3/2023 14:47,6/15/2016 8:38,3/5/2020 22:24,5441,1359,24.98
eclipse,xtext-extras,5/9/2008 15:57,4/3/2023 14:46,6/14/2016 10:17,9/29/2022 14:42,5441,2298,42.23
eclipse,xtext-web,5/9/2008 15:57,4/3/2023 14:48,6/14/2016 11:29,2/11/2020 13:17,5441,1337,24.57
xtext,seven-languages-xtext,6/12/2012 8:02,2/28/2023 15:14,7/10/2012 12:08,8/22/2014 0:32,3912,772,19.73
eclipse,xtext-maven,0,0,0,0,0,0,0
eclipse,xtext-lib,0,0,0,0,0,0,0
xtext,maven-xtext-example,11/22/2013 5:38,2/27/2024 17:18,11/22/2013 15:09,1/8/2017 18:45,3749,1143,30.49
seebk,LaTeXText,0,0,0,0,0,0,0
cdietrich,xtext-languageserver-example,6/29/2016 16:43,2/27/2024 16:56,7/21/2016 11:48,7/21/2016 11:48,2799,0,0
eclipse,xtext-idea,0,0,0,0,0,0,0
adamschmideg,coffeescript-eclipse,11/3/2011 11:41,5/15/2013 22:38,11/3/2011 11:41,3/12/2012 17:17,559,130,23.26
RvonMassow,xDoc,8/5/2010 11:12,1/19/2015 16:19,9/27/2010 14:42,2/10/2012 16:05,1628,501,30.77
xtext,xtext-gradle-plugin,0,0,0,0,0,0,0
LorenzoBettini,packtpub-xtext-book-2nd-examples,9/1/2016 8:34,4/2/2020 18:43,9/1/2016 8:34,1/16/2017 11:00,1309,137,10.47
PrinceMei,xTextHandler,0,0,0,0,0,0,0
LorenzoBettini,packtpub-xtext-book-examples,8/1/2013 1:28,5/29/2015 14:27,8/13/2013 8:00,5/30/2014 19:22,666,290,43.54
theia-ide,theia-xtext,5/8/2017 10:12,10/9/2019 19:10,12/4/2017 13:40,12/4/2017 13:40,884,0,0
svenefftinge,xtext-lsp-workshop,6/12/2017 13:22,10/18/2018 13:21,6/12/2017 13:22,6/12/2017 13:22,492,0,0
ObeoNetwork,Xtext-Sirius-integration,7/7/2011 17:10,6/21/2017 11:59,5/27/2014 14:29,4/10/2017 16:50,2175,1049,48.23
dslmeinte,Xtext2-DSLs,7/25/2011 13:35,10/4/2014 16:47,7/25/2011 14:17,10/4/2014 16:47,1167,1167,100
merks,Xcore,8/2/2011 10:36,1/24/2012 5:58,8/2/2011 10:55,10/28/2011 10:58,175,87,49.71
ssi-schaefer,lcdsl,2/1/2017 15:25,2/22/2024 15:35,2/1/2017 15:28,7/1/2022 7:52,2577,1975,76.64
eclipse,xtext-umbrella,0,0,0,0,0,0,0
danieldietrich,xtext-protected-regions,0,0,0,0,0,0,0
xtext,xtend-gradle-plugin,0,0,0,0,0,0,0
aphethean,xtext-maven-examples,10/2/2012 6:44,9/6/2013 9:36,10/2/2012 17:03,5/22/2013 21:06,338,232,68.64
ckulla,xtext-tycho-example,1/22/2012 13:17,8/26/2015 19:54,1/22/2012 13:17,8/13/2013 19:51,1312,569,43.37
vorburger,xtext-sandbox,6/11/2012 2:06,2/18/2016 12:29,6/11/2012 11:14,2/18/2016 12:29,1347,1347,100
basilfx,xtext-standalone-maven-build,6/8/2017 9:19,7/10/2017 11:45,6/8/2017 9:19,6/8/2017 9:19,32,0,0
JakeGinnivan,XText,0,0,0,0,0,0,0
OLibutzki,xtext.tools,0,0,0,0,0,0,0
Xpitfire,xtext-dnn,12/3/2016 18:57,4/19/2017 0:40,12/3/2016 21:44,12/17/2016 22:56,136,14,10.29
LorenzoBettini,Xtext2-experiments,11/21/2011 11:41,4/19/2014 9:26,11/21/2011 11:56,4/18/2014 18:06,879,879,100
eclipse,xsemantics,9/7/2017 15:05,11/30/2023 17:32,9/7/2017 15:05,12/5/2019 17:07,2274,818,35.97
xtext,xtext-reference-projects,12/14/2017 14:16,2/28/2024 10:33,12/20/2017 14:45,2/28/2024 10:17,2266,2260,99.74
mzaks,FlatBuffersSchemaEditor,12/3/2015 22:50,2/26/2017 10:47,12/3/2015 22:50,11/4/2016 13:16,450,336,74.67
vorburger,eLang,8/7/2011 12:21,5/2/2016 10:39,8/19/2011 13:45,12/8/2011 19:06,1730,111,6.42
fuinorg,emt-xtext-archetype,10/4/2013 13:16,11/8/2019 18:15,1/8/2017 20:02,1/8/2017 20:02,2225,0,0
eclipse-soc,amalgamation-examples-xtext,7/20/2011 18:43,8/14/2011 16:10,7/20/2011 20:32,8/14/2011 16:10,24,24,100
kthoms,xtext-experimental,0,0,0,0,0,0,0
dsldevkit,dsl-devkit,9/14/2016 13:07,3/4/2024 13:53,10/20/2016 12:44,11/24/2022 11:48,2728,2226,81.6
itemis,generator-xtext,4/5/2017 15:14,1/4/2020 18:20,4/5/2017 15:43,4/5/2017 15:43,1004,0,0
att,yang-design-studio,10/29/2015 9:43,11/3/2015 12:22,10/29/2015 9:51,10/29/2015 9:51,5,0,0
martinbaker,xtextadd,11/18/2014 18:41,2/11/2015 16:15,11/18/2014 18:41,2/11/2015 9:33,84,84,100
LorenzoBettini,edelta,10/5/2016 16:42,12/12/2023 10:48,10/5/2016 16:47,4/29/2022 18:45,2623,2032,77.47
sebastianbenz,xgherkin,7/7/2011 23:08,9/22/2016 17:02,7/7/2011 23:08,9/22/2016 15:48,1903,1903,100
vladdu,xtext.unittesting,3/17/2011 4:10,12/1/2016 15:02,6/10/2011 14:49,11/17/2016 16:58,2086,1987,95.25
slizaa,slizaa-opencypher-xtext,10/4/2016 16:44,1/7/2019 22:59,10/4/2016 16:44,8/2/2018 12:40,825,666,80.73
xpomul,cdo-xtext,1/23/2014 15:58,5/18/2016 9:28,3/11/2014 9:27,3/11/2014 9:27,845,0,0
mark-christiaens,Xtext-Models-Stats-View,0,0,0,0,0,0,0
TypeFox,xtext-jflex,0,0,0,0,0,0,0
vorburger,eclipse-typescript-xtext,11/15/2013 21:10,1/4/2014 0:58,11/15/2013 21:10,1/4/2014 0:58,49,49,100
