Name,Repository Name,Repository HTML URL,Owner Name
GuiDsl.xtext,typesystemcomparison,https://github.com/markusvoelter/typesystemcomparison,markusvoelter
BDsl.xtext,bonaparte-dsl,https://github.com/jpaw/bonaparte-dsl,jpaw
Nix.xtext,nix-eclipse-xtext,https://github.com/random-eclipse/nix-eclipse-xtext,random-eclipse
Items.xtext,opensmarthouse-core,https://github.com/opensmarthouse/opensmarthouse-core,opensmarthouse
AiC_DSL.xtext,ats.testcc,https://github.com/AiC-Project/ats.testcc,AiC-Project
PumlLanguage.xtext,plantestic-team-1,https://github.com/elite-se/plantestic-team-1,elite-se
PsiKedsXtxKrl.xtext,psikeds,https://github.com/telekom/psikeds,telekom
Html.xtext,janki,https://github.com/rogueai/janki,rogueai
MyDsl.xtext,ecoreDocGen,https://github.com/IncQueryLabs/ecoreDocGen,IncQueryLabs
JFRMeta.xtext,jfr-doc,https://github.com/BestSolution-at/jfr-doc,BestSolution-at
MGLang.xtext,MofGen,https://github.com/eMoflon/MofGen,eMoflon
ReqSpec.xtext,alisa,https://github.com/osate/alisa,osate
DtoGrammar.xtext,lunifera-dsl,https://github.com/lunifera/lunifera-dsl,lunifera
Sculptordsl.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
Statemachine.xtext,xtext-sirius-integration,https://github.com/altran-mde/xtext-sirius-integration,altran-mde
Datatype.xtext,vorto,https://github.com/eclipse/vorto,eclipse
ApplauseDsl.xtext,applause,https://github.com/applause/applause,applause
JSON.xtext,n4js,https://github.com/eclipse/n4js,eclipse
Sleigh.xtext,Ghidra,https://github.com/dragonGR/Ghidra,dragonGR
Sleigh.xtext,ghidra,https://github.com/icicle-emu/ghidra,icicle-emu
Xtext.xtext,Domemtech.Trash,https://github.com/kaby76/Domemtech.Trash,kaby76
Xtext.xtext,Domemtech.Trash,https://github.com/kaby76/Domemtech.Trash,kaby76
DeltaJ.xtext,comtestnist,https://github.com/comtest/comtestnist,comtest
IDL.xtext,emf4cpp,https://github.com/catedrasaes-umu/emf4cpp,catedrasaes-umu
IDL.xtext,emf4cpp-old,https://github.com/catedrasaes-umu/emf4cpp-old,catedrasaes-umu
IDL.xtext,emf4cpp-old,https://github.com/catedrasaes-umu/emf4cpp-old,catedrasaes-umu
IDL.xtext,emf4cpp,https://github.com/phamvancam2104/emf4cpp,phamvancam2104
Tutorial.xtext,xtextadd,https://github.com/martinbaker/xtextadd,martinbaker
SimpleAntlr.xtext,XMLIntellEdit,https://github.com/patrickneubauer/XMLIntellEdit,patrickneubauer
SimpleAntlr.xtext,XMLTextWork,https://github.com/thedjenny/XMLTextWork,thedjenny
SimpleAntlr.xtext,XMLTextWork,https://github.com/thedjenny/XMLTextWork,thedjenny
Verdict.xtext,OYSTER,https://github.com/ge-high-assurance/OYSTER,ge-high-assurance
VCML.xtext,vclipse,https://github.com/TheProjecter/vclipse,TheProjecter
PDL2.xtext,ENSEEIHT,https://github.com/MOUDDENEHamza/ENSEEIHT,MOUDDENEHamza
GModelDSL.xtext,efxclipse,https://github.com/eclipse-efx/efxclipse,eclipse-efx
Unity.xtext,SimGen,https://github.com/PasternakMichal/SimGen,PasternakMichal
IOI.xtext,101repo,https://github.com/101companies/101repo,101companies
Condition.xtext,vclipse,https://github.com/TheProjecter/vclipse,TheProjecter
Cal.xtext,caltoopia,https://github.com/Caltoopia/caltoopia,Caltoopia
PDL1.xtext,N7,https://github.com/Tropmathise/N7,Tropmathise
PDL1.xtext,S7_2A_SN_ENSEEIHT,https://github.com/Dave0126/S7_2A_SN_ENSEEIHT,Dave0126
PDL1.xtext,ENSEEIHT,https://github.com/thieryx/ENSEEIHT,thieryx
PDL1.xtext,Work,https://github.com/Tomosaure/Work,Tomosaure
PipesGraph.xtext,PipesGraphLanguage,https://github.com/specs-feup/PipesGraphLanguage,specs-feup
Rules.xtext,esh-puremaven,https://github.com/kaikreuzer/esh-puremaven,kaikreuzer
Rules.xtext,smarthome,https://github.com/eric-erki/smarthome,eric-erki
Rules.xtext,smarthome,https://github.com/2lambda123/smarthome,2lambda123
Rules.xtext,My-Project,https://github.com/imss2022/My-Project,imss2022
StsLanguageFlex.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
AiC_DSL.xtext,ats.testcc,https://github.com/AiC-Project/ats.testcc,AiC-Project
Datatype.xtext,vorto,https://github.com/sergeielite0711/vorto,sergeielite0711
Bug462047Lang.xtext,xtext,https://github.com/eclipse/xtext,eclipse
UFOScript.xtext,ufoai,https://github.com/ufoaiorg/ufoai,ufoaiorg
PP.xtext,geppetto,https://github.com/cloudsmith/geppetto,cloudsmith
Cucumber.xtext,Natural,https://github.com/rlogiacco/Natural,rlogiacco
MyDsl.xtext,dslforge,https://github.com/plugbee/dslforge,plugbee
DataDsl.xtext,lemma,https://github.com/SeelabFhdo/lemma,SeelabFhdo
Categories.xtext,osate2,https://github.com/osate/osate2,osate
HazardAnalysis.xtext,CertWare,https://github.com/nasa/CertWare,nasa
Xdocker.xtext,jhipster-ide,https://github.com/jhipster/jhipster-ide,jhipster
Divine.xtext,ITSTools,https://github.com/lip6/ITSTools,lip6
GraphQL.xtext,graphql-xtext,https://github.com/graph-quilt/graphql-xtext,graph-quilt
CloudML.xtext,cloudml-dsl,https://github.com/SINTEF-9012/cloudml-dsl,SINTEF-9012
DotPoint.xtext,gef,https://github.com/eclipse/gef,eclipse
Survey.xtext,EclipseCon2013_XtextTutorial,https://github.com/JanKoehnlein/EclipseCon2013_XtextTutorial,JanKoehnlein
HLPNGInscriptionLanguage4.xtext,ePNK,https://github.com/ekkart/ePNK,ekkart
BDDL.xtext,bonaparte-dsl,https://github.com/jpaw/bonaparte-dsl,jpaw
Lang.xtext,XtextCon_Xcore_Maven,https://github.com/holgerschill/XtextCon_Xcore_Maven,holgerschill
VariCell.xtext,VariCell,https://github.com/FAMILIAR-project/VariCell,FAMILIAR-project
2 MyDsl.xtext,KanoaV2,https://github.com/Gricel-lee/KanoaV2,Gricel-lee
Sculptorguidsl.xtext,base,https://github.com/sculptor/base,sculptor
Datenmodell.xtext,Datenmodell,https://github.com/MarkusAmshove/Datenmodell,MarkusAmshove
BasicAttributes.xtext,SmartMDSD-Toolchain,https://github.com/Servicerobotics-Ulm/SmartMDSD-Toolchain,Servicerobotics-Ulm
DSL.xtext,ontouml-xtext,https://github.com/akademia/ontouml-xtext,akademia
Types.xtext,pcm-data-type-language,https://github.com/research-iobserve/pcm-data-type-language,research-iobserve
TGRL.xtext,TGRL,https://github.com/vahdat-ab/TGRL,vahdat-ab
DSL.xtext,Entitas-Lang,https://github.com/mzaks/Entitas-Lang,mzaks
Form.xtext,model-engineering-ws14,https://github.com/Model-Engineering-AG-34/model-engineering-ws14,Model-Engineering-AG-34
spacetransportationservice_GEN_1562940390246.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
Remix.xtext,remix,https://github.com/kbirken/remix,kbirken
TypeExpressions.xtext,n4js,https://github.com/NumberFour/n4js,NumberFour
ActivityDiagramInput.xtext,activitydiagram,https://github.com/gemoc/activitydiagram,gemoc
Z3Model.xtext,worthwhile,https://github.com/team-worthwhile/worthwhile,team-worthwhile
DeployModel.xtext,deploy_model_for_robots,https://github.com/ipa-rwu/deploy_model_for_robots,ipa-rwu
PDL2.xtext,N7,https://github.com/Absobel/N7,Absobel
Ucs.xtext,Xtext-UCS,https://github.com/efuentesp/Xtext-UCS,efuentesp
spacetransportationservice_GEN_1567600260788.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
CustomerDsl.xtext,CustomerDSLSample,https://github.com/wwu-acse-2015/CustomerDSLSample,wwu-acse-2015
FoW.xtext,FlowOfWork,https://github.com/protossoftware/FlowOfWork,protossoftware
Entities.xtext,xtext-dsl-book,https://github.com/snarkipus/xtext-dsl-book,snarkipus
aadl2.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
KLayoutData.xtext,de.cau.cs.kieler,https://github.com/imace/de.cau.cs.kieler,imace
SpecApiLang.xtext,specapi,https://github.com/robotoworks/specapi,robotoworks
DbDsl.xtext,lmrc,https://github.com/cdietrich/lmrc,cdietrich
EMSL.xtext,emoflon-neo,https://github.com/eMoflon/emoflon-neo,eMoflon
ConstraintLang.xtext,rac-language,https://github.com/research-iobserve/rac-language,research-iobserve
Semver.xtext,n4js,https://github.com/eclipse/n4js,eclipse
Cypriot.xtext,CyprIoT,https://github.com/atlanmod/CyprIoT,atlanmod
Facpl2.xtext,FACPL,https://github.com/andreamargheri/FACPL,andreamargheri
Domainmodel.xtext,Xtext-Workshop-Development-Workspace,https://github.com/svenefftinge/Xtext-Workshop-Development-Workspace,svenefftinge
Language.xtext,Monascript,https://github.com/monaco-ex/Monascript,monaco-ex
CONFIG.xtext,gss-eclipse,https://github.com/uah-srg-tech/gss-eclipse,uah-srg-tech
Slo.xtext,keptn-consistency-maintenance,https://github.com/lowcomote/keptn-consistency-maintenance,lowcomote
Turtles.xtext,turtle_dsl,https://github.com/7ccsmmdd/turtle_dsl,7ccsmmdd
ActivityDiagram.xtext,activitydiagram,https://github.com/gemoc/activitydiagram,gemoc
Oscc.xtext,OSCake,https://github.com/Open-Source-Compliance/OSCake,Open-Source-Compliance
Structs4JavaDsl.xtext,structs4java,https://github.com/marc-christian-schulze/structs4java,marc-christian-schulze
IotLuaXtext.xtext,ale-xbase,https://github.com/tdegueul/ale-xbase,tdegueul
BCOoLLib.xtext,coordination,https://github.com/gemoc/coordination,gemoc
DSL.xtext,des-exercises,https://github.com/rowanG077/des-exercises,rowanG077
GML.xtext,ARTIST,https://github.com/artist-project/ARTIST,artist-project
SpecDsl.xtext,solderbullet,https://github.com/s-hosoai/solderbullet,s-hosoai
VoiceDsl.xtext,test,https://github.com/felixvelasco/test,felixvelasco
ComponentParameter.xtext,SmartMDSD-Toolchain,https://github.com/Servicerobotics-Ulm/SmartMDSD-Toolchain,Servicerobotics-Ulm
IGES.xtext,IGESImport,https://github.com/KasperGam/IGESImport,KasperGam
TomModel.xtext,tom-addons,https://github.com/rewriting/tom-addons,rewriting
Language.xtext,VSTeP-NGT-Sketch,https://github.com/opentestmodeling/VSTeP-NGT-Sketch,opentestmodeling
Scg.xtext,snomed-scg,https://github.com/b2ihealthcare/snomed-scg,b2ihealthcare
Yarel.xtext,yarel,https://github.com/yarel-di/yarel,yarel-di
Firewalll.xtext,firewall-dsls-externos-xtext,https://github.com/uqbar-paco/firewall-dsls-externos-xtext,uqbar-paco
KExt.xtext,semantics,https://github.com/kieler/semantics,kieler
Oyster.xtext,OYSTER,https://github.com/ge-high-assurance/OYSTER,ge-high-assurance
CSS.xtext,Papyrus-1.0-M5-DevSourceSet,https://github.com/ApexSoft/Papyrus-1.0-M5-DevSourceSet,ApexSoft
SAI.xtext,micobs,https://github.com/parraman/micobs,parraman
Emfatic.xtext,emfatic-lsp,https://github.com/epsilonlabs/emfatic-lsp,epsilonlabs
Cnd.xtext,cnd-editor,https://github.com/evra/cnd-editor,evra
spacetransportationservice_NOAOBASIC_1567685928835.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
Entity.xtext,xtext-ocl-extensions,https://github.com/Advanced-Model-Engineering-SS16/xtext-ocl-extensions,Advanced-Model-Engineering-SS16
MSDsl.xtext,mde2020,https://github.com/rdinizcal/mde2020,rdinizcal
Sitemap_29.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
GpuScheduler.xtext,Samples,https://github.com/meeduse/Samples,meeduse
ModelText.xtext,Wodel,https://github.com/gomezabajo/Wodel,gomezabajo
Claret.xtext,claret,https://github.com/SPLAB-UFCG/claret,SPLAB-UFCG
DynamicScreenDsl.xtext,Xtext1-DSLs,https://github.com/dslmeinte/Xtext1-DSLs,dslmeinte
ReqText.xtext,ReqText,https://github.com/protossoftware/ReqText,protossoftware
Lil.xtext,lil,https://github.com/crubier/lil,crubier
QVTcore.xtext,qvtMustus,https://github.com/arcanefoam/qvtMustus,arcanefoam
SPViz.xtext,SoftwareProjectViz,https://github.com/kieler/SoftwareProjectViz,kieler
spacetransportationservice_GENNOWS_1563299667126.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
spacetransportationservice_GENNOAO_1567699625400.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
DynamicScreenDsl.xtext,Xtext2-DSLs,https://github.com/dslmeinte/Xtext2-DSLs,dslmeinte
Library3.xtext,XMLIntellEdit,https://github.com/patrickneubauer/XMLIntellEdit,patrickneubauer
K3FSM.xtext,Testing4DSLs,https://github.com/lowcomote/Testing4DSLs,lowcomote
Expressions.xtext,xtext-type-errors-examples,https://github.com/LorenzoBettini/xtext-type-errors-examples,LorenzoBettini
Pjl.xtext,org.parallelj.studio,https://github.com/awltech/org.parallelj.studio,awltech
NormalJobRuns_45onOneOf1.xtext,GitHubWorkflowDSL,https://github.com/lowcomote/GitHubWorkflowDSL,lowcomote
FLY.xtext,fly-language,https://github.com/fly-language/fly-language,fly-language
MyDsl.xtext,XMLIntellEdit,https://github.com/patrickneubauer/XMLIntellEdit,patrickneubauer
Mxml.xtext,mxml,https://github.com/efuentesp/mxml,efuentesp
Klaim.xtext,jSAM,https://github.com/Quanticol/jSAM,Quanticol
Domainmodel.xtext,xtext-languageserver-xbase-example,https://github.com/cdietrich/xtext-languageserver-xbase-example,cdietrich
Expressions.xtext,xtextcon-typesystem-example,https://github.com/LorenzoBettini/xtextcon-typesystem-example,LorenzoBettini
Slo.xtext,keptn-consistency-maintenance,https://github.com/lowcomote/keptn-consistency-maintenance,lowcomote
HandProof.xtext,acl2,https://github.com/acl2/acl2,acl2
MyDsl.xtext,PAOC,https://github.com/helunwencser/PAOC,helunwencser
MyDsl.xtext,splitting-token-source-ca-problem,https://github.com/cdietrich/splitting-token-source-ca-problem,cdietrich
Expressions.xtext,TextBE2,https://github.com/708y/TextBE2,708y
Bot.xtext,CONGA,https://github.com/SaraPerezSoler/CONGA,SaraPerezSoler
Turn.xtext,TURN,https://github.com/JUCMNAV/TURN,JUCMNAV
Mathematica.xtext,lamp-dp-mt,https://github.com/manojo/lamp-dp-mt,manojo
Router.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
EFactory.xtext,ESON,https://github.com/vorburger/ESON,vorburger
Modane.xtext,Modane,https://github.com/cea-hpc/Modane,cea-hpc
CardTemplate.xtext,janki,https://github.com/rogueai/janki,rogueai
Sgoil.xtext,Sgoil,https://github.com/PizzaFactory/Sgoil,PizzaFactory
TestSuite.xtext,Model-Based_Test_Generator_SPL,https://github.com/fabiodisilv/Model-Based_Test_Generator_SPL,fabiodisilv
spacetransportationservice_GENNOWS_1563267174267.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
Words.xtext,dynamicobjects,https://github.com/TheProjecter/dynamicobjects,TheProjecter
IoT.xtext,ale-xbase,https://github.com/tdegueul/ale-xbase,tdegueul
Thrift.xtext,ThriftMDE,https://github.com/SMadani/ThriftMDE,SMadani
TMHEADER.xtext,gss-eclipse,https://github.com/uah-srg-tech/gss-eclipse,uah-srg-tech
UmlProperty.xtext,Papyrus-1.0-M5-DevSourceSet,https://github.com/ApexSoft/Papyrus-1.0-M5-DevSourceSet,ApexSoft
MyDsl.xtext,mql,https://github.com/cdietrich/mql,cdietrich
ReqSpec.xtext,osate2,https://github.com/osate/osate2,osate
Xtext.xtext,XMLIntellEdit,https://github.com/patrickneubauer/XMLIntellEdit,patrickneubauer
Attributes.xtext,XTextCustomLexerExample,https://github.com/ainslec/XTextCustomLexerExample,ainslec
Behavior.xtext,ArchiCorC,https://github.com/TUBS-ISF/ArchiCorC,TUBS-ISF
ConPlan.xtext,xtext_DSL_example,https://github.com/ayoubziat/xtext_DSL_example,ayoubziat
spacetransportationservice_GEN_1562940594366.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
SDELang.xtext,Model-Driven-Engineering--Eclipse-RCP-plugin--Software-product-line,https://github.com/OElabed/Model-Driven-Engineering--Eclipse-RCP-plugin--Software-product-line,OElabed
Dsl.xtext,SmartDBE,https://github.com/Servicerobotics-Ulm/SmartDBE,Servicerobotics-Ulm
SQLDDL.xtext,Pretty-Printer_Language-Analysis,https://github.com/joerg-holtmann/Pretty-Printer_Language-Analysis,joerg-holtmann
MyDsl.xtext,xtext-dnn,https://github.com/Xpitfire/xtext-dnn,Xpitfire
GF.xtext,gf-eclipse-plugin,https://github.com/GrammaticalFramework/gf-eclipse-plugin,GrammaticalFramework
RDFTurtle.xtext,RDFXtext,https://github.com/klusyu/RDFXtext,klusyu
GraphvizDot.xtext,de.cau.cs.kieler,https://github.com/agentlab/de.cau.cs.kieler,agentlab
AnairiatsSats.xtext,org.ats-lang.anairiats.ide,https://github.com/alex-ren/org.ats-lang.anairiats.ide,alex-ren
DorDsl.xtext,SmartDependencyVariabilityGraphs,https://github.com/Servicerobotics-Ulm/SmartDependencyVariabilityGraphs,Servicerobotics-Ulm
SharedPreferencesModel.xtext,mechanoid,https://github.com/robotoworks/mechanoid,robotoworks
OML.xtext,gov.nasa.jpl.imce.oml,https://github.com/JPL-IMCE/gov.nasa.jpl.imce.oml,JPL-IMCE
spacetransportationservice_GENNOAO_1567687277699.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
DxlDsl.xtext,Traceability,https://github.com/Smart-Contract-Modelling-uOttawa/Traceability,Smart-Contract-Modelling-uOttawa
Pascal.xtext,pascal-compiler,https://github.com/gileadekelvin/pascal-compiler,gileadekelvin
GuiexerciceAdvanced.xtext,IMT-DSL-Test,https://github.com/anaelChardan/IMT-DSL-Test,anaelChardan
Vpui.xtext,kitalpha,https://github.com/eclipse/kitalpha,eclipse
StreamDescLanguage.xtext,eclectic,https://github.com/jesusc/eclectic,jesusc
PatternLanguage.xtext,refactory,https://github.com/jreimone/refactory,jreimone
RoboProse.xtext,robo-prose,https://github.com/richban/robo-prose,richban
Kaom.xtext,de.cau.cs.kieler,https://github.com/imace/de.cau.cs.kieler,imace
MyDsl.xtext,dmss.pouex.xtext,https://github.com/hachreak/dmss.pouex.xtext,hachreak
Tsm.xtext,TimedStateMachine,https://github.com/ModelEngineeringBooks/TimedStateMachine,ModelEngineeringBooks
Xklaim.xtext,xklaim,https://github.com/LorenzoBettini/xklaim,LorenzoBettini
AppBuilderDSL.xtext,MDSD,https://github.com/nteg/MDSD,nteg
Xcore.xtext,emf,https://github.com/ind1go/emf,ind1go
TMDsl.xtext,cards,https://github.com/secure-software-engineering/cards,secure-software-engineering
Input.xtext,MOAP,https://github.com/dwightnaylor/MOAP,dwightnaylor
ReducedAlfLanguage.xtext,EMDW-Common,https://github.com/IncQueryLabs/EMDW-Common,IncQueryLabs
Esterel.xtext,de.cau.cs.kieler,https://github.com/imace/de.cau.cs.kieler,imace
ConcurrencyCancel_45in_45progressOneOf1.xtext,GitHubWorkflowDSL,https://github.com/lowcomote/GitHubWorkflowDSL,lowcomote
Puml-original.xtext,pt.isep.dsl.puml,https://github.com/atb/pt.isep.dsl.puml,atb
spacetransportationservice_GEN_1563298369253.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
StateMachine.xtext,SmartMDSD-Toolchain,https://github.com/Servicerobotics-Ulm/SmartMDSD-Toolchain,Servicerobotics-Ulm
MyDot.xtext,Source_Code_MODELS_2024,https://github.com/Wilson008/Source_Code_MODELS_2024,Wilson008
StsLanguage.xtext,ECSS,https://github.com/patrickneubauer/ECSS,patrickneubauer
Ddsl.xtext,Android_EC,https://github.com/solimand/Android_EC,solimand
JenaRules.xtext,swedit,https://github.com/ghillairet/swedit,ghillairet
Usecase.xtext,CooperateModelingEnvironment,https://github.com/Cooperate-Project/CooperateModelingEnvironment,Cooperate-Project
PropertyCS.xtext,property-language,https://github.com/tetrabox/property-language,tetrabox
HelloDSL.xtext,testing-multiple-dsls,https://github.com/szarnekow/testing-multiple-dsls,szarnekow
PropertyLanguage.xtext,gamma,https://github.com/ftsrg/gamma,ftsrg
Core.xtext,k3,https://github.com/diverse-project/k3,diverse-project
MyDsl.xtext,mde_optimiser,https://github.com/mde-optimiser/mde_optimiser,mde-optimiser
ArkanoidDsl.xtext,jugh-xtext-arkanoid,https://github.com/laubfall/jugh-xtext-arkanoid,laubfall
XSampleDsl.xtext,xsample,https://github.com/fuinorg/xsample,fuinorg
Poosl.xtext,poosl,https://github.com/eclipse/poosl,eclipse
GithubwfRootOnOneOf2Workflow_dispatchInputsPatternProperties0AllOf0Then.xtext,GitHubWorkflowDSL,https://github.com/lowcomote/GitHubWorkflowDSL,lowcomote
MyAtl.xtext,Pretty-Printer_Language-Analysis,https://github.com/joerg-holtmann/Pretty-Printer_Language-Analysis,joerg-holtmann
