Owner Login,Repository Name,Repository URL
mlopez8621,xtext,https://github.com/mlopez8621/xtext
magick93,xtext,https://github.com/magick93/xtext
ShivaniBali,Theia-Xtext-Yangster-Project-,https://github.com/ShivaniBali/Theia-Xtext-Yangster-Project-
ehah,XtendExample,https://github.com/ehah/XtendExample
MISO4202,co.edu.uniandes.gramaticajmeter,https://github.com/MISO4202/co.edu.uniandes.gramaticajmeter
vks2106,prenum,https://github.com/vks2106/prenum
drkstr101,hello-xtext,https://github.com/drkstr101/hello-xtext
arthurmosley,Essex-Test,https://github.com/arthurmosley/Essex-Test
eclipse,xtext-website-publish,https://github.com/eclipse/xtext-website-publish
jflopezfernandez,xtextutils,https://github.com/jflopezfernandez/xtextutils
AlanQuadros,xtextlpmangan,https://github.com/AlanQuadros/xtextlpmangan
jonaslagoni,JSON-Schema-to-internal-DSL,https://github.com/jonaslagoni/JSON-Schema-to-internal-DSL
OezzyB,e-portfolio-Xtext,https://github.com/OezzyB/e-portfolio-Xtext
fedorov-vk,apds_dsl,https://github.com/fedorov-vk/apds_dsl
zinon,xtextminer,https://github.com/zinon/xtextminer
mustafa231,xtexteditor,https://github.com/mustafa231/xtexteditor
MOSafely,xtextrepo,https://github.com/MOSafely/xtextrepo
bproenca,mpti-dsl,https://github.com/bproenca/mpti-dsl
LorenzoBettini,xtext-domain-model-guice-5,https://github.com/LorenzoBettini/xtext-domain-model-guice-5
BlackBeltTechnology,karaf-features-eclipse-xtext,https://github.com/BlackBeltTechnology/karaf-features-eclipse-xtext
vashchenkov,xtext-samle,https://github.com/vashchenkov/xtext-samle
germono,FormXtext,https://github.com/germono/FormXtext
Quingo,compiler_xtext,https://github.com/Quingo/compiler_xtext
ShrawanBK,xtext_salestransaction,https://github.com/ShrawanBK/xtext_salestransaction
tshoang,XMarking,https://github.com/tshoang/XMarking
szschaler,henshin_xtext_adapter,https://github.com/szschaler/henshin_xtext_adapter
hakimuga,BIP-language,https://github.com/hakimuga/BIP-language
adautofbn,pascal-xtext,https://github.com/adautofbn/pascal-xtext
efuentesp,Xtext-UCS,https://github.com/efuentesp/Xtext-UCS
preesm,ripacola-xtext,https://github.com/preesm/ripacola-xtext
wibeck,testXtext,https://github.com/wibeck/testXtext
msun68,xtext-examples,https://github.com/msun68/xtext-examples
xTexturedxx,xTexturedxx,https://github.com/xTexturedxx/xTexturedxx
HexXText,HexXText,https://github.com/HexXText/HexXText
Gricel-lee,Xtext-Maven,https://github.com/Gricel-lee/Xtext-Maven
kolchanov,org.xtext.example.mydsl.parent,https://github.com/kolchanov/org.xtext.example.mydsl.parent
kecksk0enig,vuc-xtext,https://github.com/kecksk0enig/vuc-xtext
EvdokimovMaks,xtext-expressions,https://github.com/EvdokimovMaks/xtext-expressions
Sorokatov,xtext-demo,https://github.com/Sorokatov/xtext-demo
uppaal-emf,uppaal-xtext,https://github.com/uppaal-emf/uppaal-xtext
matheuslenke,Xtext-UML,https://github.com/matheuslenke/Xtext-UML
r4mtor,xtext-talks,https://github.com/r4mtor/xtext-talks
nbhusare,xtext-playground,https://github.com/nbhusare/xtext-playground
kokostino,xtext_kokomodel,https://github.com/kokostino/xtext_kokomodel
GiordanoT,ocl-xtext,https://github.com/GiordanoT/ocl-xtext
dr-jam,ABL-XText,https://github.com/dr-jam/ABL-XText
lahirugayanga,xtext-projection,https://github.com/lahirugayanga/xtext-projection
daniel614,xtext-webapp,https://github.com/daniel614/xtext-webapp
Spiderixius,DSLIndividualXtext,https://github.com/Spiderixius/DSLIndividualXtext
mdsd-team-1,photos-xtext,https://github.com/mdsd-team-1/photos-xtext
efuentesp,xtext-cobol,https://github.com/efuentesp/xtext-cobol
torosky,Libreria-Xtext,https://github.com/torosky/Libreria-Xtext
MaxiEckert,Xtext-example,https://github.com/MaxiEckert/Xtext-example
as500,xtext-rpgle,https://github.com/as500/xtext-rpgle
JavierOramas,AudiXText,https://github.com/JavierOramas/AudiXText
xtext,xtext-monorepo,https://github.com/xtext/xtext-monorepo
vjordan,Xtext_browser,https://github.com/vjordan/Xtext_browser
Yop-La,xtext_project,https://github.com/Yop-La/xtext_project
JesterOrNot,Gitpod-XText,https://github.com/JesterOrNot/Gitpod-XText
eclipse,xtext-archive,https://github.com/eclipse/xtext-archive
Lethalaric,xtext-learning,https://github.com/Lethalaric/xtext-learning
DSIE2,tr.xtext,https://github.com/DSIE2/tr.xtext
ShivaniBali,Theia-Xtext,https://github.com/ShivaniBali/Theia-Xtext
kthoms,xtext-webinar,https://github.com/kthoms/xtext-webinar
christopherosthues,mgpl-xtext,https://github.com/christopherosthues/mgpl-xtext
zhanglin2018,learnXtext,https://github.com/zhanglin2018/learnXtext
seebgar,Xtext-Projects,https://github.com/seebgar/Xtext-Projects
Vallenstein,xtext_web,https://github.com/Vallenstein/xtext_web
AbQadirr,dialogXtextflow,https://github.com/AbQadirr/dialogXtextflow
blue995,xtext-orm,https://github.com/blue995/xtext-orm
arockiaraj1994,xtext-mvn,https://github.com/arockiaraj1994/xtext-mvn
moein9,passXtext,https://github.com/moein9/passXtext
saivarunr,xtext-editor,https://github.com/saivarunr/xtext-editor
JesterOrNot,xtext-cli,https://github.com/JesterOrNot/xtext-cli
Somiacao,xtext-web,https://github.com/Somiacao/xtext-web
katmatt,graphql-xtext,https://github.com/katmatt/graphql-xtext
LIONant-depot,xtexture_compiler,https://github.com/LIONant-depot/xtexture_compiler
tchebs,xtext-example,https://github.com/tchebs/xtext-example
ballcoach12,xtext_samples,https://github.com/ballcoach12/xtext_samples
AssaX0,MDSE-xtext,https://github.com/AssaX0/MDSE-xtext
samples-projects,sample-xtext,https://github.com/samples-projects/sample-xtext
karthik137,xtext-demo,https://github.com/karthik137/xtext-demo
MDE-Course-23-24,SIRIUS-XTEXT,https://github.com/MDE-Course-23-24/SIRIUS-XTEXT
softlang,megal-xtext,https://github.com/softlang/megal-xtext
laurocesar,xtext-domainmodel,https://github.com/laurocesar/xtext-domainmodel
Yahaya12,Xtext-project,https://github.com/Yahaya12/Xtext-project
malhxr,SpeechXtext,https://github.com/malhxr/SpeechXtext
stanimirovv,xtext-extractor,https://github.com/stanimirovv/xtext-extractor
3m3k3,xtext-congen,https://github.com/3m3k3/xtext-congen
pen-zhang,xtext_elm_editor,https://github.com/pen-zhang/xtext_elm_editor
NSaitoNmiri,toppers_cfg_xtext,https://github.com/NSaitoNmiri/toppers_cfg_xtext
tmtron,ex.xtext.twog,https://github.com/tmtron/ex.xtext.twog
vinicius0197,metacrysl,https://github.com/vinicius0197/metacrysl
Dexels,navascript-editor,https://github.com/Dexels/navascript-editor
adrianrutle,PCS953-EMF-Exercise,https://github.com/adrianrutle/PCS953-EMF-Exercise
ravornyo,xspice,https://github.com/ravornyo/xspice
yamen-njm,IotXtext,https://github.com/yamen-njm/IotXtext
kainzpat14,xtext-plsql,https://github.com/kainzpat14/xtext-plsql
epsilonlabs,emc-xtext,https://github.com/epsilonlabs/emc-xtext
robertovillarejo,kukulkan-grammar,https://github.com/robertovillarejo/kukulkan-grammar
lvanzeun,ulm-xtext-test,https://github.com/lvanzeun/ulm-xtext-test
purerstamp,N7.compilateur,https://github.com/purerstamp/N7.compilateur
jaedabee,xtext-gradle-test,https://github.com/jaedabee/xtext-gradle-test
MassiBelaid,M-langeuse-Xtext,https://github.com/MassiBelaid/M-langeuse-Xtext
qxe35v,xtext_encoding_dsl,https://github.com/qxe35v/xtext_encoding_dsl
random-eclipse,nix-eclipse-xtext,https://github.com/random-eclipse/nix-eclipse-xtext
